TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0048518	positive regulation of biological process	9.77688301796358e-13	-27.6535854854943	6741	181	0.37396694214876	484	29090	16835,105827,74716,11758,16518,235320,110168,100017,12227,80859,21813,104215,21844,72041,75812,13448,19159,54519,23834,18708,11789,65106,109901,12142,68581,20788,11908,19042,18033,210982,76707,238555,11607,235442,78757,68750,21391,11797,66573,14048,13876,22288,16828,68703,11881,76499,17977,223453,110157,83814,140577,107895,414084,360013,215280,15442,21872,224116,23945,14479,110521,170625,24111,18605,69634,11931,208647,16452,15925,12767,16423,106869,77446,107527,381404,193385,338523,21817,19941,320343,16163,19084,71751,723909,68713,215653,16363,22164,20662,19057,58172,100689,67299,30841,232371,66214,208650,320718,233079,239528,110279,79401,71268,66743,14077,59057,16909,26398,14784,238161,12578,16443,14013,50877,11495,22371,66629,71371,66970,16173,18642,387171,16898,16182,433256,238871,65255,18027,16416,18755,12739,17260,233080,56199,20817,320129,12368,321019,66333,17191,15466,22035,15275,194655,277360,12043,20249,108655,81702,20308,245945,74480,12775,70361,14081,12399,724062,20375,381126,12125,11826,14296,218454,209630,15979,14456,12349,16590,246049,67819,27360,19878,67972,14347,13196,56367,17355,384783,94185,68813,12335	Ldlr,Amigo2,Wbp2nl,Prdx6,Kcnj2,Zbtb16,Gpr18,Ldlrap1,Btg2,Nfkbiz,Tgfbr2,Rhoq,Tiam1,Alkbh4,Tasp1,Dok1,Cyth3,Apbb1ip,Cdc6,Pik3r1,Apc,Arl6ip5,Cela1,Prdm1,Tmed10,Srebf2,Atf1,Ppm1a,Nfkb1,Bicral,Clasp1,Btn2a2,Agtr1a,Rab8b,Rictor,Rreb1,Tbxas1,Birc2,Dzip1,Eya1,Erg,Utrn,Ldha,Rere,Arsb,Clasp2,Ncoa1,Dap,Raf1,Nedd4l,Ankrd6,Mgat5,Tnip3,Myo18a,Wipf1,Hpse,Tjp1,Muc20,Mgll,Usp15,Hivep1,Snx18,Uts2,Enpp1,Clybl,Atp1b1,Creb3l2,Jak2,Ide,Cxcr4,Cd47,Tnfaip8,Heg1,Il1rl2,Pabpc1l,Ripor2,Kdm7a,Tgm2,Rpl26,Lypd6,Il13,Prkar1a,Map3k13,Mir342,Ifitm1,Rassf2,Irf2,Tnfsf4,Sos1,Ppp3cc,Sertad2,Spon2,Dock7,Kdm2b,C1rl,Rgcc,Cblb,Slc26a9,Ffar2,Ago2,Bcr,Spz1,Lrrfip2,Rnf220,Fabp3,Zfp24,Lmo2,Map2k4,Grb2,Akap6,Cdkn2a,Itsn1,Mecom,Neu3,Adam2,Vwf,Golph3,Arid5b,Ssbp2,Il18,Pfkm,Mir153,Rps2,Il18r1,Acsl5,Pde4d,Asb4,Nfia,Itgb3,Prkch,Cldn3,Mef2c,Ffar3,Abcb10,Srpk2,Grk3,Casp6,Gpr183,Aqp11,Mbd2,Hrh2,Tnfsf10,Hk1,Klf11,Prex1,Bcl2,Scd1,Foxp1,Ankrd17,Ccl9,Rbm47,Samd4,Ccr7,Lman1,Acsl1,Runx3,Mir101b,Spi1,Garem1,Bcl2l11,Aqp1,Frat1,Lhfpl2,Frmd4a,Ifngr1,Gas6,Car2,Kit,Slc36a2,Derl1,Add3,Rock2,Atp2b1,Fut7,Asap1,Scoc,Aff1,Irs2,Tnfrsf21,Dock5,Capn3
GO:0048522	positive regulation of cellular process	1.14092878323869e-11	-25.1965933700948	6155	166	0.34297520661157	484	29090	17260,14048,12739,18755,66573,16416,11797,18027,65255,238871,235442,78757,68750,16182,433256,387171,18642,11607,238555,76707,16173,66970,18033,210982,19042,11908,66629,71371,20788,68581,22371,11495,50877,12142,109901,11789,18708,65106,23834,12578,16443,14013,238161,14784,54519,19159,13448,26398,75812,16909,59057,72041,14077,66743,110279,79401,71268,21844,21813,239528,104215,233079,320718,80859,100017,66214,30841,67299,100689,58172,19057,20662,110168,235320,16518,22164,16363,11758,74716,68713,215653,105827,16835,12335,68813,723909,71751,19084,384783,16163,17355,320343,19941,56367,13196,14347,21817,193385,19878,27360,338523,16590,246049,12349,381404,14456,209630,15979,14296,107527,77446,11826,106869,16423,12767,15925,12125,16452,208647,20375,381126,724062,11931,12399,18605,24111,14081,70361,170625,12775,74480,245945,110521,14479,20308,81702,108655,224116,12043,21872,15442,215280,360013,277360,194655,15275,22035,107895,17191,321019,12368,66333,140577,320129,83814,110157,20817,76499,17977,11881,68703,56199,16828,22288,233080,13876	Mef2c,Eya1,Cldn3,Prkch,Dzip1,Itgb3,Birc2,Nfia,Asb4,Pde4d,Rab8b,Rictor,Rreb1,Il18r1,Acsl5,Mir153,Pfkm,Agtr1a,Btn2a2,Clasp1,Il18,Ssbp2,Nfkb1,Bicral,Ppm1a,Atf1,Golph3,Arid5b,Srebf2,Tmed10,Vwf,Adam2,Neu3,Prdm1,Cela1,Apc,Pik3r1,Arl6ip5,Cdc6,Cdkn2a,Itsn1,Mecom,Akap6,Grb2,Apbb1ip,Cyth3,Dok1,Map2k4,Tasp1,Lmo2,Zfp24,Alkbh4,Fabp3,Rnf220,Bcr,Spz1,Lrrfip2,Tiam1,Tgfbr2,Ago2,Rhoq,Ffar2,Slc26a9,Nfkbiz,Ldlrap1,Rgcc,Kdm2b,Dock7,Spon2,Sertad2,Ppp3cc,Sos1,Gpr18,Zbtb16,Kcnj2,Tnfsf4,Irf2,Prdx6,Wbp2nl,Ifitm1,Rassf2,Amigo2,Ldlr,Capn3,Dock5,Mir342,Map3k13,Prkar1a,Irs2,Il13,Aff1,Lypd6,Rpl26,Scoc,Asap1,Fut7,Tgm2,Ripor2,Rock2,Add3,Kdm7a,Kit,Slc36a2,Car2,Pabpc1l,Gas6,Frmd4a,Ifngr1,Frat1,Il1rl2,Heg1,Aqp1,Tnfaip8,Cd47,Cxcr4,Ide,Bcl2l11,Jak2,Creb3l2,Spi1,Garem1,Mir101b,Atp1b1,Runx3,Enpp1,Uts2,Acsl1,Lman1,Snx18,Ccr7,Samd4,Rbm47,Hivep1,Usp15,Ccl9,Ankrd17,Foxp1,Muc20,Bcl2,Tjp1,Hpse,Wipf1,Myo18a,Prex1,Klf11,Hk1,Tnfsf10,Mgat5,Mbd2,Gpr183,Casp6,Aqp11,Ankrd6,Grk3,Nedd4l,Raf1,Srpk2,Clasp2,Ncoa1,Arsb,Rere,Abcb10,Ldha,Utrn,Ffar3,Erg
GO:0002682	regulation of immune system process	1.52937188846482e-10	-22.6009938092419	1705	66	0.136363636363636	484	29090	14347,18033,16173,238555,16182,238871,16163,384783,16416,19084,94185,18755,17260,14784,20375,16452,12578,18708,11789,16423,107527,14525,12142,14456,16590,12349,193385,66214,360013,14190,12043,80859,208650,108655,81702,20308,233079,21813,14479,245945,71268,110279,12775,224860,229473,16909,12399,233080,16835,215653,21942,17969,56199,16363,22164,235320,110168,12368,321019,20662,100689,229323,66552,15275,232371,414084	Fut7,Nfkb1,Il18,Btn2a2,Il18r1,Pde4d,Il13,Irs2,Itgb3,Prkar1a,Tnfrsf21,Prkch,Mef2c,Grb2,Spi1,Jak2,Cdkn2a,Pik3r1,Apc,Cd47,Il1rl2,Gcsam,Prdm1,Gas6,Kit,Car2,Ripor2,Rgcc,Myo18a,Fgl2,Bcl2,Nfkbiz,Cblb,Foxp1,Ankrd17,Ccl9,Ffar2,Tgfbr2,Usp15,Rbm47,Lrrfip2,Bcr,Ccr7,Plcl2,Tmem131l,Lmo2,Runx3,Ffar3,Ldlr,Rassf2,Tnfrsf9,Ncf1,Abcb10,Irf2,Tnfsf4,Zbtb16,Gpr18,Casp6,Gpr183,Sos1,Spon2,Gpr171,Sppl2a,Hk1,C1rl,Tnip3
GO:0051239	regulation of multicellular organismal process	3.90046585179065e-10	-21.6647549347613	3298	102	0.210743801652893	484	29090	16173,76707,18033,210982,11607,238555,235442,68750,238871,16182,21391,16416,17260,18755,238161,12578,109901,18708,11789,12142,22371,68581,20788,100017,14190,66214,12227,80859,208650,233079,21813,239528,21844,110279,71268,16909,224860,224997,215653,16835,105827,16518,235320,22164,20662,110168,100689,67299,229323,30841,21817,16163,18821,384783,19084,71751,94185,12335,68813,20375,11931,12767,52357,12125,16452,77446,11826,16423,107527,15979,14456,12349,16590,19878,27360,193385,67972,360013,15442,20249,21872,12043,23945,108655,20308,12775,245945,229473,24111,14081,18605,12399,233080,21942,17977,76499,17969,56199,11881,321019,15466,15275	Il18,Clasp1,Nfkb1,Bicral,Agtr1a,Btn2a2,Rab8b,Rreb1,Pde4d,Il18r1,Tbxas1,Itgb3,Mef2c,Prkch,Akap6,Cdkn2a,Cela1,Pik3r1,Apc,Prdm1,Vwf,Tmed10,Srebf2,Ldlrap1,Fgl2,Rgcc,Btg2,Nfkbiz,Cblb,Ffar2,Tgfbr2,Ago2,Tiam1,Bcr,Lrrfip2,Lmo2,Plcl2,Dlgap1,Rassf2,Ldlr,Amigo2,Kcnj2,Zbtb16,Tnfsf4,Sos1,Gpr18,Spon2,Dock7,Gpr171,Kdm2b,Tgm2,Il13,Pln,Irs2,Prkar1a,Map3k13,Tnfrsf21,Capn3,Dock5,Spi1,Atp1b1,Cxcr4,Wwc2,Bcl2l11,Jak2,Heg1,Aqp1,Cd47,Il1rl2,Ifngr1,Gas6,Car2,Kit,Rock2,Add3,Ripor2,Atp2b1,Myo18a,Hpse,Scd1,Tjp1,Bcl2,Mgll,Foxp1,Ccl9,Ccr7,Rbm47,Tmem131l,Uts2,Acsl1,Enpp1,Runx3,Ffar3,Tnfrsf9,Ncoa1,Clasp2,Ncf1,Abcb10,Arsb,Gpr183,Hrh2,Hk1
GO:0051240	positive regulation of multicellular organismal process	7.55654976531173e-10	-21.0034362241719	1895	69	0.142561983471074	484	29090	16163,21391,16182,238871,68750,235442,238555,11607,21817,210982,16173,12335,71751,18755,17260,16416,384783,107527,16423,11789,18708,77446,109901,11826,16452,12767,20375,238161,27360,19878,67972,12349,16590,68581,14456,20788,22371,15979,239528,233079,21813,20308,208650,108655,23945,21872,12043,20249,80859,15442,66214,100017,12399,14081,24111,21844,71268,245945,12775,22164,235320,17977,233080,105827,30841,15275,100689,15466,321019	Il13,Tbxas1,Il18r1,Pde4d,Rreb1,Rab8b,Btn2a2,Agtr1a,Tgm2,Bicral,Il18,Capn3,Map3k13,Prkch,Mef2c,Itgb3,Irs2,Il1rl2,Cd47,Apc,Pik3r1,Heg1,Cela1,Aqp1,Jak2,Cxcr4,Spi1,Akap6,Add3,Rock2,Atp2b1,Car2,Kit,Tmed10,Gas6,Srebf2,Vwf,Ifngr1,Ago2,Ffar2,Tgfbr2,Ccl9,Cblb,Foxp1,Mgll,Tjp1,Bcl2,Scd1,Nfkbiz,Hpse,Rgcc,Ldlrap1,Runx3,Acsl1,Uts2,Tiam1,Lrrfip2,Rbm47,Ccr7,Tnfsf4,Zbtb16,Ncoa1,Ffar3,Amigo2,Kdm2b,Hk1,Spon2,Hrh2,Gpr183
GO:0030335	positive regulation of cell migration	1.09727035385613e-09	-20.630440237652	611	34	0.0702479338842975	484	29090	16416,21844,384783,12775,68813,12739,24111,12043,21872,14347,76707,16173,20308,239528,21813,108655,238871,68750,14456,107895,193385,277360,19878,16590,67299,16452,12767,20375,22164,11789,18708,16423,11826,76499	Itgb3,Tiam1,Irs2,Ccr7,Dock5,Cldn3,Uts2,Bcl2,Tjp1,Fut7,Clasp1,Il18,Ccl9,Ago2,Tgfbr2,Foxp1,Pde4d,Rreb1,Gas6,Mgat5,Ripor2,Prex1,Rock2,Kit,Dock7,Jak2,Cxcr4,Spi1,Tnfsf4,Apc,Pik3r1,Cd47,Aqp1,Clasp2
GO:0002684	positive regulation of immune system process	1.40795871033953e-09	-20.3811249046835	1099	48	0.0991735537190083	484	29090	12399,71268,245945,12775,233079,21813,20308,14479,208650,108655,81702,12043,80859,360013,66214,232371,414084,15275,100689,12368,20662,321019,22164,235320,16363,233080,18755,94185,17260,16416,384783,16163,16182,238871,238555,18033,14347,16173,193385,12349,16590,14456,107527,16423,18708,16452,20375,14784	Runx3,Lrrfip2,Rbm47,Ccr7,Ffar2,Tgfbr2,Ccl9,Usp15,Cblb,Foxp1,Ankrd17,Bcl2,Nfkbiz,Myo18a,Rgcc,C1rl,Tnip3,Hk1,Spon2,Casp6,Sos1,Gpr183,Tnfsf4,Zbtb16,Irf2,Ffar3,Prkch,Tnfrsf21,Mef2c,Itgb3,Irs2,Il13,Il18r1,Pde4d,Btn2a2,Nfkb1,Fut7,Il18,Ripor2,Car2,Kit,Gas6,Il1rl2,Cd47,Pik3r1,Jak2,Spi1,Grb2
GO:0051049	regulation of transport	1.4716918838346e-09	-20.336853156597	1843	67	0.138429752066116	484	29090	76499,16518,83814,71435,216440,80281,233080,69863,19250,15466,19057,208650,19341,104215,233079,100017,360013,215280,66214,12043,24111,14081,18605,66743,14077,12775,21844,110279,11826,16423,65106,18708,50877,20375,238161,11931,16443,12767,225608,12578,16452,19042,12349,246049,67972,209630,14296,66629,14456,68581,20788,238871,235442,433256,16163,76707,21817,18642,11607,17260,12739,12335,228071,18821,384783,16416,19084	Clasp2,Kcnj2,Nedd4l,Arhgap21,Os9,Cttnbp2nl,Ffar3,Ttc39b,Ptpn14,Hrh2,Ppp3cc,Cblb,Rab4a,Rhoq,Ffar2,Ldlrap1,Myo18a,Wipf1,Rgcc,Bcl2,Uts2,Acsl1,Enpp1,Rnf220,Fabp3,Ccr7,Tiam1,Bcr,Aqp1,Cd47,Arl6ip5,Pik3r1,Neu3,Spi1,Akap6,Atp1b1,Itsn1,Cxcr4,Sh3tc2,Cdkn2a,Jak2,Ppm1a,Car2,Slc36a2,Atp2b1,Frmd4a,Frat1,Golph3,Gas6,Tmed10,Srebf2,Pde4d,Rab8b,Acsl5,Il13,Clasp1,Tgm2,Pfkm,Agtr1a,Mef2c,Cldn3,Capn3,Sestd1,Pln,Irs2,Itgb3,Prkar1a
GO:0023051	regulation of signaling	2.33193454391699e-09	-19.8765676374983	3736	109	0.225206611570248	484	29090	22234,208650,21813,233079,21844,110279,66743,224860,224997,26398,23984,16835,215653,12763,22164,110168,20662,19057,18033,16173,238555,11607,18642,387171,16182,433256,235442,78757,238871,11797,16416,18755,14048,17260,13448,19159,14784,238161,14013,16443,225608,12578,65106,11789,18708,50877,22371,66629,211134,74337,19042,15442,12043,224116,108655,68259,23945,81702,14479,245945,12775,229473,24111,18605,12399,233080,17977,110157,320129,140577,321019,17191,15466,107895,18647,22035,414084,277360,21817,14347,19941,114713,320343,58250,384783,19084,71751,723909,12335,724062,20375,381126,407821,52357,16452,12125,12767,15925,16423,77446,14525,14296,102442,14456,12349,16590,193385,19878,18145	Ugcg,Cblb,Tgfbr2,Ffar2,Tiam1,Bcr,Rnf220,Plcl2,Dlgap1,Map2k4,Pde10a,Ldlr,Rassf2,Cmah,Tnfsf4,Gpr18,Sos1,Ppp3cc,Nfkb1,Il18,Btn2a2,Agtr1a,Pfkm,Mir153,Il18r1,Acsl5,Rab8b,Rictor,Pde4d,Birc2,Itgb3,Prkch,Eya1,Mef2c,Dok1,Cyth3,Grb2,Akap6,Mecom,Itsn1,Sh3tc2,Cdkn2a,Arl6ip5,Apc,Pik3r1,Neu3,Vwf,Golph3,Lzts1,Palm3,Ppm1a,Hpse,Bcl2,Muc20,Foxp1,Ift80,Mgll,Ankrd17,Usp15,Rbm47,Ccr7,Tmem131l,Uts2,Enpp1,Runx3,Ffar3,Ncoa1,Raf1,Grk3,Ankrd6,Gpr183,Mbd2,Hrh2,Mgat5,Cdk14,Tnfsf10,Tnip3,Prex1,Tgm2,Fut7,Rpl26,Rasa2,Lypd6,Chst11,Irs2,Prkar1a,Map3k13,Mir342,Capn3,Mir101b,Spi1,Garem1,Znrf3,Wwc2,Jak2,Bcl2l11,Cxcr4,Ide,Cd47,Heg1,Gcsam,Frat1,Dennd4a,Gas6,Car2,Kit,Ripor2,Rock2,Npc1
GO:2000147	positive regulation of cell motility	3.69793488548031e-09	-19.4154913121732	641	34	0.0702479338842975	484	29090	14456,107895,16590,67299,19878,277360,193385,20375,16452,12767,11789,18708,16423,11826,76499,22164,21844,384783,12775,16416,12739,24111,68813,14347,76707,16173,12043,21872,108655,68750,238871,20308,21813,239528	Gas6,Mgat5,Kit,Dock7,Rock2,Prex1,Ripor2,Spi1,Jak2,Cxcr4,Apc,Pik3r1,Cd47,Aqp1,Clasp2,Tnfsf4,Tiam1,Irs2,Ccr7,Itgb3,Cldn3,Uts2,Dock5,Fut7,Clasp1,Il18,Bcl2,Tjp1,Foxp1,Rreb1,Pde4d,Ccl9,Tgfbr2,Ago2
