TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu05220	Chronic myeloid leukemia	2.69317722480175e-06	-12.8247889368676	71	10	0.0571428571428571	175	8044	20662,12578,110157,208650,14784,18033,110279,14013,21813,18708	Sos1,Cdkn2a,Raf1,Cblb,Grb2,Nfkb1,Bcr,Mecom,Tgfbr2,Pik3r1
ko05220	Chronic myeloid leukemia	2.69317722480175e-06	-12.8247889368676	71	10	0.0571428571428571	175	8044	12578,110157,20662,14013,18708,21813,18033,14784,208650,110279	Cdkn2a,Raf1,Sos1,Mecom,Pik3r1,Tgfbr2,Nfkb1,Grb2,Cblb,Bcr
M00177	Ribosome, eukaryotes	6.04132949484654e-06	-12.0168864551985	95	11	0.0628571428571429	175	8044	57808,56040,110954,54217,20005,19941,19933,19899,66475,78294,16898	Rpl35a,Rplp1,Rpl10,Rpl36,Rpl9,Rpl26,Rpl21,Rpl18,Rps23,Rps27a,Rps2
mmu_M00177	Ribosome, eukaryotes	6.04132949484654e-06	-12.0168864551985	95	11	0.0628571428571429	175	8044	19933,19941,20005,110954,54217,56040,57808,16898,66475,78294,19899	Rpl21,Rpl26,Rpl9,Rpl10,Rpl36,Rplp1,Rpl35a,Rps2,Rps23,Rps27a,Rpl18
mmu04062	Chemokine signaling pathway	1.10374791171402e-05	-11.4142138840278	185	15	0.0857142857142857	175	8044	14784,12767,18708,140580,20662,19878,16452,110157,21844,12775,20308,18033,320129,17969,277360	Grb2,Cxcr4,Pik3r1,Elmo1,Sos1,Rock2,Jak2,Raf1,Tiam1,Ccr7,Ccl9,Nfkb1,Grk3,Ncf1,Prex1
ko04062	Chemokine signaling pathway	1.10374791171402e-05	-11.4142138840278	185	15	0.0857142857142857	175	8044	19878,140580,20662,20308,12775,16452,110157,21844,14784,12767,18708,277360,18033,17969,320129	Rock2,Elmo1,Sos1,Ccl9,Ccr7,Jak2,Raf1,Tiam1,Grb2,Cxcr4,Pik3r1,Prex1,Nfkb1,Ncf1,Grk3
ko05221	Acute myeloid leukemia	2.17597471442934e-05	-10.7354487562512	55	8	0.0457142857142857	175	8044	14784,18033,18708,20375,20662,235320,16590,110157	Grb2,Nfkb1,Pik3r1,Spi1,Sos1,Zbtb16,Kit,Raf1
mmu05221	Acute myeloid leukemia	2.17597471442934e-05	-10.7354487562512	55	8	0.0457142857142857	175	8044	235320,16590,20662,110157,18033,14784,20375,18708	Zbtb16,Kit,Sos1,Raf1,Nfkb1,Grb2,Spi1,Pik3r1
ko05202	Transcriptional misregulation in cancer	2.89537095052535e-05	-10.4498122272574	177	14	0.08	175	8044	21813,18647,18033,14048,17260,11908,235320,80859,20375,66629,17355,13876,12775,16909	Tgfbr2,Cdk14,Nfkb1,Eya1,Mef2c,Atf1,Zbtb16,Nfkbiz,Spi1,Golph3,Aff1,Erg,Ccr7,Lmo2
mmu05202	Transcriptional misregulation in cancer	2.89537095052535e-05	-10.4498122272574	177	14	0.08	175	8044	66629,20375,12775,16909,17355,13876,18033,18647,21813,11908,80859,235320,17260,14048	Golph3,Spi1,Ccr7,Lmo2,Aff1,Erg,Nfkb1,Cdk14,Tgfbr2,Atf1,Nfkbiz,Zbtb16,Mef2c,Eya1
mmu_M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	0.000132737949088102	-8.92713368096024	13	4	0.0228571428571429	175	8044	12035,15356,11992,12039	Bcat1,Hmgcl,Auh,Bckdha
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	0.000132737949088102	-8.92713368096024	13	4	0.0228571428571429	175	8044	12039,15356,11992,12035	Bckdha,Hmgcl,Auh,Bcat1
mmu01521	EGFR tyrosine kinase inhibitor resistance	0.000326391815250488	-8.02741201101444	80	8	0.0457142857142857	175	8044	14784,12125,12043,18708,20662,14456,16452,110157	Grb2,Bcl2l11,Bcl2,Pik3r1,Sos1,Gas6,Jak2,Raf1
ko01521	EGFR tyrosine kinase inhibitor resistance	0.000326391815250488	-8.02741201101444	80	8	0.0457142857142857	175	8044	20662,14456,16452,110157,14784,12043,12125,18708	Sos1,Gas6,Jak2,Raf1,Grb2,Bcl2,Bcl2l11,Pik3r1
mmu05200	Pathways in cancer	0.000327584236422569	-8.02376532551131	393	20	0.114285714285714	175	8044	16590,19878,20662,11789,20890,12578,110157,11797,14784,14013,20375,12767,12043,18708,235320,11607,208650,18033,110279,21813	Kit,Rock2,Sos1,Apc,Wnt8a,Cdkn2a,Raf1,Birc2,Grb2,Mecom,Spi1,Cxcr4,Bcl2,Pik3r1,Zbtb16,Agtr1a,Cblb,Nfkb1,Bcr,Tgfbr2
ko04662	B cell receptor signaling pathway	0.000916193570347519	-6.99528289427527	72	7	0.04	175	8044	110157,19057,68713,20662,18708,18033,14784	Raf1,Ppp3cc,Ifitm1,Sos1,Pik3r1,Nfkb1,Grb2
mmu04662	B cell receptor signaling pathway	0.000916193570347519	-6.99528289427527	72	7	0.04	175	8044	68713,20662,19057,110157,18033,14784,18708	Ifitm1,Sos1,Ppp3cc,Raf1,Nfkb1,Grb2,Pik3r1
