TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005515	protein binding	7.34850195476817e-07	-14.1235991741846	9685	215	0.446985446985447	481	28418	14525,224997,13876,245945,22022,16423,225115,110074,18033,19941,19057,320718,19878,338367,66629,21844,65106,193385,17260,69608,320129,53608,21917,66475,59057,16419,71982,14013,30841,56307,19159,19084,17069,20662,18755,18708,16443,20568,19707,13206,12043,381280,16416,66743,235320,106877,14479,80859,68581,22164,14296,140577,66270,12578,11789,67299,338523,66552,100689,17977,381126,238161,239706,27360,13723,140580,11607,16909,21981,110695,11797,225608,71602,76707,384783,77446,12227,219140,14077,17463,16835,233765,14784,18647,75665,18642,12614,68259,18145,78757,13196,66573,12739,11908,72041,71876,65255,12345,11931,22437,54519,12819,14456,76499,21872,215653,83814,12775,110521,100017,68813,223453,12399,16709,15979,237436,22193,12335,22035,19933,215280,16182,71751,66148,50530,20375,18719,12767,104215,80281,12125,246196,216440,22288,13448,66333,67819,23834,414084,16163,58172,24111,12035,108655,17969,103841,217169,16898,18605,74716,15925,238871,19341,70772,213575,15275,16590,75812,56199,18027,17191,66214,18821,216705,14048,19042,11758,67972,238555,20890,15442,58911,76952,170625,22371,235442,78294,110157,224860,19250,12014,16173,26398,208650,11495,12874,76467,12349,20308,239528,238880,66970,407821,70361,68703,107371,20817,21817,12142,23807,20788,16518,16452,98910,11826,110279,360013,224116,52357,21813,16828,12368,71268,21942,23945	Gcsam,Dlgap1,Erg,Rbm47,Tpst2,Cd47,Svil,Dut,Nfkb1,Rpl26,Ppp3cc,Slc26a9,Rock2,Myo1d,Golph3,Tiam1,Arl6ip5,Ripor2,Mef2c,Sec24d,Grk3,Map3k6,Tmpo,Rps23,Zfp24,Itgb5,Snx10,Mecom,Kdm2b,Metap2,Cyth3,Prkar1a,Ly6e,Sos1,Prkch,Pik3r1,Itsn1,Slpi,Reps1,Ddx4,Bcl2,Hjurp,Itgb3,Rnf220,Zbtb16,Afap1l1,Usp15,Nfkbiz,Tmed10,Tnfsf4,Frat1,Ankrd6,Retreg1,Cdkn2a,Apc,Dock7,Kdm7a,Sppl2a,Spon2,Ncoa1,Garem1,Akap6,Mettl22,Add3,Emb,Elmo1,Agtr1a,Lmo2,Ppp1r13b,Aldh7a1,Birc2,Sh3tc2,Myo1e,Clasp1,Irs2,Heg1,Btg2,Spata13,Fabp3,Psmd7,Ldlr,Plekha7,Grb2,Cdk14,Bicdl1,Pfkm,Celsr1,Ift80,Npc1,Rictor,Asap1,Dzip1,Cldn3,Atf1,Alkbh4,Cenpu,Asb4,Capzb,Atp1b1,Xirp1,Apbb1ip,Col15a1,Gas6,Clasp2,Tjp1,Rassf2,Nedd4l,Ccr7,Hivep1,Ldlrap1,Dock5,Dap,Runx3,Ktn1,Ifngr1,Gas2l3,Ube2e3,Capn3,Tnfsf10,Rpl21,Wipf1,Il18r1,Map3k13,Dnajc15,Mfap5,Spi1,Pip5k1b,Cxcr4,Rhoq,Cttnbp2nl,Bcl2l11,Zfp277,Os9,Utrn,Dok1,Aqp11,Derl1,Cdc6,Tnip3,Il13,Sertad2,Uts2,Bcat1,Foxp1,Ncf1,Cuedc1,Tns4,Rps2,Enpp1,Wbp2nl,Ide,Pde4d,Rab4a,Ggnbp1,Dync2li1,Hk1,Kit,Tasp1,Abcb10,Nfia,Mbd2,Rgcc,Pln,Clint1,Eya1,Ppm1a,Prdx6,Atp2b1,Btn2a2,Wnt8a,Hpse,Sumf1,Nt5c2,Snx18,Vwf,Rab8b,Rps27a,Raf1,Plcl2,Ptpn14,Bach2,Il18,Map2k4,Cblb,Adam2,Cpd,Msrb2,Car2,Ccl9,Ago2,Actbl2,Ssbp2,Znrf3,Lman1,Rere,Exoc6,Srpk2,Tgm2,Prdm1,Arih2,Srebf2,Kcnj2,Jak2,Usp6nl,Aqp1,Bcr,Myo18a,Muc20,Wwc2,Tgfbr2,Ldha,Casp6,Lrrfip2,Tnfrsf9,Mgll
GO:0036094	small molecule binding	1.22680667703045e-06	-13.6110959620814	5656	139	0.288981288981289	481	28418	30841,66840,18719,12788,16419,14013,19159,68750,12767,56307,104215,212285,69608,108802,71751,59057,11881,320129,53608,12399,230737,22193,110074,107895,12763,12335,19057,19878,22035,338367,110521,100017,225115,12039,19341,71720,238871,15925,53871,100689,338523,17969,108655,18605,11637,70873,23972,16416,66743,226090,74337,246196,18755,433256,109901,19084,225651,23834,13206,19707,16443,223262,12014,14077,224860,74154,18647,208650,16835,110959,170757,26398,66758,71602,170625,114713,14081,58911,76952,71801,110157,78752,77446,235442,78294,14048,106869,194655,67972,19042,69634,11797,15466,319885,16909,19011,56199,214766,15275,16590,23984,17191,228071,239554,360013,12350,110279,101113,14456,21813,16828,16518,16452,72041,68203,15356,21391,407821,74008,68703,70361,20817,21817,23807,216445,12142,13196,66573,67210,12349,74315,18642,12874,76467,18145,20249,238880,239528,12614	Kdm2b,Wdr45b,Pip5k1b,Cnga1,Itgb5,Mecom,Cyth3,Rreb1,Cxcr4,Metap2,Rhoq,Arap2,Sec24d,Calr4,Map3k13,Zfp24,Arsb,Grk3,Map3k6,Runx3,Gnl2,Ube2e3,Dut,Mgat5,Cmah,Capn3,Ppp3cc,Rock2,Tnfsf10,Myo1d,Hivep1,Ldlrap1,Svil,Bckdha,Rab4a,Osbpl3,Pde4d,Ide,Pkd2l2,Spon2,Kdm7a,Ncf1,Foxp1,Enpp1,Ak2,Cnbd2,Papss2,Itgb3,Rnf220,Ermp1,Palm3,Zfp277,Prkch,Acsl5,Cela1,Prkar1a,Mppe1,Cdc6,Ddx4,Reps1,Itsn1,Timm8a2,Bach2,Fabp3,Plcl2,Unkl,Cdk14,Cblb,Ldlr,Nudt19,Adgrl4,Map2k4,Zfp474,Myo1e,Snx18,Rasa2,Acsl1,Sumf1,Nt5c2,Plekhf2,Raf1,Csgalnact2,Heg1,Rab8b,Rps27a,Eya1,Tnfaip8,Klf11,Atp2b1,Ppm1a,Clybl,Birc2,Hrh2,Zcchc7,Lmo2,Endou,Abcb10,Mmp21,Hk1,Kit,Pde10a,Mbd2,Sestd1,Foxred2,Myo18a,Car3,Bcr,Snx21,Gas6,Tgfbr2,Ldha,Kcnj2,Jak2,Alkbh4,Diras2,Hmgcl,Tbxas1,Znrf3,Arsg,Rere,Lman1,Srpk2,Tgm2,Arih2,Arhgap9,Prdm1,Asap1,Dzip1,Gatad1,Car2,Rnf145,Pfkm,Cpd,Msrb2,Npc1,Scd1,Actbl2,Ago2,Celsr1
GO:0043167	ion binding	5.10272528956496e-06	-12.1857357904561	5440	132	0.274428274428274	481	28418	19341,12039,15925,238871,53871,100689,338523,17969,108655,18605,11637,70873,23972,66743,16416,226090,246196,74337,18755,109901,433256,19084,23834,19707,13206,225651,223262,16443,30841,66840,18719,16419,12788,14013,19159,68750,56307,212285,104215,108802,69608,59057,71751,11881,320129,53608,230737,12399,22193,110074,107895,12763,19878,12335,19057,22035,338367,225115,100017,110521,239554,360013,12350,110279,101113,14456,21813,16518,16452,68203,72041,15356,21391,74008,407821,70361,68703,21817,20817,12142,23807,216445,13196,66573,12349,67210,74315,18642,12874,76467,20249,238880,12614,239528,12014,14077,224860,74154,208650,18647,16835,170757,110959,26398,71602,66758,14081,114713,170625,58911,76952,110157,71801,78752,235442,77446,78294,14048,194655,67972,19042,69634,11797,19011,319885,16909,56199,214766,15275,16590,23984,228071	Rab4a,Bckdha,Ide,Pde4d,Pkd2l2,Spon2,Kdm7a,Ncf1,Foxp1,Enpp1,Ak2,Cnbd2,Papss2,Rnf220,Itgb3,Ermp1,Zfp277,Palm3,Prkch,Cela1,Acsl5,Prkar1a,Cdc6,Reps1,Ddx4,Mppe1,Timm8a2,Itsn1,Kdm2b,Wdr45b,Pip5k1b,Itgb5,Cnga1,Mecom,Cyth3,Rreb1,Metap2,Arap2,Rhoq,Calr4,Sec24d,Zfp24,Map3k13,Arsb,Grk3,Map3k6,Gnl2,Runx3,Ube2e3,Dut,Mgat5,Cmah,Rock2,Capn3,Ppp3cc,Tnfsf10,Myo1d,Svil,Ldlrap1,Hivep1,Foxred2,Myo18a,Car3,Bcr,Snx21,Gas6,Tgfbr2,Kcnj2,Jak2,Diras2,Alkbh4,Hmgcl,Tbxas1,Arsg,Znrf3,Lman1,Rere,Tgm2,Srpk2,Prdm1,Arih2,Arhgap9,Asap1,Dzip1,Car2,Gatad1,Rnf145,Pfkm,Cpd,Msrb2,Scd1,Actbl2,Celsr1,Ago2,Bach2,Fabp3,Plcl2,Unkl,Cblb,Cdk14,Ldlr,Adgrl4,Nudt19,Map2k4,Myo1e,Zfp474,Acsl1,Rasa2,Snx18,Sumf1,Nt5c2,Raf1,Plekhf2,Csgalnact2,Rab8b,Heg1,Rps27a,Eya1,Klf11,Atp2b1,Ppm1a,Clybl,Birc2,Endou,Zcchc7,Lmo2,Abcb10,Mmp21,Hk1,Kit,Pde10a,Sestd1
GO:0005488	binding	1.48589681753481e-05	-11.1169069574685	14372	289	0.600831600831601	481	28418	56040,109901,20662,19084,17069,74337,18755,18708,16443,20568,19707,13206,225651,23972,12043,381280,66743,16416,235320,16764,106877,80859,14479,68581,22164,14296,11637,66270,140577,12039,12578,11789,338523,67299,66552,17977,100689,14525,224997,381404,13876,72167,22022,245945,225115,16423,18033,110074,107895,19941,19878,19899,320718,19057,338367,21844,66629,65106,17260,233079,193385,277360,108802,69608,320129,53608,74480,21917,59057,66475,16419,14013,71982,30841,56307,212285,19159,68750,75665,16363,18642,74315,68259,12614,18145,78757,74008,13196,66573,12739,11908,15356,72041,71876,65255,102636218,21391,11931,22437,12345,12350,54519,14456,12819,665180,381126,238161,239706,27360,214766,23984,13723,106869,140580,11607,19011,319885,16909,21981,69634,11797,110695,225608,71602,14081,384783,76707,78752,77446,12227,219140,14077,16835,17463,233765,14784,18647,71069,433256,22288,216440,246196,226090,66333,13448,223262,67819,23834,414084,70873,16163,58172,24111,79401,12035,108655,81702,17969,11992,217169,103841,16898,18605,74716,238871,15925,71720,20005,53871,70772,19341,67769,213575,76499,21872,215653,83814,12775,68813,110521,100017,223453,16709,230737,12399,22193,15979,237436,12335,100273,22035,19933,12763,215280,229323,11881,16182,66148,71751,12788,50530,20375,66840,18719,12767,71371,80281,104215,15441,12125,11495,12874,76467,12349,67210,208647,20308,239528,21763,20249,238880,66970,407821,68703,70361,107371,21817,20817,12142,23807,216445,16518,16452,20788,68203,98910,11826,110279,224116,360013,239554,52357,16828,21813,12368,321019,23945,71268,21942,101113,75812,15275,16590,56199,18027,17191,66214,228071,18821,216705,14048,233080,19042,11758,194655,67972,238555,20890,15466,15442,58911,76952,66758,22371,114713,170625,235442,78294,110157,71801,19250,224860,12014,16173,110959,26398,170757,74154,208650	Rplp1,Cela1,Sos1,Prkar1a,Ly6e,Palm3,Prkch,Pik3r1,Itsn1,Slpi,Reps1,Ddx4,Mppe1,Papss2,Bcl2,Hjurp,Rnf220,Itgb3,Zbtb16,Aff3,Afap1l1,Nfkbiz,Usp15,Tmed10,Tnfsf4,Frat1,Ak2,Retreg1,Ankrd6,Bckdha,Cdkn2a,Apc,Kdm7a,Dock7,Sppl2a,Ncoa1,Spon2,Gcsam,Dlgap1,Pabpc1l,Erg,Thumpd2,Tpst2,Rbm47,Svil,Cd47,Nfkb1,Dut,Mgat5,Rpl26,Rock2,Rpl18,Slc26a9,Ppp3cc,Myo1d,Tiam1,Golph3,Arl6ip5,Mef2c,Ffar2,Ripor2,Prex1,Calr4,Sec24d,Grk3,Map3k6,Samd4,Tmpo,Zfp24,Rps23,Itgb5,Mecom,Snx10,Kdm2b,Metap2,Arap2,Cyth3,Rreb1,Bicdl1,Irf2,Pfkm,Rnf145,Ift80,Celsr1,Npc1,Rictor,Arsg,Asap1,Dzip1,Cldn3,Atf1,Hmgcl,Alkbh4,Cenpu,Asb4,Gm15290,Tbxas1,Atp1b1,Xirp1,Capzb,Car3,Apbb1ip,Gas6,Col15a1,Clec2l,Garem1,Akap6,Mettl22,Add3,Mmp21,Pde10a,Emb,Tnfaip8,Elmo1,Agtr1a,Endou,Zcchc7,Lmo2,Ppp1r13b,Clybl,Birc2,Aldh7a1,Sh3tc2,Myo1e,Acsl1,Irs2,Clasp1,Csgalnact2,Heg1,Btg2,Spata13,Fabp3,Ldlr,Psmd7,Plekha7,Grb2,Cdk14,Stox2,Acsl5,Utrn,Os9,Zfp277,Ermp1,Aqp11,Dok1,Timm8a2,Derl1,Cdc6,Tnip3,Cnbd2,Il13,Sertad2,Uts2,Spz1,Bcat1,Foxp1,Ankrd17,Ncf1,Auh,Tns4,Cuedc1,Rps2,Enpp1,Wbp2nl,Pde4d,Ide,Osbpl3,Rpl9,Pkd2l2,Ggnbp1,Rab4a,Gpatch2,Dync2li1,Clasp2,Tjp1,Rassf2,Nedd4l,Ccr7,Dock5,Hivep1,Ldlrap1,Dap,Ktn1,Gnl2,Runx3,Ube2e3,Ifngr1,Gas2l3,Capn3,Osbpl9,Tnfsf10,Rpl21,Cmah,Wipf1,Gpr171,Arsb,Il18r1,Dnajc15,Map3k13,Cnga1,Mfap5,Spi1,Wdr45b,Pip5k1b,Cxcr4,Arid5b,Cttnbp2nl,Rhoq,Hp1bp3,Bcl2l11,Adam2,Cpd,Msrb2,Car2,Gatad1,Creb3l2,Ccl9,Ago2,Tex2,Scd1,Actbl2,Ssbp2,Znrf3,Rere,Lman1,Exoc6,Tgm2,Srpk2,Prdm1,Arih2,Arhgap9,Kcnj2,Jak2,Srebf2,Diras2,Usp6nl,Aqp1,Bcr,Muc20,Myo18a,Foxred2,Wwc2,Ldha,Tgfbr2,Casp6,Gpr183,Mgll,Lrrfip2,Tnfrsf9,Snx21,Tasp1,Hk1,Kit,Abcb10,Nfia,Mbd2,Rgcc,Sestd1,Pln,Clint1,Eya1,Ffar3,Ppm1a,Prdx6,Klf11,Atp2b1,Btn2a2,Wnt8a,Hrh2,Hpse,Sumf1,Nt5c2,Zfp474,Vwf,Rasa2,Snx18,Rab8b,Rps27a,Raf1,Plekhf2,Ptpn14,Plcl2,Bach2,Il18,Nudt19,Map2k4,Adgrl4,Unkl,Cblb
GO:1901981	phosphatidylinositol phosphate binding	4.00018370916662e-05	-10.1265851776133	200	13	0.027027027027027	481	28418	71982,66840,13196,212285,101113,66629,19159,216445,16518,170625,228071,100017,225115	Snx10,Wdr45b,Asap1,Arap2,Snx21,Golph3,Cyth3,Arhgap9,Kcnj2,Snx18,Sestd1,Ldlrap1,Svil
GO:0030552	cAMP binding	4.43275796856958e-05	-10.0239035083586	24	5	0.0103950103950104	481	28418	19084,23984,238871,12788,70873	Prkar1a,Pde10a,Pde4d,Cnga1,Cnbd2
GO:0035091	phosphatidylinositol binding	4.9249325201808e-05	-9.91861489192617	295	16	0.0332640332640333	481	28418	228071,71801,100017,225115,16518,71602,170625,17969,13196,212285,101113,66629,19159,216445,71982,66840	Sestd1,Plekhf2,Ldlrap1,Svil,Kcnj2,Myo1e,Snx18,Ncf1,Asap1,Arap2,Snx21,Golph3,Cyth3,Arhgap9,Snx10,Wdr45b
GO:0003735	structural constituent of ribosome	5.53325302518868e-05	-9.80214957190128	178	12	0.0249480249480249	481	28418	54217,19899,620155,19933,110954,20005,57808,19941,78294,66475,16898,56040	Rpl36,Rpl18,Gm6133,Rpl21,Rpl10,Rpl9,Rpl35a,Rpl26,Rps27a,Rps23,Rps2,Rplp1
GO:0019899	enzyme binding	5.77821627920168e-05	-9.75883043212765	2393	66	0.137214137214137	481	28418	22371,71751,110157,78294,384783,20375,71982,19250,12125,208650,14784,104215,80281,16835,12767,27360,238161,14525,16590,76499,68813,245945,66214,11607,12399,11758,17260,66629,21844,12335,320718,19878,16452,11931,98910,16898,65255,12578,52357,19341,110279,238871,14456,67299,21813,11789,16828,18755,18642,22288,216440,19084,75665,12874,238880,23834,67819,20568,18708,239528,78757,12043,12142,23807,16416,21817	Vwf,Map3k13,Raf1,Rps27a,Irs2,Spi1,Snx10,Ptpn14,Bcl2l11,Cblb,Grb2,Rhoq,Cttnbp2nl,Ldlr,Cxcr4,Add3,Akap6,Gcsam,Kit,Clasp2,Dock5,Rbm47,Rgcc,Agtr1a,Runx3,Prdx6,Mef2c,Golph3,Tiam1,Capn3,Slc26a9,Rock2,Jak2,Atp1b1,Usp6nl,Rps2,Asb4,Cdkn2a,Wwc2,Rab4a,Bcr,Pde4d,Gas6,Dock7,Tgfbr2,Apc,Ldha,Prkch,Pfkm,Utrn,Os9,Prkar1a,Bicdl1,Cpd,Actbl2,Cdc6,Derl1,Slpi,Pik3r1,Ago2,Rictor,Bcl2,Prdm1,Arih2,Itgb3,Tgm2
GO:0015168	glycerol transmembrane transporter activity	9.27872635535099e-05	-9.28520117378187	6	3	0.00623700623700624	481	28418	11826,66333,64008	Aqp1,Aqp11,Aqp9
