TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:1903706	regulation of hemopoiesis	2.05979331277698e-08	-17.698075099788	461	27	0.0557851239669422	484	29090	20308,21813,108655,80859,238555,14190,16173,12399,17260,16909,16416,229473,12775,235320,12142,107527,22164,11789,18708,56199,12578,215653,20375,229323,12349,14456,20662	Ccl9,Tgfbr2,Foxp1,Nfkbiz,Btn2a2,Fgl2,Il18,Runx3,Mef2c,Lmo2,Itgb3,Tmem131l,Ccr7,Zbtb16,Prdm1,Il1rl2,Tnfsf4,Apc,Pik3r1,Abcb10,Cdkn2a,Rassf2,Spi1,Gpr171,Car2,Gas6,Sos1
GO:1902105	regulation of leukocyte differentiation	9.24541198876743e-08	-16.1965533166917	373	23	0.0475206611570248	484	29090	14190,16173,80859,238555,108655,20308,21813,12775,16416,229473,12399,215653,20375,12578,11789,18708,235320,12142,107527,22164,20662,14456,12349	Fgl2,Il18,Nfkbiz,Btn2a2,Foxp1,Ccl9,Tgfbr2,Ccr7,Itgb3,Tmem131l,Runx3,Rassf2,Spi1,Cdkn2a,Apc,Pik3r1,Zbtb16,Prdm1,Il1rl2,Tnfsf4,Sos1,Gas6,Car2
GO:0070663	regulation of leukocyte proliferation	9.53702153643379e-08	-16.1654995151602	288	20	0.0413223140495868	484	29090	229473,19084,12775,20662,321019,384783,193385,17260,94185,16590,21942,12578,238555,16452,12043,16173,16163,22164,21813,208650	Tmem131l,Prkar1a,Ccr7,Sos1,Gpr183,Irs2,Ripor2,Mef2c,Tnfrsf21,Kit,Tnfrsf9,Cdkn2a,Btn2a2,Jak2,Bcl2,Il18,Il13,Tnfsf4,Tgfbr2,Cblb
GO:0050670	regulation of lymphocyte proliferation	9.56045455844079e-08	-16.1630454700654	261	19	0.0392561983471074	484	29090	208650,21813,22164,16163,16173,238555,16452,12043,21942,12578,94185,17260,193385,384783,12775,20662,321019,229473,19084	Cblb,Tgfbr2,Tnfsf4,Il13,Il18,Btn2a2,Jak2,Bcl2,Tnfrsf9,Cdkn2a,Tnfrsf21,Mef2c,Ripor2,Irs2,Ccr7,Sos1,Gpr183,Tmem131l,Prkar1a
GO:0032944	regulation of mononuclear cell proliferation	1.28687910347428e-07	-15.8658756634511	266	19	0.0392561983471074	484	29090	12578,21942,16452,12043,238555,16173,16163,21813,22164,208650,19084,229473,12775,20662,321019,384783,193385,17260,94185	Cdkn2a,Tnfrsf9,Jak2,Bcl2,Btn2a2,Il18,Il13,Tgfbr2,Tnfsf4,Cblb,Prkar1a,Tmem131l,Ccr7,Sos1,Gpr183,Irs2,Ripor2,Mef2c,Tnfrsf21
GO:0045619	regulation of lymphocyte differentiation	1.88712493187672e-06	-13.1804560871575	231	16	0.0330578512396694	484	29090	12399,14456,229473,12775,20662,12142,235320,22164,21813,107527,80859,12578,238555,16173,20375,14190	Runx3,Gas6,Tmem131l,Ccr7,Sos1,Prdm1,Zbtb16,Tnfsf4,Tgfbr2,Il1rl2,Nfkbiz,Cdkn2a,Btn2a2,Il18,Spi1,Fgl2
GO:0009791	post-embryonic development	2.64529638978862e-06	-12.842727442301	134	12	0.0247933884297521	484	29090	71371,71602,18605,14013,16452,12043,12125,12142,239528,58250,109901,77446	Arid5b,Myo1e,Enpp1,Mecom,Jak2,Bcl2,Bcl2l11,Prdm1,Ago2,Chst11,Cela1,Heg1
GO:0022408	negative regulation of cell-cell adhesion	3.21584459696708e-06	-12.6474205296537	213	15	0.0309917355371901	484	29090	94185,193385,14422,12399,229473,19084,208650,18708,22164,20375,14190,66214,12578,238555,16452	Tnfrsf21,Ripor2,B4galnt2,Runx3,Tmem131l,Prkar1a,Cblb,Pik3r1,Tnfsf4,Spi1,Fgl2,Rgcc,Cdkn2a,Btn2a2,Jak2
GO:0050863	regulation of T cell activation	3.31296240554436e-06	-12.6176677822677	393	21	0.0433884297520661	484	29090	229473,19084,20662,12775,193385,12399,94185,21942,80859,12578,238555,16452,16173,14190,12142,235320,22164,21813,107527,208650,16423	Tmem131l,Prkar1a,Sos1,Ccr7,Ripor2,Runx3,Tnfrsf21,Tnfrsf9,Nfkbiz,Cdkn2a,Btn2a2,Jak2,Il18,Fgl2,Prdm1,Zbtb16,Tnfsf4,Tgfbr2,Il1rl2,Cblb,Cd47
GO:0048661	positive regulation of smooth muscle cell proliferation	4.29538773185654e-06	-12.3579687314323	117	11	0.0227272727272727	484	29090	16416,238871,108655,18708,16163,21813,100017,16173,21817,11607,16452	Itgb3,Pde4d,Foxp1,Pik3r1,Il13,Tgfbr2,Ldlrap1,Il18,Tgm2,Agtr1a,Jak2
