TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04723	Retrograde endocannabinoid signaling	1.60059924306812e-07	-15.6477175649127	102	18	0.0538922155688623	334	8044	14394,116837,140919,14677,26414,18750,14400,269060,110886,14395,14708,14402,108071,11514,14401,18798,14406,14802	Gabra1,Rims1,Slc17a6,Gnai1,Mapk10,Prkca,Gabrb1,Dagla,Gabra5,Gabra2,Gng7,Gabrb3,Grm5,Adcy8,Gabrb2,Plcb4,Gabrg2,Gria4
ko04723	Retrograde endocannabinoid signaling	1.60059924306812e-07	-15.6477175649127	102	18	0.0538922155688623	334	8044	14402,108071,11514,14401,14802,14406,18798,116837,14394,140919,14677,14708,18750,26414,14400,110886,269060,14395	Gabrb3,Grm5,Adcy8,Gabrb2,Gria4,Gabrg2,Plcb4,Rims1,Gabra1,Slc17a6,Gnai1,Gng7,Prkca,Mapk10,Gabrb1,Gabra5,Dagla,Gabra2
mmu_M00177	Ribosome, eukaryotes	2.88665136885255e-07	-15.0579985165398	95	17	0.0508982035928144	334	8044	19944,19899,66489,20005,20085,267019,19946,319195,20088,27207,19933,268449,114641,16785,14109,26451,68436	Rpl29,Rpl18,Rpl35,Rpl9,Rps19,Rps15a,Rpl30,Rpl17,Rps24,Rps11,Rpl21,Rpl23a,Rpl31,Rpsa,Fau,Rpl27a,Rpl34
M00177	Ribosome, eukaryotes	2.88665136885255e-07	-15.0579985165398	95	17	0.0508982035928144	334	8044	19946,20085,267019,20005,19899,19944,66489,114641,68436,26451,16785,14109,268449,19933,20088,27207,319195	Rpl30,Rps19,Rps15a,Rpl9,Rpl18,Rpl29,Rpl35,Rpl31,Rpl34,Rpl27a,Rpsa,Fau,Rpl23a,Rpl21,Rps24,Rps11,Rpl17
ko05033	Nicotine addiction	4.20536399624754e-07	-14.6817347985574	40	11	0.0329341317365269	334	8044	14395,110886,14400,14406,14802,14401,14814,140919,14402,14394,14811	Gabra2,Gabra5,Gabrb1,Gabrg2,Gria4,Gabrb2,Grin2d,Slc17a6,Gabrb3,Gabra1,Grin2a
mmu05033	Nicotine addiction	4.20536399624754e-07	-14.6817347985574	40	11	0.0329341317365269	334	8044	14400,14395,110886,14802,14406,140919,14814,14401,14811,14402,14394	Gabrb1,Gabra2,Gabra5,Gria4,Gabrg2,Slc17a6,Grin2d,Gabrb2,Grin2a,Gabrb3,Gabra1
ko00983	Drug metabolism - other enzymes	5.74651446500251e-06	-12.066917066956	51	11	0.0329341317365269	334	8044	100727,16434,100559,72094,552899,104158,112417,99586,22238,72361,94215	Ugt2b34,Itpa,Ugt2b38,Ugt2a3,Ugt2a2,Ces1d,Ugt2b37,Dpyd,Ugt2b5,Ces2g,Ugt2a1
mmu00983	Drug metabolism - other enzymes	5.74651446500251e-06	-12.066917066956	51	11	0.0329341317365269	334	8044	72361,72094,552899,112417,99586,94215,104158,16434,100727,22238,100559	Ces2g,Ugt2a3,Ugt2a2,Ugt2b37,Dpyd,Ugt2a1,Ces1d,Itpa,Ugt2b34,Ugt2b5,Ugt2b38
mmu05032	Morphine addiction	2.29706250648451e-05	-10.6812943294069	92	14	0.0419161676646707	334	8044	11514,14401,54611,14402,14406,14677,18575,26385,14394,14708,14395,110886,14400,18750	Adcy8,Gabrb2,Pde3a,Gabrb3,Gabrg2,Gnai1,Pde1c,Grk6,Gabra1,Gng7,Gabra2,Gabra5,Gabrb1,Prkca
ko05032	Morphine addiction	2.29706250648451e-05	-10.6812943294069	92	14	0.0419161676646707	334	8044	14406,11514,14401,14402,54611,110886,14395,14400,18750,14708,26385,14677,18575,14394	Gabrg2,Adcy8,Gabrb2,Gabrb3,Pde3a,Gabra5,Gabra2,Gabrb1,Prkca,Gng7,Grk6,Gnai1,Pde1c,Gabra1
