TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	2.1207355773836e-11	-24.576673023967	415	94	0.0521932259855636	1801	15921	102693,54519,215280,71720,327826,17909,13822,19418,380698,16443,106877,29809,545622,75415,269587,208177,102098,545156,78618,235283,18201,216445,384783,381605,18223,20399,67220,67016,50780,100045792,24000,209630,100273,380921,71704,19229,109294,54610,268739,26556,268783,109934,218203,57257,227800,224093,14783,16452,19250,13196,19159,70729,71729,544817,110279,73728,212285,66147,233765,215632,223435,19417,17921,140580,71801,54353,20662,100017,27280,232970,71435,21961,211914,21682,16428,19878,213990,320129,277360,72993,319939,224860,64291,11804,21844,105445,54357,13448,66696,60597,140579,226751,224650,319924	Phldb1,Apbb1ip,Wipf1,Osbpl3,Frs2,Myo10,Epb41l2,Rasgrf2,Obscn,Itsn1,Afap1l1,Rabgap1l,Ptpn3,Arhgap12,Epb41,Phldb2,Arhgef18,Kalrn,Acap2,Gramd1b,Nsmaf,Arhgap9,Irs2,Tbc1d2,Numbl,Sh2b1,Plekho1,Tbc1d2b,Rgs3,Ect2l,Ptpn21,Frmd4a,Osbpl9,Dgkh,Arhgef3,Ptk2b,Prex2,Tbc1d8,Arhgef40,Homer1,Mtmr12,Abr,Mylip,Vav3,Rabgap1,Fam43a,Grb10,Jak2,Ptpn14,Asap1,Cyth3,Nos1ap,Rgs12,Arhgap27,Bcr,Psd,Arap2,Necap2,Plekha7,Psd4,Trio,Rasgrf1,Myo7a,Elmo1,Plekhf2,Skap2,Sos1,Ldlrap1,Phlda3,Phldb3,Arhgap21,Tns1,Asap2,Tec,Itk,Rock2,Agap3,Grk3,Prex1,Appl1,Tns3,Plcl2,Osbpl1a,Aplp2,Tiam1,Dock9,Epb41l4b,Dok1,Snx31,Mapk8ip2,Elmo2,Cdc42bpa,Anks1,Apba1
2.30.30.40	SH3 Domains	3.16918000431147e-09	-19.5697929562378	220	56	0.031093836757357	1801	15921	16428,67742,269881,21873,21682,23970,17974,216445,72828,13043,13383,58234,83813,330914,20404,27375,14218,170625,227157,14269,57257,14784,15162,100213,60597,20411,71602,72296,13196,544817,380698,12488,16443,20410,234878,105844,223435,207777,17921,17969,18708,14360,338320,75415,140580,225608,16818,54353,21872,259302,71972,16796,53885,18810,211914,545156	Itk,Samsn1,Map3k10,Tjp2,Tec,Pacsin2,Nck2,Arhgap9,Ubash3b,Cttn,Dlg1,Shank3,Tnk1,Arhgap32,Sh3gl2,Tjp3,Sh3pxd2a,Snx18,Mpp4,Fnbp1,Vav3,Grb2,Hck,Rusc2,Mapk8ip2,Sorbs1,Myo1e,Rusc1,Asap1,Arhgap27,Obscn,Cd2ap,Itsn1,Sorbs3,Map3k21,Card10,Trio,Tspoap1,Myo7a,Ncf1,Pik3r1,Fyn,Mia2,Arhgap12,Elmo1,Sh3tc2,Lck,Skap2,Tjp1,Srgap3,Dnmbp,Lasp1,Nphp1,Plec,Asap2,Kalrn
1.10.10.60	Homeodomain-like	2.37088423647762e-05	-10.6496624838459	325	62	0.0344253192670738	1801	15921	21410,241447,22255,140477,15423,15424,17702,109151,209448,210162,216848,13172,74318,18996,13047,20474,18935,18506,244813,12677,14028,12590,22326,15398,224829,15432,18420,18423,12591,246086,18424,18999,18993,14843,13390,18509,225631,15379,15373,27140,27217,13394,17703,68703,11694,15403,218613,15404,15421,15242,15405,16815,231044,666528,16814,104360,20472,387609,239102,116871,15209,20471	Hnf1b,Cers6,Uncx,Dmbx1,Hoxc4,Hoxc5,Msx2,Chd9,Hoxc10,Zkscan2,Chd3,Dbx1,Hopx,Pou4f1,Cux1,Six4,Phox2b,Pax4,Bsx,Vsx2,Evx1,Cdx1,Vax1,Hoxa13,Trerf1,Hoxd12,Otp,Otx1,Cdx2,Onecut3,Otx2,Pou5f1,Pou3f3,Gsx2,Dlx1,Pax7,Onecut2,Onecut1,Hmx3,Tlx3,Mixl1,Dlx4,Msx3,Rere,Alx3,Hoxa6,Mier3,Hoxa7,Hoxc12,Hhex,Hoxa9,Lbx2,Gbx1,Zfp541,Lbx1,Isl2,Six2,Zhx2,Zfhx2,Mta3,Hesx1,Six1
2.10.25.10	Laminin	0.000114028010907973	-9.0790664300324	220	44	0.0244308717379234	1801	15921	22371,17175,11496,16419,77446,13004,18302,16772,18129,171171,18183,57764,11603,66864,170571,13388,13386,170757,241324,14118,16776,17180,107934,16835,634731,15200,211323,12614,16421,16416,18128,226255,246154,214058,52020,64706,14456,81877,18792,26364,192897,65969,23966,54003	Vwf,Masp2,Adam22,Itgb5,Heg1,Ncan,Oit3,Lama1,Notch2,Ntng2,Nrg3,Ntn4,Agrn,Clec14a,Cntnap4,Dll1,Dlk1,Adgrl4,Crb2,Fbn1,Lama5,Matn1,Celsr3,Ldlr,Susd1,Hbegf,Nrg1,Celsr1,Itgb7,Itgb3,Notch1,Atrnl1,Vasn,Megf11,Umodl1,Scube1,Gas6,Tnxb,Plau,Adgre5,Itgb4,Cubn,Tenm4,Nell2
1.10.10.10	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain	0.000114028010907973	-9.0790664300324	220	44	0.0244308717379234	1801	15921	27049,56484,18509,18503,108689,619289,277360,20085,19726,54169,14234,14008,14247,22427,15441,20375,109294,23834,54139,26386,67097,18511,14241,67711,17425,56307,13876,16363,18506,218214,15229,17301,14237,13557,19725,71137,108655,99375,12144,223864,64290,18810,72584,71375	Etv3,Foxo3,Pax7,Pax1,Stn1,Rfx8,Prex1,Rps19,Rfx3,Kat6b,Foxc2,Etv2,Fli1,Wrn,Hp1bp3,Spi1,Prex2,Cdc6,Irf6,Hsf4,Rps10,Pax9,Foxl1,Nsmce1,Foxk1,Metap2,Erg,Irf2,Pax4,Kdm1b,Foxd1,Foxd2,Foxd4,E2f3,Rfx2,Rfx4,Foxp1,Cul4a,Blm,Rapgef3,Foxb1,Plec,Cul4b,Foxn3
3.30.60.20	-	0.000182779483165576	-8.60723014175538	64	18	0.00999444752915047	1801	15921	57257,21961,319939,18762,226751,19878,18755,54354,104418,320127,380921,382018,18751,21877,18753,69993,110157,214137	Vav3,Tns1,Tns3,Prkcz,Cdc42bpa,Rock2,Prkch,Rassf5,Dgkz,Dgki,Dgkh,Unc13a,Prkcb,Tk1,Prkcd,Chn2,Raf1,Arhgap29
2.60.40.820	Transcription factor, T-box	0.000250072982436264	-8.29375775296017	17	8	0.00444197667962243	1801	15921	21384,13813,21387,21375,21386,21385,20997,21380	Tbx15,Eomes,Tbx4,Tbr1,Tbx3,Tbx2,T,Tbx1
1.20.900.10	Dbl homology (DH) domain	0.000415993116153147	-7.78484184554871	68	18	0.00999444752915047	1801	15921	545156,223435,19417,71972,109934,19418,380698,100045792,16443,57257,268739,20662,110279,102098,277360,109294,21844,71704	Kalrn,Trio,Rasgrf1,Dnmbp,Abr,Rasgrf2,Obscn,Ect2l,Itsn1,Vav3,Arhgef40,Sos1,Bcr,Arhgef18,Prex1,Prex2,Tiam1,Arhgef3
1.10.510.10	Transferase(Phosphotransferase) domain 1	0.000434779086168793	-7.74067250376184	497	81	0.0449750138811771	1801	15921	238323,18212,110157,223255,73914,140780,214897,77976,14182,380698,18647,328329,11302,12167,70584,20817,234878,223435,11482,14360,18755,217410,12978,16818,18753,18749,117229,230103,213435,68166,69922,18762,19713,545156,21812,14919,16428,50523,105787,19878,56637,18751,269881,21682,320129,53608,56480,17346,320119,65964,51789,74568,83813,15257,18160,22367,20963,12322,15258,104175,98267,19229,27373,19091,16590,104318,21687,13845,72587,12572,207565,15162,12571,16337,12675,71751,71091,16451,226751,26398,16452	Rps6kl1,Ntrk2,Raf1,Stk24,Irak3,Bmp2k,Csnk1g1,Nuak1,Fgfr1,Obscn,Cdk14,Mast4,Aatk,Bmpr1b,Pak4,Srpk2,Map3k21,Trio,Acvrl1,Fyn,Prkch,Trib2,Csf1r,Lck,Prkcd,Prkacb,Stk33,Npr2,Mylk3,Spire1,Vrk2,Prkcz,Ret,Kalrn,Tgfbr1,Gucy2e,Itk,Lats2,Prkaa1,Rock2,Gsk3b,Prkcb,Map3k10,Tec,Grk3,Map3k6,Tbk1,Mknk1,Rps6kc1,Map3k20,Tnk2,Mlkl,Tnk1,Hipk1,Npr1,Vrk1,Syk,Camk2a,Hipk2,Sbk1,Stk17b,Ptk2b,Csnk1e,Prkg1,Kit,Csnk1d,Tek,Ephb3,Pan3,Cdk7,Camkk2,Hck,Cdk6,Insr,Chuk,Map3k13,Cdkl1,Jak1,Cdc42bpa,Map2k4,Jak2
2.10.90.10	Cystine-knot cytokines	0.00233813920403401	-6.05839987791255	72	17	0.00943920044419767	1801	15921	217674,14566,170458,14562,12154,320202,18049,22339,12161,14573,12164,13590,12640,18590,14559,18119,23886	Gphb5,Gdf9,Gpha2,Gdf3,Bmp10,Lefty2,Ngf,Vegfa,Bmp6,Gdnf,Bmp8b,Lefty1,Cga,Pdgfa,Gdf1,Nodal,Gdf15
