TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011993	PH-like_dom_sf	1.81058383140642e-12	-27.0373717638736	415	94	0.0433779418550992	2167	20062	109934,19878,19229,102098,545156,19418,18223,75415,73728,268739,105445,18201,544817,13448,71720,100273,24000,16452,224860,11804,13196,27280,71704,29809,268783,71729,19159,71801,50780,227800,20662,545622,208177,232970,71435,19250,380921,320129,70729,215280,269587,218203,381605,54357,20399,110279,213990,57257,215632,211914,109294,140580,72993,66147,224650,54610,78618,60597,13822,16443,17921,319939,384783,233765,319924,277360,54519,19417,224093,100017,21682,64291,209630,106877,14783,21961,26556,212285,140579,235283,226751,102693,21844,67016,16428,380698,223435,66696,17909,100045792,327826,54353,67220,216445	Abr,Rock2,Ptk2b,Arhgef18,Kalrn,Rasgrf2,Numbl,Arhgap12,Psd,Arhgef40,Dock9,Nsmaf,Arhgap27,Dok1,Osbpl3,Osbpl9,Ptpn21,Jak2,Plcl2,Aplp2,Asap1,Phlda3,Arhgef3,Rabgap1l,Mtmr12,Rgs12,Cyth3,Plekhf2,Rgs3,Rabgap1,Sos1,Ptpn3,Phldb2,Phldb3,Arhgap21,Ptpn14,Dgkh,Grk3,Nos1ap,Wipf1,Epb41,Mylip,Tbc1d2,Epb41l4b,Sh2b1,Bcr,Agap3,Vav3,Psd4,Asap2,Prex2,Elmo1,Appl1,Necap2,Anks1,Tbc1d8,Acap2,Mapk8ip2,Epb41l2,Itsn1,Myo7a,Tns3,Irs2,Plekha7,Apba1,Prex1,Apbb1ip,Rasgrf1,Fam43a,Ldlrap1,Tec,Osbpl1a,Frmd4a,Afap1l1,Grb10,Tns1,Homer1,Arap2,Elmo2,Gramd1b,Cdc42bpa,Phldb1,Tiam1,Tbc1d2b,Itk,Obscn,Trio,Snx31,Myo10,Ect2l,Frs2,Skap2,Plekho1,Arhgap9
IPR001452	SH3_domain	4.25708430615356e-10	-21.5772664391671	218	56	0.0258421781264421	2167	20062	83813,13043,71602,67742,72828,53885,14269,27375,259302,170625,18810,23970,234878,20411,17969,227157,16796,380698,16428,16818,17974,72296,223435,20410,14360,54353,216445,21873,57257,71972,211914,545156,338320,21981,51789,18708,20404,15162,75415,60597,16443,225608,17921,58234,12488,544817,269881,330914,21872,207777,13383,14784,14218,13196,100213,21682	Tnk1,Cttn,Myo1e,Samsn1,Ubash3b,Nphp1,Fnbp1,Tjp3,Srgap3,Snx18,Plec,Pacsin2,Map3k21,Sorbs1,Ncf1,Mpp4,Lasp1,Obscn,Itk,Lck,Nck2,Rusc1,Trio,Sorbs3,Fyn,Skap2,Arhgap9,Tjp2,Vav3,Dnmbp,Asap2,Kalrn,Mia2,Ppp1r13b,Tnk2,Pik3r1,Sh3gl2,Hck,Arhgap12,Mapk8ip2,Itsn1,Sh3tc2,Myo7a,Shank3,Cd2ap,Arhgap27,Map3k10,Arhgap32,Tjp1,Tspoap1,Dlg1,Grb2,Sh3pxd2a,Asap1,Rusc2,Tec
IPR036028	SH3-like_dom_sf	8.34620908318328e-10	-20.9040434961818	210	54	0.0249192431933549	2167	20062	23970,234878,20411,17969,227157,16796,83813,13043,71602,67742,72828,53885,14269,259302,27375,170625,54353,216445,21873,57257,380698,16428,16818,72296,17974,223435,20410,14360,20404,15162,75415,16443,225608,17921,58234,12488,71972,211914,545156,338320,21981,51789,18708,13383,207777,14218,14784,100213,13196,21682,544817,269881,330914,21872	Pacsin2,Map3k21,Sorbs1,Ncf1,Mpp4,Lasp1,Tnk1,Cttn,Myo1e,Samsn1,Ubash3b,Nphp1,Fnbp1,Srgap3,Tjp3,Snx18,Skap2,Arhgap9,Tjp2,Vav3,Obscn,Itk,Lck,Rusc1,Nck2,Trio,Sorbs3,Fyn,Sh3gl2,Hck,Arhgap12,Itsn1,Sh3tc2,Myo7a,Shank3,Cd2ap,Dnmbp,Asap2,Kalrn,Mia2,Ppp1r13b,Tnk2,Pik3r1,Dlg1,Tspoap1,Sh3pxd2a,Grb2,Rusc2,Asap1,Tec,Arhgap27,Map3k10,Arhgap32,Tjp1
IPR001849	PH_domain	7.6013819827272e-09	-18.6949357663525	259	60	0.0276880479926165	2167	20062	105445,268739,16443,73728,75415,78618,19418,19878,109294,72993,140580,102098,545156,109934,215632,211914,27280,21682,19417,13196,224860,277360,54519,233765,100273,71720,13448,384783,544817,21844,71435,102693,380921,67016,232970,226751,140579,208177,212285,20662,106877,14783,21664,71801,19159,64291,71704,57257,110279,213990,216445,54353,67220,20399,381605,223435,17909,320129,380698,16428	Dock9,Arhgef40,Itsn1,Psd,Arhgap12,Acap2,Rasgrf2,Rock2,Prex2,Appl1,Elmo1,Arhgef18,Kalrn,Abr,Psd4,Asap2,Phlda3,Tec,Rasgrf1,Asap1,Plcl2,Prex1,Apbb1ip,Plekha7,Osbpl9,Osbpl3,Dok1,Irs2,Arhgap27,Tiam1,Arhgap21,Phldb1,Dgkh,Tbc1d2b,Phldb3,Cdc42bpa,Elmo2,Phldb2,Arap2,Sos1,Afap1l1,Grb10,Phlda1,Plekhf2,Cyth3,Osbpl1a,Arhgef3,Vav3,Bcr,Agap3,Arhgap9,Skap2,Plekho1,Sh2b1,Tbc1d2,Trio,Myo10,Grk3,Obscn,Itk
IPR017970	Homeobox_CS	2.58217683600924e-08	-17.4720479658757	182	46	0.021227503461006	2167	20062	18996,20474,12591,15424,16814,12677,104360,239102,231044,14843,15242,15405,17702,244813,11694,13172,20472,18993,18424,15404,15398,13390,14028,18509,12590,209448,15432,22255,17703,18506,140477,18935,15403,18423,22326,15373,27140,15209,13047,18420,13394,20471,15423,15421,27217,18999	Pou4f1,Six4,Cdx2,Hoxc5,Lbx1,Vsx2,Isl2,Zfhx2,Gbx1,Gsx2,Hhex,Hoxa9,Msx2,Bsx,Alx3,Dbx1,Six2,Pou3f3,Otx2,Hoxa7,Hoxa13,Dlx1,Evx1,Pax7,Cdx1,Hoxc10,Hoxd12,Uncx,Msx3,Pax4,Dmbx1,Phox2b,Hoxa6,Otx1,Vax1,Hmx3,Tlx3,Hesx1,Cux1,Otp,Dlx4,Six1,Hoxc4,Hoxc12,Mixl1,Pou5f1
IPR001356	Homeobox_dom	5.10367393635706e-07	-14.4881349908991	257	55	0.0253807106598985	2167	20062	22326,15373,18935,140477,15403,18423,74318,22255,17703,18506,15432,15421,27217,18999,110796,20471,21410,15423,241447,18420,13394,225631,27140,15209,13047,15405,17702,104360,12677,231044,239102,14843,15242,15379,12591,15424,16814,387609,18996,20474,12590,16815,209448,14028,18509,20472,18993,15404,18424,13390,15398,246086,244813,11694,13172	Vax1,Hmx3,Phox2b,Dmbx1,Hoxa6,Otx1,Hopx,Uncx,Msx3,Pax4,Hoxd12,Hoxc12,Mixl1,Pou5f1,Tshz1,Six1,Hnf1b,Hoxc4,Cers6,Otp,Dlx4,Onecut2,Tlx3,Hesx1,Cux1,Hoxa9,Msx2,Isl2,Vsx2,Gbx1,Zfhx2,Gsx2,Hhex,Onecut1,Cdx2,Hoxc5,Lbx1,Zhx2,Pou4f1,Six4,Cdx1,Lbx2,Hoxc10,Evx1,Pax7,Six2,Pou3f3,Hoxa7,Otx2,Dlx1,Hoxa13,Onecut3,Bsx,Alx3,Dbx1
IPR009057	Homeobox-like_sf	1.83383683023688e-06	-13.2091001574245	314	62	0.0286109829257037	2167	20062	15373,18511,22326,18935,140477,18423,15403,22255,74318,18506,17703,15432,15421,18999,27217,20471,218613,241447,21410,15423,13394,18420,116871,27140,225631,218214,15209,13047,18503,17702,15405,224829,104360,12677,15242,14843,231044,239102,12591,15379,16814,15424,666528,68703,387609,20474,18996,16815,12590,209448,18509,14028,20472,15398,13390,15404,18424,18993,244813,246086,13172,11694	Hmx3,Pax9,Vax1,Phox2b,Dmbx1,Otx1,Hoxa6,Uncx,Hopx,Pax4,Msx3,Hoxd12,Hoxc12,Pou5f1,Mixl1,Six1,Mier3,Cers6,Hnf1b,Hoxc4,Dlx4,Otp,Mta3,Tlx3,Onecut2,Kdm1b,Hesx1,Cux1,Pax1,Msx2,Hoxa9,Trerf1,Isl2,Vsx2,Hhex,Gsx2,Gbx1,Zfhx2,Cdx2,Onecut1,Lbx1,Hoxc5,Zfp541,Rere,Zhx2,Six4,Pou4f1,Lbx2,Cdx1,Hoxc10,Pax7,Evx1,Six2,Hoxa13,Dlx1,Hoxa7,Otx2,Pou3f3,Bsx,Onecut3,Dbx1,Alx3
IPR036388	WH-like_DNA-bd_sf	3.95963578777447e-05	-10.1367734167178	220	44	0.0203045685279188	2167	20062	71137,15441,19725,71375,14234,18810,14241,18503,56307,72584,99375,218214,26386,67711,20085,109294,23834,14247,12144,18509,223864,54139,22427,64290,17301,277360,18506,17425,56484,19726,14237,15229,16363,54169,619289,27049,13557,18511,108655,14008,67097,108689,13876,20375	Rfx4,Hp1bp3,Rfx2,Foxn3,Foxc2,Plec,Foxl1,Pax1,Metap2,Cul4b,Cul4a,Kdm1b,Hsf4,Nsmce1,Rps19,Prex2,Cdc6,Fli1,Blm,Pax7,Rapgef3,Irf6,Wrn,Foxb1,Foxd2,Prex1,Pax4,Foxk1,Foxo3,Rfx3,Foxd4,Foxd1,Irf2,Kat6b,Rfx8,Etv3,E2f3,Pax9,Foxp1,Etv2,Rps10,Stn1,Erg,Spi1
IPR001245	Ser-Thr/Tyr_kinase_cat_dom	4.34175362447381e-05	-10.0446471375299	130	30	0.0138440239963083	2167	20062	83813,74568,14919,19229,19713,18212,51789,230103,15162,234878,16337,13845,18160,65964,16428,16818,71751,11302,269881,14360,14182,12167,11482,16452,12978,16451,21687,20963,16590,21682	Tnk1,Mlkl,Gucy2e,Ptk2b,Ret,Ntrk2,Tnk2,Npr2,Hck,Map3k21,Insr,Ephb3,Npr1,Map3k20,Itk,Lck,Map3k13,Aatk,Map3k10,Fyn,Fgfr1,Bmpr1b,Acvrl1,Jak2,Csf1r,Jak1,Tek,Syk,Kit,Tec
IPR001331	GDS_CDC24_CS	9.94354609327591e-05	-9.21600175809528	24	10	0.00461467466543609	2167	20062	16443,19417,110279,21844,57257,109934,71704,71972,109294,277360	Itsn1,Rasgrf1,Bcr,Tiam1,Vav3,Abr,Arhgef3,Dnmbp,Prex2,Prex1
