TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00452	SH3DOMAIN	5.08701295270018e-06	-12.1888197458914	87	24	0.0363636363636364	660	6344	20404,20410,15162,53885,13196,12488,259302,17974,17969,21682,14360,21981,234878,16796,14784,57257,269881,16443,23970,71602,13043,16818,20411,54353	Sh3gl2,Sorbs3,Hck,Nphp1,Asap1,Cd2ap,Srgap3,Nck2,Ncf1,Tec,Fyn,Ppp1r13b,Map3k21,Lasp1,Grb2,Vav3,Map3k10,Itsn1,Pacsin2,Myo1e,Cttn,Lck,Sorbs1,Skap2
PR00024	HOMEOBOX	0.000113778962237135	-9.08125291946791	91	22	0.0333333333333333	660	6344	17703,17702,15424,15421,209448,15242,13172,12591,15423,231044,13394,15373,15405,13390,15403,14843,15404,27140,12590,244813,15432,14028	Msx3,Msx2,Hoxc5,Hoxc12,Hoxc10,Hhex,Dbx1,Cdx2,Hoxc4,Gbx1,Dlx4,Hmx3,Hoxa9,Dlx1,Hoxa6,Gsx2,Hoxa7,Tlx3,Cdx1,Bsx,Hoxd12,Evx1
PR00937	TBOX	0.000136001680481817	-8.90284331582062	17	8	0.0121212121212121	660	6344	20997,21387,13813,21384,21386,21380,21385,21375	T,Tbx4,Eomes,Tbx15,Tbx3,Tbx1,Tbx2,Tbr1
PR00109	TYRKINASE	0.000305583259985551	-8.09328827970645	97	22	0.0333333333333333	660	6344	19713,83813,234878,16428,11302,14182,16452,15162,51789,269881,16337,21687,65964,19229,16818,20963,18212,16451,14360,21682,71751,13845	Ret,Tnk1,Map3k21,Itk,Aatk,Fgfr1,Jak2,Hck,Tnk2,Map3k10,Insr,Tek,Map3k20,Ptk2b,Lck,Syk,Ntrk2,Jak1,Fyn,Tec,Map3k13,Ephb3
PR00031	HTHREPRESSR	0.000318394936830436	-8.05221800603494	28	10	0.0151515151515152	660	6344	13394,22326,16815,12590,18420,12591,13172,16814,17703,13390	Dlx4,Vax1,Lbx2,Cdx1,Otp,Cdx2,Dbx1,Lbx1,Msx3,Dlx1
PR01077	CLAUDIN	0.00111493478431091	-6.79895936518788	22	8	0.0121212121212121	660	6344	57255,53624,546519,58187,12739,56173,12741,54419	Cldn13,Cldn7,Tmem235,Cldn10,Cldn3,Cldn14,Cldn5,Cldn6
PR01597	ZONOCCLUDNS	0.00112142728968867	-6.79315303919657	3	3	0.00454545454545455	660	6344	27375,21872,21873	Tjp3,Tjp1,Tjp2
PR00249	GPCRSECRETIN	0.00195152370050558	-6.23914482665405	40	11	0.0166666666666667	660	6344	77596,99633,107934,12614,12921,381853,243277,170757,224792,54598,26364	Adgrf1,Adgrl2,Celsr3,Celsr1,Crhr1,Gipr,Adgrd1,Adgrl4,Adgrf5,Calcrl,Adgre5
PR00935	BAND41	0.00212453695765719	-6.15420140262888	24	8	0.0121212121212121	660	6344	545622,19250,13822,24000,54357,209630,218203,269587	Ptpn3,Ptpn14,Epb41l2,Ptpn21,Epb41l4b,Frmd4a,Mylip,Epb41
PR00398	STRDHORMONER	0.00246842471478569	-6.00417509909556	47	12	0.0181818181818182	660	6344	13864,13982,19411,26380,18124,19401,14815,26424,20181,11819,19016,218772	Nr2f6,Esr1,Rarg,Esrrb,Nr4a3,Rara,Nr3c1,Nr5a2,Rxra,Nr2f2,Pparg,Rarb
