TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50002	SH3	4.24484971155971e-09	-19.2775594214471	218	56	0.0360592401802962	1553	13465	227157,21981,16428,58234,54353,21873,207777,14269,14360,259302,15162,72828,211914,23970,83813,18810,71972,20404,20411,60597,67742,269881,57257,16818,13043,330914,338320,223435,13383,544817,51789,21682,20410,14218,71602,100213,17974,18708,21872,27375,17969,234878,14784,16796,72296,216445,12488,13196,17921,170625,380698,225608,545156,53885,16443,75415	Mpp4,Ppp1r13b,Itk,Shank3,Skap2,Tjp2,Tspoap1,Fnbp1,Fyn,Srgap3,Hck,Ubash3b,Asap2,Pacsin2,Tnk1,Plec,Dnmbp,Sh3gl2,Sorbs1,Mapk8ip2,Samsn1,Map3k10,Vav3,Lck,Cttn,Arhgap32,Mia2,Trio,Dlg1,Arhgap27,Tnk2,Tec,Sorbs3,Sh3pxd2a,Myo1e,Rusc2,Nck2,Pik3r1,Tjp1,Tjp3,Ncf1,Map3k21,Grb2,Lasp1,Rusc1,Arhgap9,Cd2ap,Asap1,Myo7a,Snx18,Obscn,Sh3tc2,Kalrn,Nphp1,Itsn1,Arhgap12
PS00027	HOMEOBOX_1	1.06086699504353e-07	-16.0590091572961	185	47	0.03026400515132	1553	13465	12590,16814,14028,15398,15403,20472,13394,17703,239102,18993,18506,15404,18509,13172,15373,244813,15209,18420,14843,18999,231044,18996,22255,18935,15424,27217,17702,22326,209448,15432,27140,11694,20471,13390,18423,15405,21410,12591,12677,13047,15421,104360,15242,15423,20474,140477,18424	Cdx1,Lbx1,Evx1,Hoxa13,Hoxa6,Six2,Dlx4,Msx3,Zfhx2,Pou3f3,Pax4,Hoxa7,Pax7,Dbx1,Hmx3,Bsx,Hesx1,Otp,Gsx2,Pou5f1,Gbx1,Pou4f1,Uncx,Phox2b,Hoxc5,Mixl1,Msx2,Vax1,Hoxc10,Hoxd12,Tlx3,Alx3,Six1,Dlx1,Otx1,Hoxa9,Hnf1b,Cdx2,Vsx2,Cux1,Hoxc12,Isl2,Hhex,Hoxc4,Six4,Dmbx1,Otx2
PS50003	PH_DOMAIN	5.77694507433453e-07	-14.3642206418494	237	54	0.034771410173857	1553	13465	73728,19418,268739,17909,226751,57257,71720,100273,71801,215632,19159,109934,67220,223435,213990,16428,381605,54353,224860,380921,19878,71435,384783,71704,211914,72993,109294,67016,216445,13196,105445,380698,19417,78618,14783,20662,212285,320129,21844,545156,277360,106877,233765,16443,75415,102098,544817,21682,54519,110279,102693,64291,232970,208177	Psd,Rasgrf2,Arhgef40,Myo10,Cdc42bpa,Vav3,Osbpl3,Osbpl9,Plekhf2,Psd4,Cyth3,Abr,Plekho1,Trio,Agap3,Itk,Tbc1d2,Skap2,Plcl2,Dgkh,Rock2,Arhgap21,Irs2,Arhgef3,Asap2,Appl1,Prex2,Tbc1d2b,Arhgap9,Asap1,Dock9,Obscn,Rasgrf1,Acap2,Grb10,Sos1,Arap2,Grk3,Tiam1,Kalrn,Prex1,Afap1l1,Plekha7,Itsn1,Arhgap12,Arhgef18,Arhgap27,Tec,Apbb1ip,Bcr,Phldb1,Osbpl1a,Phldb3,Phldb2
PS50071	HOMEOBOX_2	2.5513126247678e-06	-12.8789025764238	248	54	0.034771410173857	1553	13465	18420,14843,18999,244813,15209,225631,18996,231044,22255,18935,246086,18506,15373,13172,15404,18509,13394,17703,18993,239102,14028,16814,12590,15398,15403,15379,20472,74318,20474,241447,18424,387609,140477,16815,12591,21410,15421,13047,12677,15423,15242,104360,11694,13390,20471,18423,15405,15424,22326,17702,27217,209448,27140,15432	Otp,Gsx2,Pou5f1,Bsx,Hesx1,Onecut2,Pou4f1,Gbx1,Uncx,Phox2b,Onecut3,Pax4,Hmx3,Dbx1,Hoxa7,Pax7,Dlx4,Msx3,Pou3f3,Zfhx2,Evx1,Lbx1,Cdx1,Hoxa13,Hoxa6,Onecut1,Six2,Hopx,Six4,Cers6,Otx2,Zhx2,Dmbx1,Lbx2,Cdx2,Hnf1b,Hoxc12,Cux1,Vsx2,Hoxc4,Hhex,Isl2,Alx3,Dlx1,Six1,Otx1,Hoxa9,Hoxc5,Vax1,Msx2,Mixl1,Hoxc10,Tlx3,Hoxd12
PS00022	EGF_1	4.18460697074666e-05	-10.081512679239	164	37	0.0238248551191243	1553	13465	192897,16776,214058,13004,11603,171171,16421,211323,20343,81877,246154,226255,15587,77446,21687,11496,57764,14118,18183,65969,224024,18792,241324,16419,70417,23966,13386,16416,18129,15200,14456,54003,107934,12614,18128,13388,16772	Itgb4,Lama5,Megf11,Ncan,Agrn,Ntng2,Itgb7,Nrg1,Sell,Tnxb,Vasn,Atrnl1,Hyal2,Heg1,Tek,Adam22,Ntn4,Fbn1,Nrg3,Cubn,Scarf2,Plau,Crb2,Itgb5,Megf10,Tenm4,Dlk1,Itgb3,Notch2,Hbegf,Gas6,Nell2,Celsr3,Celsr1,Notch1,Dll1,Lama1
PS01283	TBOX_1	0.000168386837705314	-8.68924662010558	16	8	0.0051513200257566	1553	13465	21387,21385,13813,21380,21375,21384,20997,21386	Tbx4,Tbx2,Eomes,Tbx1,Tbr1,Tbx15,T,Tbx3
PS00741	DH_1	0.000172216977812775	-8.66675537726055	24	10	0.00643915003219575	1553	13465	16443,277360,109294,19417,109934,21844,71972,57257,110279,71704	Itsn1,Prex1,Prex2,Rasgrf1,Abr,Tiam1,Dnmbp,Vav3,Bcr,Arhgef3
PS01264	TBOX_2	0.000285980633918494	-8.15958646300879	17	8	0.0051513200257566	1553	13465	21387,21380,21375,20997,21384,21385,13813,21386	Tbx4,Tbx1,Tbr1,T,Tbx15,Tbx2,Eomes,Tbx3
PS50252	TBOX_3	0.000285980633918494	-8.15958646300879	17	8	0.0051513200257566	1553	13465	21375,21380,21386,21384,20997,21387,13813,21385	Tbr1,Tbx1,Tbx3,Tbx15,T,Tbx4,Eomes,Tbx2
PS50010	DH_2	0.000523626777197617	-7.5547313846754	68	18	0.0115904700579523	1553	13465	16443,223435,277360,109294,102098,545156,109934,100045792,21844,57257,20662,71704,110279,380698,19417,268739,71972,19418	Itsn1,Trio,Prex1,Prex2,Arhgef18,Kalrn,Abr,Ect2l,Tiam1,Vav3,Sos1,Arhgef3,Bcr,Obscn,Rasgrf1,Arhgef40,Dnmbp,Rasgrf2
