TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY-6353	purine nucleotides degradation II (aerobic)	0.00266785895396034	-5.92647901815817	12	7	0.0355329949238579	197	1039	23917,11486,14544,23959,21744,76952,110532	Impdh1,Ada,Gda,Nt5e,Adad1,Nt5c2,Adarb1
MOUSE_PWY3DJ-6	Leucine Catabolism	0.0144577898321045	-4.23652192095286	12	6	0.0304568527918782	197	1039	56357,13171,11992,78038,12039,12035	Ivd,Dbt,Auh,Mccc2,Bckdha,Bcat1
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.0160082448029228	-4.13465138928123	58	18	0.0913705583756345	197	1039	210293,56784,11512,233071,66687,23881,11515,105445,76088,109934,70314,104110,114713,73910,11513,110279,11516,216991	Dock10,Ralgapa1,Adcy6,Arhgap33,Tbc1d15,G3bp2,Adcy9,Dock9,Dock8,Abr,Rabep2,Adcy4,Rasa2,Arhgap18,Adcy7,Bcr,Adcyap1,Adap2
MOUSE_ARGASEDEG-PWY	arginine degradation I (arginase pathway)	0.0231472504747735	-3.76587927549179	4	3	0.0152284263959391	197	1039	18242,212647,11847	Oat,Aldh4a1,Arg2
MOUSE_PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	0.0465723273581584	-3.06674874775541	8	4	0.0203045685279188	197	1039	17330,16331,16329,228550	Minpp1,Inpp5d,Inpp1,Itpka
MOUSE_LEU-DEG2-PWY	leucine degradation I	0.0465723273581584	-3.06674874775541	8	4	0.0203045685279188	197	1039	56357,11992,78038,12035	Ivd,Auh,Mccc2,Bcat1
MOUSE_PWY-3981	beta-alanine biosynthesis I	0.0465723273581584	-3.06674874775541	8	4	0.0203045685279188	197	1039	110695,11671,11669,76507	Aldh7a1,Aldh3a2,Aldh2,Aoc1
MOUSE_SALVADEHYPOX-PWY	adenosine nucleotides degradation II	0.0498234823606571	-2.99926887274191	5	3	0.0152284263959391	197	1039	21744,110532,11486	Adad1,Adarb1,Ada
MOUSE_SER-GLYSYN-PWY	superpathway of serine and glycine biosynthesis I	0.0498234823606571	-2.99926887274191	5	3	0.0152284263959391	197	1039	107272,20425,236539	Psat1,Shmt1,Phgdh
MOUSE_PWY-2501	fatty acid alpha-oxidation	0.0498234823606571	-2.99926887274191	5	3	0.0152284263959391	197	1039	11669,11671,110695	Aldh2,Aldh3a2,Aldh7a1
MOUSE_PWY0-1296	purine ribonucleosides degradation to ribose-1-phosphate	0.0498234823606571	-2.99926887274191	5	3	0.0152284263959391	197	1039	11486,21744,110532	Ada,Adad1,Adarb1
MOUSE_URSIN-PWY	ureide biosynthesis	0.071673212308983	-2.63563820914938	9	4	0.0203045685279188	197	1039	76952,23959,23917,22262	Nt5c2,Nt5e,Impdh1,Uox
MOUSE_PWY-6609	adenine and adenosine salvage III	0.0859421715676787	-2.45408063253844	6	3	0.0152284263959391	197	1039	110532,21744,11486	Adarb1,Adad1,Ada
MOUSE_PROLINE-DEG2-PWY	proline degradation III	0.0939418658622398	-2.3650791363042	3	2	0.0101522842639594	197	1039	56189,212647	Prodh2,Aldh4a1
MOUSE_GLUTATHIONESYN-PWY	glutathione biosynthesis	0.0939418658622398	-2.3650791363042	3	2	0.0101522842639594	197	1039	14629,14630	Gclc,Gclm
MOUSE_PWY-6405	Rapoport-Luebering glycolytic shunt	0.0939418658622398	-2.3650791363042	3	2	0.0101522842639594	197	1039	12183,18648	Bpgm,Pgam1
