TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
16825	Ldb1 (LIM domain binding 1)	1.43395888460186e-06	-13.4550714880237	33	19	0.00836267605633803	2272	11667	11695,22631,66970,110648,16869,19211,109593,18741,16909,16872,16873,16870,16876,104360,15429,16924,16392,76900,16917	Alx4,Ywhaz,Ssbp2,Lmx1a,Lhx1,Pten,Lmo3,Pitx2,Lmo2,Lhx4,Lhx5,Lhx2,Lhx9,Isl2,Hoxd1,Lnx1,Isl1,Ssbp4,Lmx1b
16826	Ldb2 (LIM domain binding 2)	3.73101190202259e-05	-10.1962459807008	33	17	0.00748239436619718	2272	11667	14281,66970,110648,16869,19651,109593,21781,16909,16872,16873,16870,16876,104360,21416,76900,16392,16917	Fos,Ssbp2,Lmx1a,Lhx1,Rbl2,Lmo3,Tfdp1,Lmo2,Lhx4,Lhx5,Lhx2,Lhx9,Isl2,Tcf7l2,Ssbp4,Isl1,Lmx1b
11695	Alx4 (aristaless-like homeobox 4)	6.13496386427636e-05	-9.6989212769182	31	16	0.00704225352112676	2272	11667	15433,18997,18424,15432,16917,13392,13395,12591,12590,27217,11695,15375,20674,15395,18505,18933	Hoxd13,Pou4f2,Otx2,Hoxd12,Lmx1b,Dlx2,Dlx5,Cdx2,Cdx1,Mixl1,Alx4,Foxa1,Sox2,Hoxa10,Pax3,Prrx1
19091	Prkg1 (protein kinase, cGMP-dependent, type I)	6.99987720844259e-05	-9.56703285771983	8	7	0.00308098591549296	2272	11667	78808,14586,107065,14701,16796,20343,56278	Stxbp5,Gfra2,Lrrtm2,Gng12,Lasp1,Sell,Gkap1
58194	Sh3kbp1 (SH3-domain kinase binding protein 1)	0.00014045662128356	-8.87061186217486	39	18	0.00792253521126761	2272	11667	29816,24064,17761,16331,240057,18571,75991,18708,20239,15165,224997,12343,20975,19349,330192,330171,329165,19229	Hip1r,Spry2,Map7,Inpp5d,Syngap1,Pdcd6ip,Slain2,Pik3r1,Atxn2,Hcn1,Dlgap1,Capza2,Synj2,Rab7,Vps37b,Kctd10,Abi2,Ptk2b
19273	Ptpru (protein tyrosine phosphatase receptor type U)	0.000191685824187009	-8.55965285854988	11	8	0.00352112676056338	2272	11667	19250,19270,19280,19249,19271,19268,19263,19267	Ptpn14,Ptprg,Ptprs,Ptpn13,Ptprj,Ptprf,Ptprb,Ptpre
328572	Ep300 (E1A binding protein p300)	0.000215244370488194	-8.44373656836339	82	30	0.0132042253521127	2272	11667	15395,19668,57748,58208,14281,21834,218772,18128,19401,13982,21385,319974,18741,17977,18018,12912,12606,19411,17927,12393,433938,11909,18708,56484,14463,226896,30946,12394,21416,16475	Hoxa10,Rbpjl,Jmy,Bcl11b,Fos,Thrb,Rarb,Notch1,Rara,Esr1,Tbx2,Auts2,Pitx2,Ncoa1,Nfatc1,Creb1,Cebpa,Rarg,Myod1,Runx2,Mn1,Atf2,Pik3r1,Foxo3,Gata4,Tfap2d,Abt1,Runx1,Tcf7l2,Ajuba
20670	Sox15 (SRY (sex determining region Y)-box 15)	0.000279064867411596	-8.18406630348363	5	5	0.00220070422535211	2272	11667	18999,15433,11695,18742,15110	Pou5f1,Hoxd13,Alx4,Pitx3,Hand1
224997	Dlgap1 (DLG associated protein 1)	0.000281041666210346	-8.17700762129404	165	51	0.0224471830985916	2272	11667	13821,56431,16492,210933,26556,18578,244310,56508,240057,22629,11877,104027,12325,66860,64009,380684,223435,20411,232227,53321,11496,74342,14693,56320,12323,12322,228836,54401,545156,234214,76884,19055,74488,26921,230904,215748,14814,20743,14811,26936,72685,83814,269941,69601,12343,16443,226251,22631,13383,22630,227753	Epb41l1,Dstn,Kcna4,Adgrb3,Homer1,Pde4b,Dlgap2,Rapgef4,Syngap1,Ywhah,Arvcf,Synpo,Camk2g,Tanc1,Syne1,Nefh,Trio,Sorbs1,Iqsec1,Cntnap1,Adam22,Lrrtm1,Gnb2,Dbn1,Camk2b,Camk2a,Dlgap4,Ywhab,Kalrn,Sorbs2,Cyfip2,Ppp3ca,Lrrc15,Map4k4,Fbxo2,Cnksr3,Grin2d,Sptbn2,Grin2a,Mprip,Dnajc6,Nedd4l,Chsy1,Dab2ip,Capza2,Itsn1,Ablim1,Ywhaz,Dlg1,Ywhaq,Gsn
19645	Rb1 (RB transcriptional corepressor 1)	0.000298542781067978	-8.11659731524024	58	23	0.0101232394366197	2272	11667	18012,12571,18976,15902,18510,21781,18504,18032,12606,242705,22601,16468,16475,19411,12393,19651,108000,19668,57782,14281,67568,30946,21761	Neurod1,Cdk6,Pomc,Id2,Pax8,Tfdp1,Pax2,Nfix,Cebpa,E2f2,Yap1,Jarid2,Ajuba,Rarg,Runx2,Rbl2,Cenpf,Rbpjl,Rbak,Fos,Mrfap1,Abt1,Morf4l1
13385	Dlg4 (discs large MAGUK scaffold protein 4)	0.000477134853116482	-7.64771139609512	356	95	0.0418133802816901	2272	11667	13800,217692,14544,22631,226251,14802,12343,70350,16432,12323,272381,228836,545156,54401,67916,224997,215748,14814,239667,14086,380702,19088,109934,235044,110954,380684,232227,53321,381921,74012,56320,19053,20352,16492,226180,210933,76742,11735,109676,237979,19229,68365,237730,14805,72555,71069,22031,20720,11418,16522,14811,67951,140580,99470,83814,14395,11472,69601,13383,93840,12759,70729,12322,54357,22342,217219,23984,234214,19259,76884,19055,14677,18212,66860,13860,64009,214459,14401,20411,11496,19763,216152,18754,56431,66871,214230,26556,27801,19878,70620,18749,244310,20112,16554,240057	Enah,Sipa1l1,Gda,Ywhaz,Ablim1,Gria4,Capza2,Basp1,Itm2b,Camk2b,Lrrc4b,Dlgap4,Kalrn,Ywhab,Plpp3,Dlgap1,Cnksr3,Grin2d,Dip2b,Fscn1,Shisa6,Prkar2b,Abr,Plppr2,Rpl10,Nefh,Iqsec1,Cntnap1,Taok2,Rap2b,Dbn1,Ppp2cb,Sema4b,Kcna4,Ina,Adgrb3,Snx27,Ank3,Ank2,Sdk2,Ptk2b,Rab14,Fbll1,Grik1,Shisa9,Stox2,Traf3,Serpine2,Asic2,Kcnj6,Grin2a,Tubb6,Elmo1,Magi3,Nedd4l,Gabra2,Actn2,Dab2ip,Dlg1,Vangl2,Clu,Nos1ap,Camk2a,Epb41l4b,Lin7b,Fam171a2,Pde10a,Sorbs2,Ptpn5,Cyfip2,Ppp3ca,Gnai1,Ntrk2,Tanc1,Eps8,Syne1,Fnbp1l,Gabrb2,Sorbs1,Adam22,Ring1,Plppr3,Prkce,Dstn,Cpne8,Pak6,Homer1,Zdhhc8,Rock2,Ube2v2,Prkacb,Dlgap2,Rps6ka2,Kif13b,Syngap1
20681	Sox8 (SRY (sex determining region Y)-box 8)	0.00063317053226548	-7.36477076883964	15	9	0.0039612676056338	2272	11667	22286,13395,26423,18933,18505,13654,18993,12606,50913	Utf1,Dlx5,Nr5a1,Prrx1,Pax3,Egr2,Pou3f3,Cebpa,Olig2
545156	Kalrn (kalirin, RhoGEF kinase)	0.000697208551908765	-7.26842597831681	61	23	0.0101232394366197	2272	11667	18040,104027,208727,238871,12325,217692,26913,223435,20411,232227,269941,69601,11496,12323,226180,12322,26556,109676,224997,14805,240057,56508,20743	Nefm,Synpo,Hdac4,Pde4d,Camk2g,Sipa1l1,Gprin1,Trio,Sorbs1,Iqsec1,Chsy1,Dab2ip,Adam22,Camk2b,Ina,Camk2a,Homer1,Ank2,Dlgap1,Grik1,Syngap1,Rapgef4,Sptbn2
16842	Lef1 (lymphoid enhancer binding factor 1)	0.000722844589754941	-7.23231631084053	18	10	0.00440140845070423	2272	11667	21885,17863,17126,21416,21414,21665,21888,18505,13982,18507	Tle1,Myb,Smad2,Tcf7l2,Tcf7,Tdg,Tle4,Pax3,Esr1,Pax5
14083	Ptk2 (PTK2 protein tyrosine kinase 2)	0.000732651276504432	-7.21884071757038	54	21	0.00924295774647887	2272	11667	20416,18708,13043,224997,14463,19211,20411,19229,319939,12927,16419,13196,171580,56480,218038,21841,18548,98845,109711,208727,12702	Shc1,Pik3r1,Cttn,Dlgap1,Gata4,Pten,Sorbs1,Ptk2b,Tns3,Bcar1,Itgb5,Asap1,Mical1,Tbk1,Amph,Tia1,Pcsk1,Eps8l2,Actn1,Hdac4,Socs3
18163	Ctnnd2 (catenin delta 2)	0.00075710003715518	-7.18601516377936	21	11	0.00484154929577465	2272	11667	50791,16924,12558,58869,51789,381921,224997,13043,71461,545156,18212	Magi2,Lnx1,Cdh2,Pex5l,Tnk2,Taok2,Dlgap1,Cttn,Ptk7,Kalrn,Ntrk2
18844	Plxna1 (plexin A1)	0.00102749939975395	-6.88062719577513	13	8	0.00352112676056338	2272	11667	18160,20357,214968,20360,20356,18187,20358,67784	Npr1,Sema5b,Sema6d,Sema6c,Sema5a,Nrp2,Sema6a,Plxnd1
