TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PPAR	PPAR (Peroxisome proliferator-activated receptor) signaling pathway	0.115653813800442	-2.15715391375856	45	16	0.142857142857143	112	416	12894,11806,19016,104086,22190,66113,18534,16956,11363,20411,18830,26457,20249,11430,12896,228026	Cpt1a,Apoa1,Pparg,Cyp27a1,Ubc,Apoa5,Pck1,Lpl,Acadl,Sorbs1,Pltp,Slc27a1,Scd1,Acox1,Cpt2,Pdk1
PI3K	PI3K/Akt/mTOR signaling pathway	0.319273721735378	-1.14170648225553	92	27	0.241071428571429	112	416	18019,18708,73699,18710,19211,56458,23797,73181,19698,18034,18707,18033,18569,18018,224045,19053,19052,22341,16001,13684,16002,12576,54446,18035,26408,16331,22339	Nfatc2,Pik3r1,Ppp2r1b,Pik3r3,Pten,Foxo1,Akt3,Nfatc4,Relb,Nfkb2,Pik3cd,Nfkb1,Pdcd4,Nfatc1,Eif2b5,Ppp2cb,Ppp2ca,Vegfc,Igf1r,Eif4e,Igf2,Cdkn1b,Nfat5,Nfkbia,Map3k5,Inpp5d,Vegfa
FAOmega3And6Unsaturated	Omega-3 and omega-6 unsaturated fatty acids biosynthesis pathway	0.377378298723971	-0.974507149757244	15	5	0.0446428571428571	112	416	18784,68801,11430,26897,74205	Pla2g5,Elovl5,Acox1,Acot1,Acsl3
TLR4	TLR4 (Toll-like receptor 4) signaling pathway	0.438753363224167	-0.823817838763255	67	19	0.169642857142857	112	416	15977,20302,26410,26420,26416,22031,18033,14281,19094,19698,73914,18034,18035,21898,16159,26419,20304,56480,266632	Ifnb1,Ccl3,Map3k8,Mapk9,Mapk14,Traf3,Nfkb1,Fos,Mapk11,Relb,Irak3,Nfkb2,Nfkbia,Tlr4,Il12a,Mapk8,Ccl5,Tbk1,Irak4
FAEicosanoidsLOX	Arachidonic acid metabolism via LOX (Lipooxygenase) pathway	0.46172415586785	-0.772787631435921	20	6	0.0535714285714286	112	416	13479,11684,11687,11430,67103,64385	Dpep1,Alox12,Alox15,Acox1,Ptgr1,Cyp4f14
SP	Sphingolipids metabolism pathway	0.47959295161301	-0.734817552323322	24	7	0.0625	112	416	67916,71949,70059,208449,19012,13244,268656	Plpp3,Cers5,Degs2,Sgms1,Plpp1,Degs1,Sptlc1
Apoptosis	Apoptosis signaling pathway	0.54296264093847	-0.610714762633401	74	20	0.178571428571429	112	416	18710,23797,12633,18035,19698,73914,18034,18708,12364,19055,266632,12983,19085,21933,19088,18749,53859,18033,18707,14102	Pik3r3,Akt3,Cflar,Nfkbia,Relb,Irak3,Nfkb2,Pik3r1,Casp12,Ppp3ca,Irak4,Csf2rb,Prkar1b,Tnfrsf10b,Prkar2b,Prkacb,Map3k14,Nfkb1,Pik3cd,Fas
FAOmega9AndOthersUnsaturated	Omega-9 and other unsaturated fatty acids biosynthesis pathway	0.547368547862944	-0.602632941346455	14	4	0.0357142857142857	112	416	74205,26897,68801,20250	Acsl3,Acot1,Elovl5,Scd2
ST	Sterols biosynthesis pathway	0.746525536429891	-0.292325454376472	9	2	0.0178571428571429	112	416	74754,20652	Dhcr24,Soat1
GP	Glycerolipids/Glycerophospholipids metabolism pathway	0.80056798918144	-0.222433816758575	19	4	0.0357142857142857	112	416	19012,320951,212862,75320	Plpp1,Pisd,Chpt1,Etnk1
FAEicosanoidsCOX	Arachidonic acid metabolism via COX (Cyclooxygenase) pathway	0.80056798918144	-0.222433816758575	19	4	0.0357142857142857	112	416	11430,67103,19223,64385	Acox1,Ptgr1,Ptgis,Cyp4f14
CellCycle	Cell cycle signaling pathway	0.858927341817764	-0.152070945187977	95	22	0.196428571428571	112	416	12576,17127,12235,242705,12571,13557,17219,19651,12544,140557,12237,218294,55948,12578,19357,22137,17869,12579,21781,12545,50878,17126	Cdkn1b,Smad3,Bub1,E2f2,Cdk6,E2f3,Mcm6,Rbl2,Cdc45,Smc1b,Bub3,Cdc14b,Sfn,Cdkn2a,Rad21,Ttk,Myc,Cdkn2b,Tfdp1,Cdc7,Stag3,Smad2
FAEicosanoids	Arachidonic acid metabolism pathway	0.942462851839672	-0.0592587749304593	9	1	0.00892857142857143	112	416	18784	Pla2g5
FAEicosanoidsCYP	Arachidonic acid metabolism via CYP (Cytochromoe P450) pathway	0.991774331454052	-0.00825968603026447	15	1	0.00892857142857143	112	416	64385	Cyp4f14
