TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00046	Homeodomain	1.70732018688357e-31	-70.8452128837259	227	113	0.0356129845572014	3173	19276	387609,15209,15438,15413,18741,11906,17702,18505,212712,110648,13048,20429,16814,16871,320799,16876,13395,74318,239102,15284,223843,17703,12677,20476,27140,15434,18935,12591,18997,13396,11694,19009,18996,18991,216285,13796,14842,104360,209448,17286,16392,15429,15405,15432,15430,18506,15433,71949,14843,18998,54422,16870,18742,17701,15395,15425,15403,18933,20230,16873,13798,11878,16874,11695,16872,18740,21909,15417,384452,104382,22326,15404,14472,18508,27217,18509,20474,15431,21908,13394,12023,15379,16869,16815,18424,11859,15373,14029,15285,18987,13392,22255,13047,18992,225631,16917,15415,20472,12022,14836,12590,244813,15372,18420,15426,15421,13172,20473,18423,18999,140477,13393,18993	Zhx2,Hesx1,Hoxd9,Hoxb5,Pitx2,Zfhx3,Msx2,Pax3,Satb2,Lmx1a,Cux2,Shox2,Lbx1,Lhx3,Zhx3,Lhx9,Dlx5,Hopx,Zfhx2,Hlx,Dbx2,Msx3,Vsx2,Six6,Tlx3,Hoxd3,Phox2b,Cdx2,Pou4f2,Dlx6,Alx3,Pou6f1,Pou4f1,Pou3f1,Alx1,Emx1,Gsx1,Isl2,Hoxc10,Meox2,Isl1,Hoxd1,Hoxa9,Hoxd12,Hoxd10,Pax4,Hoxd13,Cers5,Gsx2,Pou4f3,Barhl1,Lhx2,Pitx3,Msx1,Hoxa10,Hoxc6,Hoxa6,Prrx1,Satb1,Lhx5,En1,Arx,Lhx6,Alx4,Lhx4,Pitx1,Tlx2,Hoxb9,Noto,Barhl2,Vax1,Hoxa7,Gbx2,Pax6,Mixl1,Pax7,Six4,Hoxd11,Tlx1,Dlx4,Barx2,Onecut1,Lhx1,Lbx2,Otx2,Phox2a,Hmx3,Evx2,Mnx1,Pou2f2,Dlx2,Uncx,Cux1,Pou3f2,Onecut2,Lmx1b,Hoxb7,Six2,Barx1,Gsc,Cdx1,Bsx,Hmx2,Otp,Hoxc8,Hoxc12,Dbx1,Six3,Otx1,Pou5f1,Dmbx1,Dlx3,Pou3f3
PF00010	HLH	5.69298049831095e-12	-25.8917871915212	104	47	0.0148124803025528	3173	19276	17342,21412,18109,17681,140489,17292,56198,277353,15205,20788,17859,50913,17927,17341,11924,11921,20289,50914,15901,17121,21413,20465,53404,15110,79362,71093,15902,16918,18072,20464,18012,84653,18014,18071,56184,18143,17869,94222,15207,18013,15214,226439,15206,208104,22160,234219,18142	Mitf,Tcf21,Mycn,Msc,Bhlhe23,Mesp1,Heyl,Tcfl5,Hes1,Srebf2,Mxi1,Olig2,Myod1,Bhlha15,Neurog2,Atoh1,Scx,Olig1,Id1,Mxd3,Tcf4,Sim2,Atoh7,Hand1,Bhlhe41,Atoh8,Id2,Mycl,Nhlh2,Sim1,Neurod1,Hes7,Neurog1,Nhlh1,Msgn1,Npas2,Myc,Olig3,Hes3,Neurod2,Hey2,Ascl5,Hes2,Mlxip,Twist1,Helt,Npas1
PF00292	PAX	8.78937122336039e-08	-16.2471375679925	9	9	0.00283643239836117	3173	19276	18509,18504,18506,18511,18503,18505,18510,18508,18507	Pax7,Pax2,Pax4,Pax9,Pax1,Pax3,Pax8,Pax6,Pax5
PF03826	OAR	5.29208266946486e-07	-14.4518837832356	14	11	0.0034667507091081	3173	19276	12677,11695,140477,18420,18742,20429,11878,18933,18741,18740,216285	Vsx2,Alx4,Dmbx1,Otp,Pitx3,Shox2,Arx,Prrx1,Pitx2,Pitx1,Alx1
PF03165	MH1	1.19783961698724e-05	-11.3324058498758	12	9	0.00283643239836117	3173	19276	18028,18027,17126,55994,17125,18032,17131,17127,18029	Nfib,Nfia,Smad2,Smad9,Smad1,Nfix,Smad7,Smad3,Nfic
PF00102	Y_phosphatase	3.23701628253991e-05	-10.338273459906	41	18	0.00567286479672234	3173	19276	19267,19268,19248,19283,19279,19250,19260,545622,19280,19249,19211,19281,19253,19270,19263,19271,24000,19259	Ptpre,Ptprf,Ptpn12,Ptprz1,Ptprr,Ptpn14,Ptpn22,Ptpn3,Ptprs,Ptpn13,Pten,Ptprt,Ptpn18,Ptprg,Ptprb,Ptprj,Ptpn21,Ptpn5
PF00787	PX	7.84445448762786e-05	-9.45311861751557	47	19	0.00598802395209581	3173	19276	217463,66895,320119,74718,101113,17969,170625,66696,71982,218699,56440,69150,209131,170755,18705,14218,64652,102141,76742	Snx13,Pxdc1,Rps6kc1,Snx16,Snx21,Ncf1,Snx18,Snx31,Snx10,Pxk,Snx1,Snx4,Snx30,Sgk3,Pik3c2g,Sh3pxd2a,Nisch,Snx25,Snx27
PF00907	T-box	9.10390028086321e-05	-9.30422254097849	17	10	0.00315159155373464	3173	19276	21385,21380,21375,76365,21389,21384,21386,21387,20997,21388	Tbx2,Tbx1,Tbr1,Tbx18,Tbx6,Tbx15,Tbx3,Tbx4,T,Tbx5
PF00505	HMG_box	0.000109938863847	-9.11558612988569	48	19	0.00598802395209581	3173	19276	70508,20672,20667,20682,20665,15353,20679,20664,20666,21415,269389,20678,16842,21414,214105,21416,20671,20674,20680	Bbx,Sox18,Sox12,Sox9,Sox10,Hmg20b,Sox6,Sox1,Sox11,Tcf7l1,Tox2,Sox5,Lef1,Tcf7,Sox30,Tcf7l2,Sox17,Sox2,Sox7
PF02376	CUT	0.000119167931634926	-9.0349768694364	7	6	0.00189095493224078	3173	19276	13047,20230,13048,212712,225631,15379	Cux1,Satb1,Cux2,Satb2,Onecut2,Onecut1
