TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-422475	Axon guidance	3.27853781403607e-09	-19.5358683023472	437	123	0.0825503355704698	1490	8672	214968,19876,12983,12933,17395,14814,12912,14783,22339,13638,20437,16402,14170,13004,100042150,16443,18188,19052,11472,14182,107448,211323,623279,14177,53321,67603,18015,232910,20356,235584,12323,330662,230126,268902,20418,18645,18708,12517,12315,14586,13642,57257,18176,327826,208117,545156,13837,26757,20741,20358,14179,104099,19417,14573,20416,12484,67151,22190,14175,67784,21844,12982,56378,19649,19053,18707,22186,14811,16590,14585,73699,20354,69601,76829,20743,12289,17390,14180,12288,19177,12322,223435,16398,67268,18595,114713,13383,240057,14186,13844,19122,19878,13637,14164,12840,19170,19167,11600,12827,109676,76089,18844,68318,171463,12298,13845,80297,12661,18187,12325,14165,18208,22253,77579,16410,12826,54401,67089,16772,12841,110157,13800,15234	Sema6d,Robo1,Csf2rb,Crmp1,Mmp9,Grin2d,Creb1,Grb10,Vegfa,Efna3,Siah1a,Itga5,Fgf15,Ncan,Nrg2,Itsn1,Nrtn,Ppp2ca,Actn2,Fgfr1,Unc5a,Nrg1,Dok6,Fgf6,Cntnap1,Dusp6,Nf1,Ap2s1,Sema5a,Dusp7,Camk2b,Dock1,Shb,Robo2,Shc3,Pfn2,Pik3r1,Cd72,Calm3,Gfra2,Efnb2,Vav3,Nras,Frs2,Aph1b,Kalrn,Epha3,Dpysl4,Sptb,Sema6a,Fgf8,Itga9,Rasgrf1,Gdnf,Shc1,Cd24a,Psmd9,Ubc,Fgf4,Plxnd1,Tiam1,Csf2ra,Arpc3,Robo3,Ppp2cb,Pik3cd,Uba52,Grin2a,Kit,Gfra1,Ppp2r1b,Sema4d,Dab2ip,Dok5,Sptbn2,Cacna1d,Mmp2,Fgf9,Cacna1c,Psmb7,Camk2a,Trio,Itga2,Myl12a,Pdgfra,Rasa2,Dlg1,Syngap1,Fgfr4,Ephb2,Prnp,Rock2,Efna2,Fgf1,Col9a2,Psmb1,Psma3,Angpt1,Col4a2,Ank2,Rapgef2,Plxna1,Aph1c,Il17rd,Cacnb4,Ephb3,Sptbn4,Chl1,Nrp2,Camk2g,Fgf10,Ntn1,Unc5c,Myh10,Itgav,Col4a1,Ywhab,Psmc6,Lama1,Col9a3,Raf1,Enah,Hgf
R-MMU-112316	Neuronal System	1.16738568860537e-07	-15.9633288564498	311	90	0.0604026845637584	1490	8672	14615,11515,16502,16526,228836,19417,13822,11435,14807,68507,20508,110886,16492,14811,11512,107065,12322,13383,16518,18749,14701,225030,110835,16521,16530,16523,14700,74342,18191,382571,12298,14816,12325,110834,108015,67760,14402,20910,14693,110157,15165,20168,14814,12912,244310,380728,11513,268860,13821,224997,105727,14395,207777,217826,72961,54393,19268,11472,14805,211480,16538,14677,14708,223604,11441,232910,16528,14401,12323,72258,22348,20112,11669,14702,19280,20510,241794,16524,319924,240444,67498,26556,12315,14802,104110,76787,14417,72413,22342,16522	Gjc1,Adcy9,Kcnc1,Kcnk2,Dlgap4,Rasgrf1,Epb41l2,Chrna1,Grik3,Ppfia4,Slc18a3,Gabra5,Kcna4,Grin2a,Adcy6,Lrrtm2,Camk2a,Dlg1,Kcnj2,Prkacb,Gng12,Kcng3,Chrna5,Kcnj5,Kcnk7,Kcnj8,Gng10,Lrrtm1,Nrxn3,Kcnf1,Cacnb4,Grm1,Camk2g,Chrna3,Chrnb4,Slc38a2,Gabrb3,Stxbp1,Gnb2,Raf1,Hcn1,Rtn3,Grin2d,Creb1,Dlgap2,Kcnh4,Adcy7,Abat,Epb41l1,Dlgap1,Slc38a1,Gabra2,Tspoap1,Kcnk13,Slc17a7,Gabbr1,Ptprf,Actn2,Grik1,Kcnj14,Kcns1,Gnai1,Gng7,Kcnk9,Chrna7,Ap2s1,Kcnk4,Gabrb2,Camk2b,Kcnk10,Slc32a1,Rps6ka2,Aldh2,Gng2,Ptprs,Slc1a1,Kcng1,Kcnj9,Apba1,Kcng2,Kcnv1,Homer1,Calm3,Gria4,Adcy4,Ppfia3,Gad2,Kcnmb2,Lin7b,Kcnj6
R-MMU-186797	Signaling by PDGF	7.43995004186029e-07	-14.1112315169396	323	90	0.0604026845637584	1490	8672	18188,211323,14182,11472,19052,11513,14170,18574,100042150,12912,19085,20848,19088,14814,15937,12983,104110,14586,327826,18176,12576,12927,56458,18708,12315,18791,12323,235584,77647,20418,56484,14177,67603,18015,73699,14585,14811,16590,69601,11512,15370,20743,19177,14180,78757,18754,12519,19053,22186,228775,18707,98432,14175,12982,20741,14179,11515,19248,67151,20416,14573,19417,22190,14165,12325,12826,12841,67089,54401,21828,15234,110157,12827,11600,76089,80297,171463,14164,12840,19170,19167,12322,19211,240057,18595,114713,14186,18749,20846,20851	Nrtn,Nrg1,Fgfr1,Actn2,Ppp2ca,Adcy7,Fgf15,Pde1b,Nrg2,Creb1,Prkar1b,Stat3,Prkar2b,Grin2d,Ier3,Csf2rb,Adcy4,Gfra2,Frs2,Nras,Cdkn1b,Bcar1,Foxo1,Pik3r1,Calm3,Plat,Camk2b,Dusp7,Trat1,Shc3,Foxo3,Fgf6,Dusp6,Nf1,Ppp2r1b,Gfra1,Grin2a,Kit,Dab2ip,Adcy6,Nr4a1,Sptbn2,Psmb7,Fgf9,Rictor,Prkce,Cd80,Ppp2cb,Uba52,Trib3,Pik3cd,Phlpp1,Fgf4,Csf2ra,Sptb,Fgf8,Adcy9,Ptpn12,Psmd9,Shc1,Gdnf,Rasgrf1,Ubc,Fgf10,Camk2g,Col4a1,Col9a3,Psmc6,Ywhab,Thbs4,Hgf,Raf1,Col4a2,Angpt1,Rapgef2,Sptbn4,Il17rd,Fgf1,Col9a2,Psmb1,Psma3,Camk2a,Pten,Syngap1,Pdgfra,Rasa2,Fgfr4,Prkacb,Stat1,Stat5b
R-MMU-166520	Signalling by NGF	9.29440504181635e-07	-13.8886830402449	408	108	0.0724832214765101	1490	8672	19211,18035,12322,223435,14186,18548,18749,18549,240057,18595,114713,109934,14164,19167,19170,11600,80297,68318,171463,76089,14165,12325,110157,15234,67089,54401,14179,11515,20741,22190,20416,67151,19417,14573,14175,12125,21844,12982,18754,56321,78757,18707,22186,228775,98432,12519,19053,69601,26419,11512,12064,73699,16590,14811,14585,19177,18412,20663,14180,15370,20743,14177,56484,232910,18015,67603,77647,235584,12323,380698,20112,20418,19094,26416,18033,12315,12576,56458,18708,57257,104110,14586,545156,327826,208117,18176,102626,19088,14814,15937,12983,19085,78405,12912,18574,17207,14170,11513,16443,100042150,18188,102098,224014,14182,211323,71704,19052,11472	Pten,Nfkbia,Camk2a,Trio,Fgfr4,Pcsk1,Prkacb,Pcsk2,Syngap1,Pdgfra,Rasa2,Abr,Fgf1,Psma3,Psmb1,Angpt1,Sptbn4,Aph1c,Il17rd,Rapgef2,Fgf10,Camk2g,Raf1,Hgf,Psmc6,Ywhab,Fgf8,Adcy9,Sptb,Ubc,Shc1,Psmd9,Rasgrf1,Gdnf,Fgf4,Bcl2l11,Tiam1,Csf2ra,Prkce,Aatf,Rictor,Pik3cd,Uba52,Trib3,Phlpp1,Cd80,Ppp2cb,Dab2ip,Mapk8,Adcy6,Bdnf,Ppp2r1b,Kit,Grin2a,Gfra1,Psmb7,Sqstm1,Sos2,Fgf9,Nr4a1,Sptbn2,Fgf6,Foxo3,Ap2s1,Nf1,Dusp6,Trat1,Dusp7,Camk2b,Obscn,Rps6ka2,Shc3,Mapk11,Mapk14,Nfkb1,Calm3,Cdkn1b,Foxo1,Pik3r1,Vav3,Adcy4,Gfra2,Kalrn,Frs2,Aph1b,Nras,Mapkapk3,Prkar2b,Grin2d,Ier3,Csf2rb,Prkar1b,Ntf5,Creb1,Pde1b,Mcf2l,Fgf15,Adcy7,Itsn1,Nrg2,Nrtn,Arhgef18,Fgd4,Fgfr1,Nrg1,Arhgef3,Ppp2ca,Actn2
R-MMU-881907	Gastrin-CREB signalling pathway via PKC and MAPK	1.3277705689039e-06	-13.5320092862151	392	104	0.0697986577181208	1490	8672	171463,80297,14816,114229,76089,110197,16952,67168,11600,15234,110157,54401,217480,67089,57260,12325,14745,14165,14186,18595,114713,240057,223435,12322,19167,19170,56696,14164,14744,26946,13614,22186,19053,12062,18754,50780,14180,238377,19177,11820,20743,319197,18430,14063,69601,14585,14811,16590,73699,22190,12671,14573,19417,67151,20416,18755,14179,231871,380921,20741,13618,21333,12982,19216,14175,12315,20305,18708,14702,545156,18176,20308,327826,14586,22065,18442,217369,18015,13616,19735,18216,67603,14177,18217,11549,20418,20112,12323,235584,21338,100042150,14170,11472,19052,211323,14182,18188,208188,12983,14814,18429,66082,52666,12912	Il17rd,Sptbn4,Grm1,Kiss1r,Rapgef2,Dgkg,Anxa1,Lpar6,Angpt1,Hgf,Raf1,Ywhab,Dgkb,Psmc6,Ltb4r2,Camk2g,Lpar1,Fgf10,Fgfr4,Pdgfra,Rasa2,Syngap1,Trio,Camk2a,Psma3,Psmb1,Gpr132,Fgf1,Gpr65,Trpc7,Edn1,Uba52,Ppp2cb,Bdkrb2,Prkce,Rgs3,Fgf9,Gpr68,Psmb7,App,Sptbn2,Gpr4,Oxtr,F2rl1,Dab2ip,Gfra1,Grin2a,Kit,Ppp2r1b,Ubc,Chrm3,Gdnf,Rasgrf1,Psmd9,Shc1,Prkch,Fgf8,Daglb,Dgkh,Sptb,Ednrb,Tac1,Csf2ra,Ptger1,Fgf4,Calm3,Ccl6,Pik3r1,Gng2,Kalrn,Nras,Ccl9,Frs2,Gfra2,Trpc3,P2ry2,Uts2r,Nf1,Edn3,Rgs2,Ntsr1,Dusp6,Fgf6,Ntsr2,Adra1a,Shc3,Rps6ka2,Camk2b,Dusp7,Tacr3,Nrg2,Fgf15,Actn2,Ppp2ca,Nrg1,Fgfr1,Nrtn,Ghsr,Csf2rb,Grin2d,Oxt,Abhd6,Arhgef25,Creb1
R-MMU-194138	Signaling by VEGF	1.52705592175128e-06	-13.3921689104263	296	83	0.0557046979865772	1490	8672	19094,14257,11600,26416,12315,80297,171463,12927,18708,76089,16410,57257,14165,12325,18187,14586,15234,140579,110157,327826,17969,67089,54401,18176,14177,12322,14186,18015,14205,240057,18595,114713,67603,330662,230126,235584,12323,14164,19229,19878,19167,22341,20418,19170,140580,14170,78757,228775,22186,13057,26362,100042150,19053,18188,69601,73699,14585,16590,14811,19177,211323,14182,11472,17970,14180,19052,20743,14179,242687,102626,20741,14814,22190,12983,67151,20416,14573,19417,22339,76884,14175,14254,12982	Mapk11,Flt4,Angpt1,Mapk14,Calm3,Sptbn4,Il17rd,Bcar1,Pik3r1,Rapgef2,Itgav,Vav3,Fgf10,Camk2g,Nrp2,Gfra2,Hgf,Elmo2,Raf1,Frs2,Ncf1,Psmc6,Ywhab,Nras,Fgf6,Camk2a,Fgfr4,Nf1,Vegfd,Syngap1,Pdgfra,Rasa2,Dusp6,Dock1,Shb,Dusp7,Camk2b,Fgf1,Ptk2b,Rock2,Psma3,Vegfc,Shc3,Psmb1,Elmo1,Fgf15,Rictor,Trib3,Uba52,Cyba,Axl,Nrg2,Ppp2cb,Nrtn,Dab2ip,Ppp2r1b,Gfra1,Kit,Grin2a,Psmb7,Nrg1,Fgfr1,Actn2,Ncf2,Fgf9,Ppp2ca,Sptbn2,Fgf8,Wasf2,Mapkapk3,Sptb,Grin2d,Ubc,Csf2rb,Psmd9,Shc1,Gdnf,Rasgrf1,Vegfa,Cyfip2,Fgf4,Flt1,Csf2ra
R-MMU-186763	Downstream signal transduction	3.65413406231993e-06	-12.5196514114861	302	83	0.0557046979865772	1490	8672	19053,100042150,12519,98432,228775,22186,18707,14170,11513,78757,18574,18754,20743,15370,14180,11472,19052,19177,211323,14182,14585,16590,14811,73699,11512,18188,69601,14573,19417,67151,20416,12983,15937,14814,22190,20741,11515,19088,14179,12982,20848,12912,14175,19085,56458,18708,76089,12576,12927,171463,12315,80297,11600,54401,18176,67089,327826,15234,110157,12325,14586,104110,14165,114713,67603,18595,240057,18015,18749,20846,20851,14186,12322,56484,19211,14177,20418,19170,19167,14164,12323,235584,77647	Ppp2cb,Nrg2,Cd80,Phlpp1,Trib3,Uba52,Pik3cd,Fgf15,Adcy7,Rictor,Pde1b,Prkce,Sptbn2,Nr4a1,Fgf9,Actn2,Ppp2ca,Psmb7,Nrg1,Fgfr1,Gfra1,Kit,Grin2a,Ppp2r1b,Adcy6,Nrtn,Dab2ip,Gdnf,Rasgrf1,Psmd9,Shc1,Csf2rb,Ier3,Grin2d,Ubc,Sptb,Adcy9,Prkar2b,Fgf8,Csf2ra,Stat3,Creb1,Fgf4,Prkar1b,Foxo1,Pik3r1,Rapgef2,Cdkn1b,Bcar1,Il17rd,Calm3,Sptbn4,Angpt1,Ywhab,Nras,Psmc6,Frs2,Hgf,Raf1,Camk2g,Gfra2,Adcy4,Fgf10,Rasa2,Dusp6,Pdgfra,Syngap1,Nf1,Prkacb,Stat1,Stat5b,Fgfr4,Camk2a,Foxo3,Pten,Fgf6,Shc3,Psmb1,Psma3,Fgf1,Camk2b,Dusp7,Trat1
R-MMU-112315	Transmission across Chemical Synapses	1.19406261902046e-05	-11.3355640066342	197	58	0.0389261744966443	1490	8672	16524,319924,20510,14700,14702,12315,12298,16522,108015,22342,110834,12325,14417,76787,14802,104110,110157,14693,20910,14402,67760,14677,14708,14805,12322,14701,232910,18749,11441,16518,13383,110835,22348,12323,14401,11669,20112,16521,13821,268860,11513,110886,20508,207777,11512,14395,105727,14811,11472,54393,72961,11515,14814,19417,68507,14807,11435,12912	Kcnj9,Apba1,Slc1a1,Gng10,Gng2,Calm3,Cacnb4,Kcnj6,Chrnb4,Lin7b,Chrna3,Camk2g,Gad2,Ppfia3,Gria4,Adcy4,Raf1,Gnb2,Stxbp1,Gabrb3,Slc38a2,Gnai1,Gng7,Grik1,Camk2a,Gng12,Ap2s1,Prkacb,Chrna7,Kcnj2,Dlg1,Chrna5,Slc32a1,Camk2b,Gabrb2,Aldh2,Rps6ka2,Kcnj5,Epb41l1,Abat,Adcy7,Gabra5,Slc18a3,Tspoap1,Adcy6,Gabra2,Slc38a1,Grin2a,Actn2,Gabbr1,Slc17a7,Adcy9,Grin2d,Rasgrf1,Ppfia4,Grik3,Chrna1,Creb1
R-MMU-4420097	VEGFA-VEGFR2 Pathway	1.28341048698893e-05	-11.2634044874141	288	78	0.0523489932885906	1490	8672	14175,76884,22339,12982,20741,102626,14179,242687,14573,19417,67151,20416,12983,14814,22190,14585,16590,14811,73699,18188,69601,20743,11472,14180,17970,19052,19177,211323,14182,14170,78757,140580,19053,26362,100042150,13057,228775,22186,19878,19229,14164,12323,235584,230126,330662,20418,19170,19167,12322,14177,18595,114713,67603,240057,18015,14186,12325,14586,14165,57257,16410,54401,18176,327826,67089,17969,15234,110157,140579,11600,26416,19094,18708,76089,12927,171463,80297,12315	Fgf4,Cyfip2,Vegfa,Csf2ra,Sptb,Mapkapk3,Fgf8,Wasf2,Gdnf,Rasgrf1,Psmd9,Shc1,Csf2rb,Grin2d,Ubc,Gfra1,Kit,Grin2a,Ppp2r1b,Nrtn,Dab2ip,Sptbn2,Actn2,Fgf9,Ncf2,Ppp2ca,Psmb7,Nrg1,Fgfr1,Fgf15,Rictor,Elmo1,Ppp2cb,Axl,Nrg2,Cyba,Trib3,Uba52,Rock2,Ptk2b,Fgf1,Camk2b,Dusp7,Shb,Dock1,Shc3,Psmb1,Psma3,Camk2a,Fgf6,Pdgfra,Rasa2,Dusp6,Syngap1,Nf1,Fgfr4,Camk2g,Gfra2,Fgf10,Vav3,Itgav,Ywhab,Nras,Frs2,Psmc6,Ncf1,Hgf,Raf1,Elmo2,Angpt1,Mapk14,Mapk11,Pik3r1,Rapgef2,Bcar1,Il17rd,Sptbn4,Calm3
R-MMU-177929	Signaling by EGFR	1.61185236681731e-05	-11.0355414089401	313	83	0.0557046979865772	1490	8672	20743,15370,11472,14180,19052,19177,211323,14182,14585,16590,14811,73699,11512,18188,69601,19053,100042150,12519,98432,22186,228775,18707,14170,11513,78757,18754,18574,12982,12912,14175,19085,14573,19417,67151,20416,12983,14814,22190,15937,20741,19088,11515,19248,14179,54401,18176,67089,327826,15234,110157,12325,14586,104110,14165,56458,18708,76089,12576,16206,171463,80297,12315,11600,20418,19170,19167,14164,24064,235584,12323,77647,114713,545622,18595,67603,240057,18749,18015,14186,56484,12322,19211,14177	Sptbn2,Nr4a1,Actn2,Fgf9,Ppp2ca,Psmb7,Nrg1,Fgfr1,Gfra1,Kit,Grin2a,Ppp2r1b,Adcy6,Nrtn,Dab2ip,Ppp2cb,Nrg2,Cd80,Phlpp1,Uba52,Trib3,Pik3cd,Fgf15,Adcy7,Rictor,Prkce,Pde1b,Csf2ra,Creb1,Fgf4,Prkar1b,Gdnf,Rasgrf1,Psmd9,Shc1,Csf2rb,Grin2d,Ubc,Ier3,Sptb,Prkar2b,Adcy9,Ptpn12,Fgf8,Ywhab,Nras,Psmc6,Frs2,Hgf,Raf1,Camk2g,Gfra2,Adcy4,Fgf10,Foxo1,Pik3r1,Rapgef2,Cdkn1b,Lrig1,Il17rd,Sptbn4,Calm3,Angpt1,Shc3,Psmb1,Psma3,Fgf1,Spry2,Dusp7,Camk2b,Trat1,Rasa2,Ptpn3,Pdgfra,Dusp6,Syngap1,Prkacb,Nf1,Fgfr4,Foxo3,Camk2a,Pten,Fgf6
