TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00389	HOX	2.0093318367309e-25	-56.8668250775806	252	122	0.0628541988665636	1941	9882	54352,13396,20474,15432,20471,15373,15209,18423,18740,14472,18424,74318,216285,20473,110796,14029,15431,15379,20472,11878,320799,15434,21815,104382,12591,15433,18997,240442,15372,13395,18935,18998,15404,22326,110648,18516,21908,13392,15403,11694,15285,16814,13796,16371,16815,18508,13393,15284,15417,18933,50916,11695,244813,16869,15405,21410,16870,13172,20476,13394,12677,18993,17286,18509,18741,19009,15425,15429,18505,18420,14842,15395,18991,384452,16876,14843,12590,18742,27140,11859,11906,21909,209448,18999,18992,15421,20230,15430,22255,13047,13048,27217,17702,15426,239102,54422,16872,18506,387609,140477,212712,15413,225631,12023,16917,16874,18996,17701,18987,223843,12022,16871,13798,14836,17703,15415,17268,16873,20429,104360,16392,15438	Irx5,Dlx6,Six4,Hoxd12,Six1,Hmx3,Hesx1,Otx1,Pitx1,Gbx2,Otx2,Hopx,Alx1,Six3,Tshz1,Evx2,Hoxd11,Onecut1,Six2,Arx,Zhx3,Hoxd3,Tgif1,Barhl2,Cdx2,Hoxd13,Pou4f2,Adnp2,Hmx2,Dlx5,Phox2b,Pou4f3,Hoxa7,Vax1,Lmx1a,Pbx3,Tlx1,Dlx2,Hoxa6,Alx3,Mnx1,Lbx1,Emx1,Irx1,Lbx2,Pax6,Dlx3,Hlx,Hoxb9,Prrx1,Irx4,Alx4,Bsx,Lhx1,Hoxa9,Hnf1b,Lhx2,Dbx1,Six6,Dlx4,Vsx2,Pou3f3,Meox2,Pax7,Pitx2,Pou6f1,Hoxc6,Hoxd1,Pax3,Otp,Gsx1,Hoxa10,Pou3f1,Noto,Lhx9,Gsx2,Cdx1,Pitx3,Tlx3,Phox2a,Zfhx3,Tlx2,Hoxc10,Pou5f1,Pou3f2,Hoxc12,Satb1,Hoxd10,Uncx,Cux1,Cux2,Mixl1,Msx2,Hoxc8,Zfhx2,Barhl1,Lhx4,Pax4,Zhx2,Dmbx1,Satb2,Hoxb5,Onecut2,Barx2,Lmx1b,Lhx6,Pou4f1,Msx1,Pou2f2,Dbx2,Barx1,Lhx3,En1,Gsc,Msx3,Hoxb7,Meis1,Lhx5,Shox2,Isl2,Isl1,Hoxd9
SM00353	HLH	2.14155931023461e-09	-19.9617316236066	110	49	0.0252447192168985	1941	9882	20464,15214,15901,18014,17977,84653,20289,18013,15110,11924,18109,11921,18072,140489,15207,18012,50914,16918,15902,53404,20465,56184,15205,79362,17869,56198,50913,18071,20788,17292,277353,17927,17681,21413,226439,18142,17341,17121,27386,234219,18143,94222,17859,208104,71093,15206,22160,21412,17342	Sim1,Hey2,Id1,Neurog1,Ncoa1,Hes7,Scx,Neurod2,Hand1,Neurog2,Mycn,Atoh1,Nhlh2,Bhlhe23,Hes3,Neurod1,Olig1,Mycl,Id2,Atoh7,Sim2,Msgn1,Hes1,Bhlhe41,Myc,Heyl,Olig2,Nhlh1,Srebf2,Mesp1,Tcfl5,Myod1,Msc,Tcf4,Ascl5,Npas1,Bhlha15,Mxd3,Npas3,Helt,Npas2,Olig3,Mxi1,Mlxip,Atoh8,Hes2,Twist1,Tcf21,Mitf
SM00351	PAX	4.28688714935556e-07	-14.6625347876088	9	9	0.00463678516228748	1941	9882	18506,18510,18507,18505,18511,18503,18509,18508,18504	Pax4,Pax8,Pax5,Pax3,Pax9,Pax1,Pax7,Pax6,Pax2
SM00523	DWA	5.28134143124366e-05	-9.8487453405719	12	9	0.00463678516228748	1941	9882	55994,17126,17131,17127,18028,18029,17125,18032,18027	Smad9,Smad2,Smad7,Smad3,Nfib,Nfic,Smad1,Nfix,Nfia
SM00194	PTPc	0.000254637208147552	-8.27567073896999	37	17	0.00875837197320969	1941	9882	19271,19281,19268,24000,19260,19263,19248,19283,19280,19249,19270,19259,19267,19250,19279,19253,545622	Ptprj,Ptprt,Ptprf,Ptpn21,Ptpn22,Ptprb,Ptpn12,Ptprz1,Ptprs,Ptpn13,Ptprg,Ptpn5,Ptpre,Ptpn14,Ptprr,Ptpn18,Ptpn3
SM01109	CUT	0.000332381591398858	-8.00922687738642	7	6	0.00309119010819165	1941	9882	13048,15379,225631,212712,20230,13047	Cux2,Onecut1,Onecut2,Satb2,Satb1,Cux1
SM00425	TBOX	0.000417727094461007	-7.78068222272571	17	10	0.00515198351365276	1941	9882	21387,21375,21386,21380,76365,21385,21389,20997,21384,21388	Tbx4,Tbr1,Tbx3,Tbx1,Tbx18,Tbx2,Tbx6,T,Tbx15,Tbx5
SM00312	PX	0.000486966567118775	-7.62731508791838	42	18	0.00927357032457496	1941	9882	101113,76742,17969,66696,69150,102141,170755,71982,209131,218699,320119,74718,18705,14218,170625,56440,217463,64652	Snx21,Snx27,Ncf1,Snx31,Snx4,Snx25,Sgk3,Snx10,Snx30,Pxk,Rps6kc1,Snx16,Pik3c2g,Sh3pxd2a,Snx18,Snx1,Snx13,Nisch
SM00233	PH	0.000595762059777388	-7.42566919917329	252	71	0.0365790829469346	1941	9882	76117,102693,23797,57257,19417,380921,381605,20743,217198,71720,105445,380698,233765,20741,20663,215632,71435,240057,21844,110279,64291,71801,19157,27261,16369,231717,67220,226751,19878,114713,69582,27260,239027,14783,16443,623279,71544,100273,109934,70292,17207,102098,208177,106877,20650,26377,320129,219140,210293,545156,224860,13196,232970,26936,216991,227120,20649,213990,71096,223435,106766,109135,76829,20166,211945,54353,69601,80297,71704,353047,224014	Arhgap15,Phldb1,Akt3,Vav3,Rasgrf1,Dgkh,Tbc1d2,Sptbn2,Plekhh3,Osbpl3,Dock9,Obscn,Plekha7,Sptb,Sos2,Psd4,Arhgap21,Syngap1,Tiam1,Bcr,Osbpl1a,Plekhf2,Cyth1,Dok3,Irs3,Pheta1,Plekho1,Cdc42bpa,Rock2,Rasa2,Plekhm2,Plek2,Arhgap22,Grb10,Itsn1,Dok6,Arhgap42,Osbpl9,Abr,Afap1,Mcf2l,Arhgef18,Phldb2,Afap1l1,Sntb2,Dapp1,Grk3,Spata13,Dock10,Kalrn,Plcl2,Asap1,Phldb3,Mprip,Adap2,Plcl1,Sntb1,Agap3,Sntg1,Trio,Stap2,Plekha5,Dok5,Rtkn,Plekhh1,Skap2,Dab2ip,Sptbn4,Arhgef3,Plekhm1,Fgd4
SM00352	POU	0.000675691083014629	-7.29977456415649	15	9	0.00463678516228748	1941	9882	18998,18999,18987,18992,18993,18997,18991,19009,18996	Pou4f3,Pou5f1,Pou2f2,Pou3f2,Pou3f3,Pou4f2,Pou3f1,Pou6f1,Pou4f1
