TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	3.91529994476459e-07	-14.7532037102064	838	231	0.224054316197866	1031	4906	11481,13642,18160,12325,246179,53624,12550,16392,18754,17207,13043,18074,72333,80976,20411,21412,13386,12323,208117,55948,54419,16924,241324,12741,15376,53885,12162,68404,26380,104027,237459,15896,12343,77579,19268,170484,58998,22431,56699,16772,18131,320799,14066,72281,20650,20166,26921,53321,50754,73181,19876,11472,21414,18749,16658,12444,16410,26419,235442,56213,110157,13860,11600,238871,20416,17913,208154,13800,72401,18128,26411,18504,50914,23962,13388,13047,14234,76089,19122,22629,18260,18129,57342,15902,268859,12739,23882,15110,12695,16475,18741,71602,12606,15429,16331,327826,20649,54353,13052,18187,12125,29817,23797,19055,12977,16782,21834,13082,14783,93742,50791,16842,13557,18109,14811,15519,268902,21814,22408,18613,100862175,18707,12558,72433,22630,18708,16402,94187,104010,19401,18571,13844,19211,17127,268903,22339,18710,14463,50913,11819,14281,215280,18212,228536,14804,68318,20410,54401,12740,21415,84092,20218,21416,75477,12322,17762,118449,17060,11603,50798,12576,26420,23959,19052,18645,19229,12578,14401,78808,16569,18779,26360,16398,56320,387609,50766,268977,112407,22370,22352,11554,12927,218772,20663,16001,26408,14102,12161,84585,71233,19341,16796,16423,16419,17131,319924,21844,20405,12452,55982,16009,66725,252870,18193,233071,243328,83814,228775,18844,16443,12305,22288,75788,16917,18508,16007,17528,27205,16871,19249,17126,14254,93840,18510,17125,12571,19248,56378,64652,225341,17977	Acvr2b,Efnb2,Npr1,Camk2g,Fktn,Cldn7,Cdh1,Isl1,Prkce,Mcf2l,Cttn,Nid2,Palld,Syt13,Sorbs1,Tcf21,Dlk1,Camk2b,Aph1b,Sfn,Cldn6,Lnx1,Crb2,Cldn5,Foxa2,Nphp1,Bmp7,Nrn1,Esrrb,Synpo,Cdk17,Icam2,Capza2,Myh10,Ptprf,Nphs2,Nectin3,Wt1,Cdc42ep4,Lama1,Notch3,Zhx3,F3,Sh2d4a,Sntb2,Rtkn,Map4k4,Cntnap1,Fbxw7,Nfatc4,Robo1,Actn2,Tcf7,Prkacb,Mafb,Ccnd2,Itgav,Mapk8,Rab8b,Htra1,Raf1,Eps8,Angpt1,Pde4d,Shc1,Myo1c,Btla,Enah,Slc43a1,Notch1,Map4k1,Pax2,Olig1,Oasl2,Dll1,Cux1,Foxc2,Rapgef2,Prnp,Ywhah,Ocln,Notch2,Parva,Id2,Rbfox1,Cldn3,Gadd45g,Hand1,Patj,Ajuba,Pitx2,Myo1e,Cebpa,Hoxd1,Inpp5d,Frs2,Sntb1,Skap2,Cxadr,Nrp2,Bcl2l11,Igfbp7,Akt3,Ppp3ca,Csf1,Lamc2,Thrb,Cyp26a1,Grb10,Pard3,Magi2,Lef1,E2f3,Mycn,Grin2a,Hsp90aa1,Robo2,Tgfbr3,Wnt1,Pecam1,Gm10698,Pik3cd,Cdh2,Rab38,Ywhaq,Pik3r1,Itga5,Zfp423,Cdh22,Rara,Pdcd6ip,Ephb2,Pten,Smad3,Nrip1,Vegfa,Pik3r3,Gata4,Olig2,Nr2f2,Fos,Wipf1,Ntrk2,Bahd1,Grid2,Aph1c,Sorbs3,Ywhab,Cldn4,Tcf7l1,Usp8,Khdrbs1,Tcf7l2,Pfn3,Camk2a,Mapt,Synpo2,Blnk,Agrn,Gne,Cdkn1b,Mapk9,Nt5e,Ppp2ca,Pfn2,Ptk2b,Cdkn2a,Gabrb2,Stxbp5,Kif3b,Pla2r1,Angptl2,Itga2,Dbn1,Zhx2,Crim1,Ltbp1,Egln3,Vtn,Vim,Adrb1,Bcar1,Rarb,Sos2,Igf1r,Map3k5,Fas,Bmp6,Rnf123,Enkur,Rab4a,Lasp1,Cd47,Itgb5,Smad7,Apba1,Tiam1,Sh3gl1,Ccng2,Paxip1,Igfbp3,Lrrk2,Usp7,Nsd1,Arhgap33,Slc29a4,Nedd4l,Trib3,Plxna1,Itsn1,Ddr1,Utrn,Smurf1,Lmx1b,Pax6,Ccn1,Mpz,Podxl,Lhx3,Ptpn13,Smad2,Flt1,Vangl2,Pax8,Smad1,Cdk6,Ptpn12,Arpc3,Nisch,Lims2,Ncoa1
WP2067	Heart Development	4.29768906993033e-06	-12.3574331053273	44	23	0.0223084384093113	1031	4906	15110,22341,18741,18018,17125,18019,17300,20807,22339,14463,21385,14465,14234,14165,73181,15376,18128,17260,21388,14179,50916,16392,15214	Hand1,Vegfc,Pitx2,Nfatc1,Smad1,Nfatc2,Foxc1,Srf,Vegfa,Gata4,Tbx2,Gata6,Foxc2,Fgf10,Nfatc4,Foxa2,Notch1,Mef2c,Tbx5,Fgf8,Irx4,Isl1,Hey2
WP447	Adipogenesis genes	8.48412007258431e-06	-11.677314368535	134	50	0.0484966052376334	1031	4906	20851,22419,22408,16956,16369,19651,23849,20846,17260,22410,13082,20528,13386,14463,17319,19401,17259,93691,16905,17127,268903,27217,56758,12703,14102,13654,19016,64898,20378,56458,228775,19883,22160,21887,14234,13865,20379,19223,18534,14362,17873,12912,20848,17977,12606,52637,16880,20249,15361,12702	Stat5b,Wnt5b,Wnt1,Lpl,Irs3,Rbl2,Klf6,Stat1,Mef2c,Wnt10b,Cyp26a1,Slc2a4,Dlk1,Gata4,Mif,Rara,Mef2b,Klf7,Lmna,Smad3,Nrip1,Mixl1,Mbnl1,Socs1,Fas,Egr2,Pparg,Lpin2,Frzb,Foxo1,Trib3,Rora,Twist1,Tle3,Foxc2,Nr2f1,Sfrp4,Ptgis,Pck1,Fzd1,Gadd45b,Creb1,Stat3,Ncoa1,Cebpa,Cisd1,Lifr,Scd1,Hmga1,Socs3
WP1763	PluriNetWork	1.53720040746298e-05	-11.0829626201934	295	92	0.0892337536372454	1031	4906	18160,14465,18109,52463,19651,16842,17260,18707,13590,12550,20997,17342,18119,17127,19211,18424,19712,22286,13619,231413,11819,15901,21415,13865,12622,20230,26380,103551,14362,22025,12591,74178,14281,26424,76509,212712,19698,116870,14175,18033,13017,21420,16324,20848,22083,15162,19878,22702,14182,208727,21414,12578,17927,19280,17869,214498,20689,110157,93762,21386,216233,16468,21418,20393,67155,56353,17131,18999,22160,18128,252870,11909,20674,13380,16009,22772,75788,18260,54427,83814,14472,13164,58198,17126,12912,17977,17125,21752,21888,16880,51869,13433	Npr1,Gata6,Mycn,Tet1,Rbl2,Lef1,Mef2c,Pik3cd,Lefty1,Cdh1,T,Mitf,Nodal,Smad3,Pten,Otx2,Rest,Utf1,Phc1,Grsf1,Nr2f2,Id1,Tcf7l1,Nr2f1,Cer1,Satb1,Esrrb,Epop,Fzd1,Nr2c1,Cdx2,Stk40,Fos,Nr5a2,Plet1,Satb2,Relb,Mta1,Fgf4,Nfkb1,Ctbp2,Tfap2c,Inhbb,Stat3,Ctr9,Hck,Rock2,Zfp42,Fgfr1,Hdac4,Tcf7,Cdkn2a,Myod1,Ptprs,Myc,Cdc73,Sall3,Raf1,Smarca5,Tbx3,Socs2,Jarid2,Tfap2a,Sgk1,Smarca2,Rybp,Smad7,Pou5f1,Twist1,Notch1,Usp7,Atf2,Sox2,Dkk1,Igfbp3,Zic2,Smurf1,Ocln,Dnmt3l,Nedd4l,Gbx2,Dazl,Sall1,Smad2,Creb1,Ncoa1,Smad1,Tert,Tle4,Lifr,Rif1,Dnmt1
WP1498	Dopaminergic Neurogenesis	9.30120246246062e-05	-9.28278177613038	30	16	0.0155189136760427	1031	4906	17701,18424,15376,11924,16917,20674,18742,14633,18227,110648,14179,20848,22408,14472,13798,18012	Msx1,Otx2,Foxa2,Neurog2,Lmx1b,Sox2,Pitx3,Gli2,Nr4a2,Lmx1a,Fgf8,Stat3,Wnt1,Gbx2,En1,Neurod1
WP539	Wnt Signaling Pathway NetPath	0.00041246566685079	-7.79335758753037	108	38	0.0368574199806014	1031	4906	13383,20682,17863,140577,12550,58198,99470,22408,12325,16842,14369,18504,14371,14362,77578,13380,19052,14370,26420,12234,12323,21413,212398,17755,12322,93840,12393,57265,17127,26564,20377,110157,26423,26419,21418,22415,20664,13017	Dlg1,Sox9,Myb,Ankrd6,Cdh1,Sall1,Magi3,Wnt1,Camk2g,Lef1,Fzd7,Pax2,Fzd9,Fzd1,Bcl9,Dkk1,Ppp2ca,Fzd8,Mapk9,Btrc,Camk2b,Tcf4,Frat2,Map1b,Camk2a,Vangl2,Runx2,Fzd2,Smad3,Ror2,Sfrp1,Raf1,Nr5a1,Mapk8,Tfap2a,Wnt3,Sox1,Ctbp2
WP3663	BMP Signaling Pathway in Eyelid Development	0.000855124367296814	-7.06426364077894	20	11	0.0106692531522793	1031	4906	18128,56811,16324,14234,18741,14165,17300,20377,17125,26420,26401	Notch1,Dkk2,Inhbb,Foxc2,Pitx2,Fgf10,Foxc1,Sfrp1,Smad1,Mapk9,Map3k1
WP2872	White fat cell differentiation	0.000931298744782638	-6.97893044624962	32	15	0.01454898157129	1031	4906	21887,21415,19401,19883,22410,13654,94187,19016,16364,12912,20851,56458,11819,14013,12606	Tle3,Tcf7l1,Rara,Rora,Wnt10b,Egr2,Zfp423,Pparg,Irf4,Creb1,Stat5b,Foxo1,Nr2f2,Mecom,Cebpa
WP2310	PodNet: protein-protein interactions in the podocyte	0.000986698295546657	-6.92114624353078	315	89	0.0863239573229874	1031	4906	18749,16398,18779,26360,12578,19876,218772,12927,112407,16658,56320,50766,387609,19341,11600,16001,16410,72401,13800,16419,17131,16796,20416,243328,14234,13047,18504,18128,55982,16009,57342,75788,22288,18129,12305,18260,76089,12695,17126,16007,17528,27205,16917,225341,19055,13052,29817,56378,93840,71602,12325,268902,50791,13082,93742,18707,246179,22408,17127,18571,72333,19401,13043,18074,18708,18754,241324,12323,11819,208117,22339,21412,104027,12162,68404,54401,68318,170484,77579,12343,320799,18131,22431,12576,50798,11603,72281,14066,12322	Prkacb,Itga2,Pla2r1,Angptl2,Cdkn2a,Robo1,Rarb,Bcar1,Egln3,Mafb,Dbn1,Crim1,Zhx2,Rab4a,Angpt1,Igf1r,Itgav,Slc43a1,Enah,Itgb5,Smad7,Lasp1,Shc1,Slc29a4,Foxc2,Cux1,Pax2,Notch1,Paxip1,Igfbp3,Parva,Smurf1,Utrn,Notch2,Ddr1,Ocln,Rapgef2,Patj,Smad2,Ccn1,Mpz,Podxl,Lmx1b,Lims2,Ppp3ca,Cxadr,Igfbp7,Arpc3,Vangl2,Myo1e,Camk2g,Robo2,Magi2,Cyp26a1,Pard3,Pik3cd,Fktn,Wnt1,Smad3,Pdcd6ip,Palld,Rara,Cttn,Nid2,Pik3r1,Prkce,Crb2,Camk2b,Nr2f2,Aph1b,Vegfa,Tcf21,Synpo,Bmp7,Nrn1,Ywhab,Aph1c,Nphs2,Myh10,Capza2,Zhx3,Notch3,Wt1,Cdkn1b,Gne,Agrn,Sh2d4a,F3,Camk2a
WP65	Insulin Signaling	0.00205045188022917	-6.18969508074272	159	49	0.0475266731328807	1031	4906	233071,20418,22433,71751,53859,18705,26416,26411,14281,19268,13684,26401,13653,228775,56458,269180,53608,12702,18755,170755,26921,269881,26420,20807,16369,14783,56484,20663,18707,20112,19094,19211,19341,208650,110157,26419,26408,18708,16001,12703,20393,17913,104215,20910,20528,26410,18710,20411,20416	Arhgap33,Shc3,Xbp1,Map3k13,Map3k14,Pik3c2g,Mapk14,Map4k1,Fos,Ptprf,Eif4e,Map3k1,Egr1,Trib3,Foxo1,Inpp4a,Map3k6,Socs3,Prkch,Sgk3,Map4k4,Map3k10,Mapk9,Srf,Irs3,Grb10,Foxo3,Sos2,Pik3cd,Rps6ka2,Mapk11,Pten,Rab4a,Cblb,Raf1,Mapk8,Map3k5,Pik3r1,Igf1r,Socs1,Sgk1,Myo1c,Rhoq,Stxbp1,Slc2a4,Map3k8,Pik3r3,Sorbs1,Shc1
