TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-1482839	Acyl chain remodelling of PE	0.00247003539058128	-6.00352280027434	24	2	0.0740740740740741	27	8672	105501,66857	Abhd4,Plbd1
R-MMU-5632684	Hedgehog 'on' state	0.00264038498618253	-5.93683054435635	90	3	0.111111111111111	27	8672	75788,73902,66573	Smurf1,Psmb11,Dzip1
R-MMU-210991	Basigin interactions	0.00289742369259249	-5.8439333186994	26	2	0.0740740740740741	27	8672	20540,50934	Slc7a7,Slc7a8
R-MMU-352230	Amino acid transport across the plasma membrane	0.00437136593861913	-5.43267974694862	32	2	0.0740740740740741	27	8672	50934,20540	Slc7a8,Slc7a7
R-MMU-5358351	Signaling by Hedgehog	0.00838003215084369	-4.78190352787931	136	3	0.111111111111111	27	8672	73902,75788,66573	Psmb11,Smurf1,Dzip1
R-MMU-194306	Neurophilin interactions with VEGF and VEGFR	0.0123979677142689	-4.39022271381381	4	1	0.037037037037037	27	8672	18187	Nrp2
R-MMU-4608870	Asymmetric localization of PCP proteins	0.0138620421741513	-4.27860095306193	58	2	0.0740740740740741	27	8672	75788,73902	Smurf1,Psmb11
R-MMU-447038	NrCAM interactions	0.0154742546168116	-4.16857762849809	5	1	0.037037037037037	27	8672	18187	Nrp2
R-MMU-426048	Arachidonate production from DAG	0.0154742546168116	-4.16857762849809	5	1	0.037037037037037	27	8672	231871	Daglb
R-MMU-70635	Urea cycle	0.0246478507072387	-3.70306557469903	8	1	0.037037037037037	27	8672	227231	Cps1
R-MMU-1483115	Hydrolysis of LPC	0.0246478507072387	-3.70306557469903	8	1	0.037037037037037	27	8672	66857	Plbd1
R-MMU-351202	Metabolism of polyamines	0.0254128191704302	-3.67250154052247	80	2	0.0740740740740741	27	8672	73902,227231	Psmb11,Cps1
R-MMU-4086400	PCP/CE pathway	0.0260067224627482	-3.64940021812102	81	2	0.0740740740740741	27	8672	73902,75788	Psmb11,Smurf1
R-MMU-72203	Processing of Capped Intron-Containing Pre-mRNA	0.0329711654402747	-3.41212187401627	228	3	0.111111111111111	27	8672	56335,231889,54196	Mettl3,Bud31,Pabpn1
R-MMU-391160	Signal regulatory protein (SIRP) family interactions	0.0337391066301692	-3.38909768027743	11	1	0.037037037037037	27	8672	19229	Ptk2b
R-MMU-3000480	Scavenging by Class A Receptors	0.0367513504963637	-3.30358030579812	12	1	0.037037037037037	27	8672	71145	Scara5
R-MMU-195721	Signaling by Wnt	0.0367620251885633	-3.30328989083145	238	3	0.111111111111111	27	8672	67772,75788,73902	Chd8,Smurf1,Psmb11
R-MMU-202733	Cell surface interactions at the vascular wall	0.0397316603213759	-3.22560691991112	102	2	0.0740740740740741	27	8672	20540,50934	Slc7a7,Slc7a8
R-MMU-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	0.0426013250433807	-3.15586992188583	106	2	0.0740740740740741	27	8672	20540,50934	Slc7a7,Slc7a8
R-MMU-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	0.0427487332725508	-3.15241571508982	14	1	0.037037037037037	27	8672	75788	Smurf1
R-MMU-5682910	LGI-ADAM interactions	0.0427487332725508	-3.15241571508982	14	1	0.037037037037037	27	8672	23792	Adam23
R-MMU-3858494	Beta-catenin independent WNT signaling	0.0433307434075966	-3.13889288649781	107	2	0.0740740740740741	27	8672	75788,73902	Smurf1,Psmb11
R-MMU-1482922	Acyl chain remodelling of PI	0.0487101498202997	-3.0218678554078	16	1	0.037037037037037	27	8672	66857	Plbd1
R-MMU-6804760	Regulation of TP53 Activity through Methylation	0.0516774356299786	-2.96273404090187	17	1	0.037037037037037	27	8672	27374	Prmt5
R-MMU-1483206	Glycerophospholipid biosynthesis	0.0532315499858182	-2.93310401356993	120	2	0.0740740740740741	27	8672	66857,105501	Plbd1,Abhd4
R-MMU-77595	Processing of Intronless Pre-mRNAs	0.0575852914254947	-2.85448810108576	19	1	0.037037037037037	27	8672	54196	Pabpn1
R-MMU-983189	Kinesins	0.0605259128430664	-2.80468369418887	20	1	0.037037037037037	27	8672	110033	Kif22
R-MMU-194138	Signaling by VEGF	0.0629682463561224	-2.76512470574775	296	3	0.111111111111111	27	8672	19229,18187,73902	Ptk2b,Nrp2,Psmb11
R-MMU-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	0.0689908062941433	-2.67378202537626	139	2	0.0740740740740741	27	8672	110033,19159	Kif22,Cyth3
R-MMU-201451	Signaling by BMP	0.069294858260382	-2.66938457091578	23	1	0.037037037037037	27	8672	75788	Smurf1
R-MMU-109582	Hemostasis	0.0742395380979999	-2.60045841226385	518	4	0.148148148148148	27	8672	20540,231871,50934,110033	Slc7a7,Daglb,Slc7a8,Kif22
R-MMU-1482788	Acyl chain remodelling of PC	0.077984959473373	-2.55123929815056	26	1	0.037037037037037	27	8672	66857	Plbd1
R-MMU-114508	Effects of PIP2 hydrolysis	0.077984959473373	-2.55123929815056	26	1	0.037037037037037	27	8672	231871	Daglb
R-MMU-75067	Processing of Capped Intronless Pre-mRNA	0.083734894913023	-2.48009948379113	28	1	0.037037037037037	27	8672	54196	Pabpn1
R-MMU-5653656	Vesicle-mediated transport	0.0841848946204307	-2.47473977263498	541	4	0.148148148148148	27	8672	56443,110033,19159,71145	Arpc1a,Kif22,Cyth3,Scara5
R-MMU-5663213	RHO GTPases Activate WASPs and WAVEs	0.0922951016100007	-2.38276420919579	31	1	0.037037037037037	27	8672	56443	Arpc1a
R-MMU-390522	Striated Muscle Contraction	0.0922951016100007	-2.38276420919579	31	1	0.037037037037037	27	8672	17901	Myl1
R-MMU-69275	G2/M Transition	0.0926920486684674	-2.37847258497089	165	2	0.0740740740740741	27	8672	73902,219072	Psmb11,Haus4
R-MMU-453274	Mitotic G2-G2/M phases	0.094604994907508	-2.35804500402741	167	2	0.0740740740740741	27	8672	219072,73902	Haus4,Psmb11
R-MMU-72163	mRNA Splicing - Major Pathway	0.0955658880196597	-2.34793934247818	168	2	0.0740740740740741	27	8672	54196,231889	Pabpn1,Bud31
R-MMU-201681	TCF dependent signaling in response to WNT	0.097496384804156	-2.32793998059751	170	2	0.0740740740740741	27	8672	73902,67772	Psmb11,Chd8
R-MMU-111465	Apoptotic cleavage of cellular proteins	0.100778269893404	-2.29483252303914	34	1	0.037037037037037	27	8672	56215	Acin1
R-MMU-72172	mRNA Splicing	0.10434190487555	-2.26008222512795	177	2	0.0740740740740741	27	8672	231889,54196	Bud31,Pabpn1
R-MMU-3928662	EPHB-mediated forward signaling	0.109185066635505	-2.21471097744491	37	1	0.037037037037037	27	8672	56443	Arpc1a
R-MMU-6811438	Intra-Golgi traffic	0.109185066635505	-2.21471097744491	37	1	0.037037037037037	27	8672	19159	Cyth3
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	0.11474749598125	-2.16502125179374	39	1	0.037037037037037	27	8672	67772	Chd8
R-MMU-1660662	Glycosphingolipid metabolism	0.11474749598125	-2.16502125179374	39	1	0.037037037037037	27	8672	14421	B4galnt1
R-MMU-1483257	Phospholipid metabolism	0.117397734781791	-2.1421876666483	190	2	0.0740740740740741	27	8672	66857,105501	Plbd1,Abhd4
R-MMU-382551	Transmembrane transport of small molecules	0.125282946147368	-2.07718053051417	624	4	0.148148148148148	27	8672	20540,329178,73902,50934	Slc7a7,Unc80,Psmb11,Slc7a8
R-MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	0.128507629908406	-2.05176699969048	44	1	0.037037037037037	27	8672	71145	Scara5
R-MMU-75153	Apoptotic execution  phase	0.128507629908406	-2.05176699969048	44	1	0.037037037037037	27	8672	56215	Acin1
R-MMU-2029482	Regulation of actin dynamics for phagocytic cup formation	0.133953813556613	-2.01026021339594	46	1	0.037037037037037	27	8672	56443	Arpc1a
R-MMU-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	0.136664600368173	-1.99022552732346	47	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69017	CDK-mediated phosphorylation and removal of Cdc6	0.144748025611025	-1.93276080261498	50	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-75815	Ubiquitin-dependent degradation of Cyclin D	0.147426267700432	-1.91442710818099	51	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-191859	snRNP Assembly	0.147426267700432	-1.91442710818099	51	1	0.037037037037037	27	8672	27374	Prmt5
R-MMU-349425	Autodegradation of the E3 ubiquitin ligase COP1	0.147426267700432	-1.91442710818099	51	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-350562	Regulation of ornithine decarboxylase (ODC)	0.147426267700432	-1.91442710818099	51	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69229	Ubiquitin-dependent degradation of Cyclin D1	0.147426267700432	-1.91442710818099	51	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-194441	Metabolism of non-coding RNA	0.147426267700432	-1.91442710818099	51	1	0.037037037037037	27	8672	27374	Prmt5
R-MMU-69613	p53-Independent G1/S DNA damage checkpoint	0.150096432501336	-1.89647730810461	52	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	0.150096432501336	-1.89647730810461	52	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69610	p53-Independent DNA Damage Response	0.150096432501336	-1.89647730810461	52	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-422475	Axon guidance	0.152756011498531	-1.87891332655896	437	3	0.111111111111111	27	8672	56443,18187,73902	Arpc1a,Nrp2,Psmb11
R-MMU-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	0.152758543447048	-1.87889675158093	53	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-6811434	COPI-dependent Golgi-to-ER retrograde traffic	0.152758543447048	-1.87889675158093	53	1	0.037037037037037	27	8672	110033	Kif22
R-MMU-4641257	Degradation of AXIN	0.15541262388326	-1.86167160957794	54	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-174113	SCF-beta-TrCP mediated degradation of Emi1	0.15541262388326	-1.86167160957794	54	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69541	Stabilization of p53	0.15541262388326	-1.86167160957794	54	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	0.15805869712236	-1.84478881417006	55	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	0.15805869712236	-1.84478881417006	55	1	0.037037037037037	27	8672	56443	Arpc1a
R-MMU-72187	mRNA 3'-end processing	0.15805869712236	-1.84478881417006	55	1	0.037037037037037	27	8672	54196	Pabpn1
R-MMU-451927	Interleukin-2 signaling	0.158777632260502	-1.8402505948728	229	2	0.0740740740740741	27	8672	19229,73902	Ptk2b,Psmb11
R-MMU-4641258	Degradation of DVL	0.163326914839661	-1.81200147421775	57	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5610780	Degradation of GLI1 by the proteasome	0.163326914839661	-1.81200147421775	57	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-71291	Metabolism of amino acids and derivatives	0.16427806152102	-1.8061947898111	234	2	0.0740740740740741	27	8672	73902,227231	Psmb11,Cps1
R-MMU-5676590	NIK-->noncanonical NF-kB signaling	0.165949105592592	-1.79607413045049	58	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-68827	CDT1 association with the CDC6:ORC:origin complex	0.165949105592592	-1.79607413045049	58	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5607761	Dectin-1 mediated noncanonical NF-kB signaling	0.165949105592592	-1.79607413045049	58	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	0.165949105592592	-1.79607413045049	58	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5610785	GLI3 is processed to GLI3R by the proteasome	0.168563381667911	-1.78044344758546	59	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5358346	Hedgehog ligand biogenesis	0.173768281648236	-1.75003258195293	61	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-170834	Signaling by TGF-beta Receptor Complex	0.173768281648236	-1.75003258195293	61	1	0.037037037037037	27	8672	75788	Smurf1
R-MMU-69563	p53-Dependent G1 DNA Damage Response	0.17635895130478	-1.7352338648427	62	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69580	p53-Dependent G1/S DNA damage checkpoint	0.17635895130478	-1.7352338648427	62	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	0.181516843848705	-1.70640682600909	64	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-73856	RNA Polymerase II Transcription Termination	0.181516843848705	-1.70640682600909	64	1	0.037037037037037	27	8672	54196	Pabpn1
R-MMU-109688	Cleavage of Growing Transcript in the Termination Region	0.181516843848705	-1.70640682600909	64	1	0.037037037037037	27	8672	54196	Pabpn1
R-MMU-69615	G1/S DNA Damage Checkpoints	0.181516843848705	-1.70640682600909	64	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-1169091	Activation of NF-kappaB in B cells	0.18408411211007	-1.69236249479272	65	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-174154	APC/C:Cdc20 mediated degradation of Securin	0.186643625182399	-1.67855422806283	66	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-380259	Loss of Nlp from mitotic centrosomes	0.189195405578475	-1.66497490607107	67	1	0.037037037037037	27	8672	219072	Haus4
R-MMU-68867	Assembly of the pre-replicative complex	0.189195405578475	-1.66497490607107	67	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5658442	Regulation of RAS by GAPs	0.189195405578475	-1.66497490607107	67	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-380284	Loss of proteins required for interphase microtubule organization from the centrosome	0.189195405578475	-1.66497490607107	67	1	0.037037037037037	27	8672	219072	Haus4
R-MMU-373760	L1CAM interactions	0.189195405578475	-1.66497490607107	67	1	0.037037037037037	27	8672	18187	Nrp2
R-MMU-2262749	Cellular response to hypoxia	0.194275858172911	-1.63847618058653	69	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-1234174	Regulation of Hypoxia-inducible Factor (HIF) by oxygen	0.194275858172911	-1.63847618058653	69	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-8854518	AURKA Activation by TPX2	0.196804575112865	-1.62554404710948	70	1	0.037037037037037	27	8672	219072	Haus4
R-MMU-3214858	RMTs methylate histone arginines	0.196804575112865	-1.62554404710948	70	1	0.037037037037037	27	8672	27374	Prmt5
R-MMU-69052	Switching of origins to a post-replicative state	0.196804575112865	-1.62554404710948	70	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-68949	Orc1 removal from chromatin	0.196804575112865	-1.62554404710948	70	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.199325648875843	-1.6128153652328	71	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	0.199325648875843	-1.6128153652328	71	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-2682334	EPH-Ephrin signaling	0.199325648875843	-1.6128153652328	71	1	0.037037037037037	27	8672	56443	Arpc1a
R-MMU-199991	Membrane Trafficking	0.201002707345737	-1.604436901632	499	3	0.111111111111111	27	8672	110033,56443,19159	Kif22,Arpc1a,Cyth3
R-MMU-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0.20183910166589	-1.60028442538313	72	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69300	Removal of licensing factors from origins	0.20183910166589	-1.60028442538313	72	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5687128	MAPK6/MAPK4 signaling	0.206843232915131	-1.57579410154759	74	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-2871837	FCERI mediated NF-kB activation	0.206843232915131	-1.57579410154759	74	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	0.206843232915131	-1.57579410154759	74	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69304	Regulation of DNA replication	0.20933395549237	-1.56382442908915	75	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	0.20933395549237	-1.56382442908915	75	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-380270	Recruitment of mitotic centrosome proteins and complexes	0.20933395549237	-1.56382442908915	75	1	0.037037037037037	27	8672	219072	Haus4
R-MMU-380287	Centrosome maturation	0.20933395549237	-1.56382442908915	75	1	0.037037037037037	27	8672	219072	Haus4
R-MMU-425407	SLC-mediated transmembrane transport	0.210549731600385	-1.55803339912978	275	2	0.0740740740740741	27	8672	50934,20540	Slc7a8,Slc7a7
R-MMU-176408	Regulation of APC/C activators between G1/S and early anaphase	0.21181714534817	-1.5520318984388	76	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-195253	Degradation of beta-catenin by the destruction complex	0.21676101447183	-1.52895984813357	78	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-8856688	Golgi-to-ER retrograde transport	0.219221737374345	-1.51767156197122	79	1	0.037037037037037	27	8672	110033	Kif22
R-MMU-4420097	VEGFA-VEGFR2 Pathway	0.225540671173824	-1.4892547763297	288	2	0.0740740740740741	27	8672	19229,73902	Ptk2b,Psmb11
R-MMU-68874	M/G1 Transition	0.228990390762762	-1.47407523804298	83	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-69002	DNA Replication Pre-Initiation	0.228990390762762	-1.47407523804298	83	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	0.228990390762762	-1.47407523804298	83	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-453276	Regulation of mitotic cell cycle	0.231414102424909	-1.4635465221517	84	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-2565942	Regulation of PLK1 Activity at G2/M Transition	0.231414102424909	-1.4635465221517	84	1	0.037037037037037	27	8672	219072	Haus4
R-MMU-428157	Sphingolipid metabolism	0.231414102424909	-1.4635465221517	84	1	0.037037037037037	27	8672	14421	B4galnt1
R-MMU-174143	APC/C-mediated degradation of cell cycle proteins	0.231414102424909	-1.4635465221517	84	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-202424	Downstream TCR signaling	0.241035785000772	-1.42280987103398	88	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5620912	Anchoring of the basal body to the plasma membrane	0.252899860165509	-1.37476167823042	93	1	0.037037037037037	27	8672	219072	Haus4
R-MMU-5689603	UCH proteinases	0.255251148629478	-1.36550732192994	94	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-5607764	CLEC7A (Dectin-1) signaling	0.255251148629478	-1.36550732192994	94	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-2132295	MHC class II antigen presentation	0.255251148629478	-1.36550732192994	94	1	0.037037037037037	27	8672	110033	Kif22
R-MMU-5610787	Hedgehog 'off' state	0.255251148629478	-1.36550732192994	94	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-2672351	Stimuli-sensing channels	0.257595310319578	-1.3563654901988	95	1	0.037037037037037	27	8672	329178	Unc80
R-MMU-382556	ABC-family proteins mediated transport	0.259932366007211	-1.34733381254798	96	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-1236975	Antigen processing-Cross presentation	0.262262336400152	-1.33840999220142	97	1	0.037037037037037	27	8672	73902	Psmb11
R-MMU-109581	Apoptosis	0.262262336400152	-1.33840999220142	97	1	0.037037037037037	27	8672	56215	Acin1
R-MMU-5668541	TNFR2 non-canonical NF-kB pathway	0.264585242161603	-1.32959180300032	98	1	0.037037037037037	27	8672	73902	Psmb11
