TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04659	Th17 cell differentiation	0.000174138597191031	-8.65565904023522	102	5	0.119047619047619	42	8044	20851,12394,20846,21813,20181	Stat5b,Runx1,Stat1,Tgfbr2,Rxra
ko04659	Th17 cell differentiation	0.000174138597191031	-8.65565904023522	102	5	0.119047619047619	42	8044	20181,21813,20846,12394,20851	Rxra,Tgfbr2,Stat1,Runx1,Stat5b
mmu04933	AGE-RAGE signaling pathway in diabetic complications	0.00175198524791755	-6.34700570664177	100	4	0.0952380952380952	42	8044	17390,20851,20846,21813	Mmp2,Stat5b,Stat1,Tgfbr2
ko04933	AGE-RAGE signaling pathway in diabetic complications	0.00175198524791755	-6.34700570664177	100	4	0.0952380952380952	42	8044	20846,21813,17390,20851	Stat1,Tgfbr2,Mmp2,Stat5b
mmu05200	Pathways in cancer	0.0038552550929661	-5.55831810218047	393	7	0.166666666666667	42	8044	20851,21813,20181,20846,12394,17390,16410	Stat5b,Tgfbr2,Rxra,Stat1,Runx1,Mmp2,Itgav
mmu_M00684	JAK-STAT signaling	0.00430210307730178	-5.44865128810245	19	2	0.0476190476190476	42	8044	20851,20846	Stat5b,Stat1
M00684	JAK-STAT signaling	0.00430210307730178	-5.44865128810245	19	2	0.0476190476190476	42	8044	20851,20846	Stat5b,Stat1
mmu04810	Regulation of actin cytoskeleton	0.00485536256992896	-5.32767150033023	214	5	0.119047619047619	42	8044	544963,219140,242687,21844,16410	Iqgap2,Spata13,Wasf2,Tiam1,Itgav
ko04810	Regulation of actin cytoskeleton	0.00485536256992896	-5.32767150033023	214	5	0.119047619047619	42	8044	242687,219140,544963,16410,21844	Wasf2,Spata13,Iqgap2,Itgav,Tiam1
ko05220	Chronic myeloid leukemia	0.00591310368070846	-5.13058442793078	71	3	0.0714285714285714	42	8044	21813,12394,20851	Tgfbr2,Runx1,Stat5b
mmu05220	Chronic myeloid leukemia	0.00591310368070846	-5.13058442793078	71	3	0.0714285714285714	42	8044	12394,20851,21813	Runx1,Stat5b,Tgfbr2
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0.00860061460058015	-4.75592161309245	27	2	0.0476190476190476	42	8044	14538,56375	Gcnt2,B4galt4
mmu00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0.00860061460058015	-4.75592161309245	27	2	0.0476190476190476	42	8044	14538,56375	Gcnt2,B4galt4
mmu04630	Jak-STAT signaling pathway	0.00878573889081201	-4.73462545264867	157	4	0.0952380952380952	42	8044	20851,16192,12983,20846	Stat5b,Il5ra,Csf2rb,Stat1
ko04630	Jak-STAT signaling pathway	0.00878573889081201	-4.73462545264867	157	4	0.0952380952380952	42	8044	20846,20851,16192,12983	Stat1,Stat5b,Il5ra,Csf2rb
ko05202	Transcriptional misregulation in cancer	0.0132266714059177	-4.32551992692333	177	4	0.0952380952380952	42	8044	21813,20181,80859,12394	Tgfbr2,Rxra,Nfkbiz,Runx1
mmu05202	Transcriptional misregulation in cancer	0.0132266714059177	-4.32551992692333	177	4	0.0952380952380952	42	8044	12394,80859,21813,20181	Runx1,Nfkbiz,Tgfbr2,Rxra
mmu05142	Chagas disease (American trypanosomiasis)	0.015477493284143	-4.16836835648195	101	3	0.0714285714285714	42	8044	21813,14675,21899	Tgfbr2,Gna14,Tlr6
ko05142	Chagas disease (American trypanosomiasis)	0.015477493284143	-4.16836835648195	101	3	0.0714285714285714	42	8044	14675,21899,21813	Gna14,Tlr6,Tgfbr2
mmu04919	Thyroid hormone signaling pathway	0.0218091378147944	-3.82542623119629	115	3	0.0714285714285714	42	8044	20846,20181,16410	Stat1,Rxra,Itgav
M00387	SCF-FBW7 complex	0.0258415752227341	-3.65577064129363	5	1	0.0238095238095238	42	8044	50754	Fbxw7
mmu_M00387	SCF-FBW7 complex	0.0258415752227341	-3.65577064129363	5	1	0.0238095238095238	42	8044	50754	Fbxw7
ko04380	Osteoclast differentiation	0.0299515319237369	-3.50817480635524	130	3	0.0714285714285714	42	8044	21813,20846,16822	Tgfbr2,Stat1,Lcp2
mmu04380	Osteoclast differentiation	0.0299515319237369	-3.50817480635524	130	3	0.0714285714285714	42	8044	21813,16822,20846	Tgfbr2,Lcp2,Stat1
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0.0309310955407889	-3.47599327290633	6	1	0.0238095238095238	42	8044	56375	B4galt4
mmu_M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0.0309310955407889	-3.47599327290633	6	1	0.0238095238095238	42	8044	56375	B4galt4
mmu04923	Regulation of lipolysis in adipocytes	0.0331952198387185	-3.40534939418741	55	2	0.0476190476190476	42	8044	11555,22094	Adrb2,Tshb
ko05221	Acute myeloid leukemia	0.0331952198387185	-3.40534939418741	55	2	0.0476190476190476	42	8044	12394,20851	Runx1,Stat5b
mmu05221	Acute myeloid leukemia	0.0331952198387185	-3.40534939418741	55	2	0.0476190476190476	42	8044	20851,12394	Stat5b,Runx1
ko05223	Non-small cell lung cancer	0.0365908744117036	-3.30795640267702	58	2	0.0476190476190476	42	8044	20181,20851	Rxra,Stat5b
mmu05223	Non-small cell lung cancer	0.0365908744117036	-3.30795640267702	58	2	0.0476190476190476	42	8044	20851,20181	Stat5b,Rxra
M00680	TGF-beta signaling	0.0410323839443102	-3.19339367174675	8	1	0.0238095238095238	42	8044	21813	Tgfbr2
mmu_M00680	TGF-beta signaling	0.0410323839443102	-3.19339367174675	8	1	0.0238095238095238	42	8044	21813	Tgfbr2
mmu05212	Pancreatic cancer	0.0437628593480597	-3.12896978141122	64	2	0.0476190476190476	42	8044	20846,21813	Stat1,Tgfbr2
ko05212	Pancreatic cancer	0.0437628593480597	-3.12896978141122	64	2	0.0476190476190476	42	8044	20846,21813	Stat1,Tgfbr2
M00078	Heparan sulfate degradation	0.0460444098125708	-3.07814891751348	9	1	0.0238095238095238	42	8044	52120	Hgsnat
mmu_M00078	Heparan sulfate degradation	0.0460444098125708	-3.07814891751348	9	1	0.0238095238095238	42	8044	52120	Hgsnat
ko04060	Cytokine-cytokine receptor interaction	0.0462377508731536	-3.07395869608746	261	4	0.0952380952380952	42	8044	21813,11479,16192,12983	Tgfbr2,Acvr1b,Il5ra,Csf2rb
mmu04060	Cytokine-cytokine receptor interaction	0.0462377508731536	-3.07395869608746	261	4	0.0952380952380952	42	8044	11479,21813,12983,16192	Acvr1b,Tgfbr2,Csf2rb,Il5ra
ko04664	Fc epsilon RI signaling pathway	0.0488115342046867	-3.01978863739745	68	2	0.0476190476190476	42	8044	232889,16822	Pla2g4c,Lcp2
mmu04664	Fc epsilon RI signaling pathway	0.0488115342046867	-3.01978863739745	68	2	0.0476190476190476	42	8044	232889,16822	Pla2g4c,Lcp2
M00681	Activin signaling	0.0510308609379731	-2.97532471283609	10	1	0.0238095238095238	42	8044	11479	Acvr1b
mmu_M00681	Activin signaling	0.0510308609379731	-2.97532471283609	10	1	0.0238095238095238	42	8044	11479	Acvr1b
ko04976	Bile secretion	0.0527309554073397	-2.94255260674671	71	2	0.0476190476190476	42	8044	20181,12780	Rxra,Abcc2
ko04920	Adipocytokine signaling pathway	0.0527309554073397	-2.94255260674671	71	2	0.0476190476190476	42	8044	20181,19017	Rxra,Ppargc1a
mmu04920	Adipocytokine signaling pathway	0.0527309554073397	-2.94255260674671	71	2	0.0476190476190476	42	8044	19017,20181	Ppargc1a,Rxra
mmu04976	Bile secretion	0.0527309554073397	-2.94255260674671	71	2	0.0476190476190476	42	8044	12780,20181	Abcc2,Rxra
ko04917	Prolactin signaling pathway	0.0540618974002724	-2.9176256407055	72	2	0.0476190476190476	42	8044	20846,20851	Stat1,Stat5b
mmu04917	Prolactin signaling pathway	0.0540618974002724	-2.9176256407055	72	2	0.0476190476190476	42	8044	20851,20846	Stat5b,Stat1
mmu04520	Adherens junction	0.0540618974002724	-2.9176256407055	72	2	0.0476190476190476	42	8044	242687,21813	Wasf2,Tgfbr2
ko04520	Adherens junction	0.0540618974002724	-2.9176256407055	72	2	0.0476190476190476	42	8044	242687,21813	Wasf2,Tgfbr2
mmu04514	Cell adhesion molecules (CAMs)	0.0559551558712136	-2.88320469706303	167	3	0.0714285714285714	42	8044	16410,20343,60533	Itgav,Sell,Cd274
ko04514	Cell adhesion molecules (CAMs)	0.0559551558712136	-2.88320469706303	167	3	0.0714285714285714	42	8044	60533,16410,20343	Cd274,Itgav,Sell
ko05152	Tuberculosis	0.0652422845833558	-2.72964748370394	178	3	0.0714285714285714	42	8044	21899,16149,20846	Tlr6,Cd74,Stat1
mmu05152	Tuberculosis	0.0652422845833558	-2.72964748370394	178	3	0.0714285714285714	42	8044	21899,16149,20846	Tlr6,Cd74,Stat1
mmu03450	Non-homologous end-joining	0.065838036091769	-2.72055755155503	13	1	0.0238095238095238	42	8044	21673	Dntt
ko03450	Non-homologous end-joining	0.065838036091769	-2.72055755155503	13	1	0.0238095238095238	42	8044	21673	Dntt
mmu04145	Phagosome	0.0687870373288549	-2.67673996271221	182	3	0.0714285714285714	42	8044	21899,53331,16410	Tlr6,Stx7,Itgav
ko04145	Phagosome	0.0687870373288549	-2.67673996271221	182	3	0.0714285714285714	42	8044	21899,16410,53331	Tlr6,Itgav,Stx7
mmu05222	Small cell lung cancer	0.0694591139158467	-2.66701698850187	83	2	0.0476190476190476	42	8044	16410,20181	Itgav,Rxra
ko05222	Small cell lung cancer	0.0694591139158467	-2.66701698850187	83	2	0.0476190476190476	42	8044	16410,20181	Itgav,Rxra
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0.0707234554018445	-2.64897800152618	14	1	0.0238095238095238	42	8044	56375	B4galt4
mmu00533	Glycosaminoglycan biosynthesis - keratan sulfate	0.0707234554018445	-2.64897800152618	14	1	0.0238095238095238	42	8044	56375	B4galt4
ko04062	Chemokine signaling pathway	0.0715029221658518	-2.63801696066484	185	3	0.0714285714285714	42	8044	20851,21844,20846	Stat5b,Tiam1,Stat1
mmu04062	Chemokine signaling pathway	0.0715029221658518	-2.63801696066484	185	3	0.0714285714285714	42	8044	21844,20846,20851	Tiam1,Stat1,Stat5b
mmu04350	TGF-beta signaling pathway	0.0723986917977517	-2.62556704884554	85	2	0.0476190476190476	42	8044	21813,11479	Tgfbr2,Acvr1b
ko04350	TGF-beta signaling pathway	0.0723986917977517	-2.62556704884554	85	2	0.0476190476190476	42	8044	11479,21813	Acvr1b,Tgfbr2
ko04658	Th1 and Th2 cell differentiation	0.075378500879287	-2.58523317885368	87	2	0.0476190476190476	42	8044	20846,20851	Stat1,Stat5b
mmu04658	Th1 and Th2 cell differentiation	0.075378500879287	-2.58523317885368	87	2	0.0476190476190476	42	8044	20846,20851	Stat1,Stat5b
mmu04912	GnRH signaling pathway	0.0783974312497565	-2.54596411683402	89	2	0.0476190476190476	42	8044	17390,232889	Mmp2,Pla2g4c
ko04912	GnRH signaling pathway	0.0783974312497565	-2.54596411683402	89	2	0.0476190476190476	42	8044	232889,17390	Pla2g4c,Mmp2
