TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	1.16188793850879e-08	-18.2706345286337	415	40	0.0704225352112676	568	15921	100273,19878,19159,212285,16452,20662,545622,216445,19250,226751,19249,215280,277360,13448,666060,380921,67016,209630,227800,269587,106877,223435,320495,110279,13822,71435,268783,109934,320129,21844,18223,71801,140580,384783,100045792,16428,71720,71729,13196,16443	Osbpl9,Rock2,Cyth3,Arap2,Jak2,Sos1,Ptpn3,Arhgap9,Ptpn14,Cdc42bpa,Ptpn13,Wipf1,Prex1,Dok1,Frmpd1,Dgkh,Tbc1d2b,Frmd4a,Rabgap1,Epb41,Afap1l1,Trio,Ipcef1,Bcr,Epb41l2,Arhgap21,Mtmr12,Abr,Grk3,Tiam1,Numbl,Plekhf2,Elmo1,Irs2,Ect2l,Itk,Osbpl3,Rgs12,Asap1,Itsn1
2.30.30.40	SH3 Domains	0.000350152119974197	-7.95714286940672	220	19	0.0334507042253521	568	15921	100213,216445,67742,338320,14784,17969,18003,223435,23970,77799,16443,225608,13196,16428,259302,21872,227157,140580,13383	Rusc2,Arhgap9,Samsn1,Mia2,Grb2,Ncf1,Nedd9,Trio,Pacsin2,Sla2,Itsn1,Sh3tc2,Asap1,Itk,Srgap3,Tjp1,Mpp4,Elmo1,Dlg1
1.20.58.1360	-	0.000428059183031395	-7.75624909383128	5	3	0.00528169014084507	568	15921	225876,30841,338523	Kdm2a,Kdm2b,Kdm7a
2.30.42.10	-	0.00109514335354227	-6.81687000780553	152	14	0.0246478873239437	568	15921	71435,545622,93742,21844,68070,277360,71729,666060,13383,227157,118449,360013,21872,19249	Arhgap21,Ptpn3,Pard3,Tiam1,Pdzd2,Prex1,Rgs12,Frmpd1,Dlg1,Mpp4,Synpo2,Myo18a,Tjp1,Ptpn13
1.25.40.170	Smaug, PHAT domain	0.00127062673459477	-6.66824500843177	2	2	0.00352112676056338	568	15921	233033,74480	Samd4b,Samd4
1.20.80.10	-	0.00186909556162301	-6.28230062200145	50	7	0.0123239436619718	568	15921	666060,269587,13822,19250,545622,209630,19249	Frmpd1,Epb41,Epb41l2,Ptpn14,Ptpn3,Frmd4a,Ptpn13
1.20.1560.10	ABC transporter type 1, transmembrane domain	0.00200474827320591	-6.21223677562884	26	5	0.00880281690140845	568	15921	19299,56199,18670,239273,27416	Abcd3,Abcb10,Abcb4,Abcc4,Abcc5
1.10.555.10	Rho GTPase activation protein	0.00232278560287882	-6.06498812266071	66	8	0.0140845070422535	568	15921	259302,212285,109934,216445,110279,223666,69993,71435	Srgap3,Arap2,Abr,Arhgap9,Bcr,Arhgap39,Chn2,Arhgap21
1.10.150.50	Transcription Factor, Ets-1	0.0023486170523931	-6.05392861239666	113	11	0.0193661971830986	568	15921	67630,212285,67742,74480,22221,208449,65964,75015,233033,380921,13876	Samd8,Arap2,Samsn1,Samd4,Ubp1,Sgms1,Map3k20,Samd13,Samd4b,Dgkh,Erg
1.20.900.10	Dbl homology (DH) domain	0.0028097642452006	-5.87465469766128	68	8	0.0140845070422535	568	15921	109934,21844,16443,277360,110279,20662,100045792,223435	Abr,Tiam1,Itsn1,Prex1,Bcr,Sos1,Ect2l,Trio
1.10.10.10	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain	0.00563276604106713	-5.17915465356123	220	16	0.028169014084507	568	15921	16363,71375,15441,67097,12144,67711,23834,19726,277360,13876,619289,20375,108689,56307,54169,218214	Irf2,Foxn3,Hp1bp3,Rps10,Blm,Nsmce1,Cdc6,Rfx3,Prex1,Erg,Rfx8,Spi1,Stn1,Metap2,Kat6b,Kdm1b
6.10.250.2670	-	0.00726715397459658	-4.92439053937937	4	2	0.00352112676056338	568	15921	16764,17355	Aff3,Aff1
3.40.225.10	Class II aldolase/adducin N-terminal domain	0.00726715397459658	-4.92439053937937	4	2	0.00352112676056338	568	15921	11518,27360	Add1,Add3
6.10.140.620	-	0.0118265505023266	-4.43740823249556	5	2	0.00352112676056338	568	15921	12322,12323	Camk2a,Camk2b
3.40.720.10	Alkaline Phosphatase, subunit A	0.01283884647448	-4.35527982319218	26	4	0.00704225352112676	568	15921	11881,18605,83965,74008	Arsb,Enpp1,Enpp5,Arsg
2.60.40.1510	ntegrin, alpha v. Chain A, domain 3	0.0146561809875357	-4.22289312208624	27	4	0.00704225352112676	568	15921	16399,16419,16403,381924	Itga2b,Itgb5,Itga6,Itgad
3.30.2230.10	DUSP-like	0.017323121303841	-4.05571317823678	6	2	0.00352112676056338	568	15921	14479,74270	Usp15,Usp20
