TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	3.10255399771199e-06	-12.6832849154383	237	24	0.0508474576271186	472	13465	212285,320495,106877,71720,71435,16428,223435,71801,67016,20662,380921,320129,19159,19878,21844,384783,226751,13196,109934,216445,277360,110279,16443,100273	Arap2,Ipcef1,Afap1l1,Osbpl3,Arhgap21,Itk,Trio,Plekhf2,Tbc1d2b,Sos1,Dgkh,Grk3,Cyth3,Rock2,Tiam1,Irs2,Cdc42bpa,Asap1,Abr,Arhgap9,Prex1,Bcr,Itsn1,Osbpl9
PS50057	FERM_3	0.000147734688740068	-8.82009253655682	45	8	0.0169491525423729	472	13465	269587,666060,209630,545622,16452,19249,19250,13822	Epb41,Frmpd1,Frmd4a,Ptpn3,Jak2,Ptpn13,Ptpn14,Epb41l2
PS50106	PDZ	0.00065640062574251	-7.32873924545429	147	14	0.0296610169491525	472	13465	21872,71435,118449,13383,277360,360013,227157,545622,93742,19249,71729,21844,68070,666060	Tjp1,Arhgap21,Synpo2,Dlg1,Prex1,Myo18a,Mpp4,Ptpn3,Pard3,Ptpn13,Rgs12,Tiam1,Pdzd2,Frmpd1
PS50002	SH3	0.000675793024784821	-7.29962370515667	218	18	0.038135593220339	472	13465	18003,223435,227157,67742,100213,225608,259302,13383,216445,16428,21872,13196,17969,77799,14784,338320,16443,23970	Nedd9,Trio,Mpp4,Samsn1,Rusc2,Sh3tc2,Srgap3,Dlg1,Arhgap9,Itk,Tjp1,Asap1,Ncf1,Sla2,Grb2,Mia2,Itsn1,Pacsin2
PS00889	CNMP_BINDING_2	0.000828260469684513	-7.09618287613429	13	4	0.00847457627118644	472	13465	12788,70873,19084,19091	Cnga1,Cnbd2,Prkar1a,Prkg1
PS00661	FERM_2	0.000831971945231586	-7.09171183738516	22	5	0.0105932203389831	472	13465	545622,209630,13822,19250,269587	Ptpn3,Frmd4a,Epb41l2,Ptpn14,Epb41
PS00741	DH_1	0.00126740289184361	-6.67078543936402	24	5	0.0105932203389831	472	13465	277360,109934,110279,21844,16443	Prex1,Abr,Bcr,Tiam1,Itsn1
PS50898	RBD	0.00134813533390329	-6.60903287546068	7	3	0.00635593220338983	472	13465	71729,21844,110157	Rgs12,Tiam1,Raf1
PS50238	RHOGAP	0.00187712572479783	-6.27801354184267	65	8	0.0169491525423729	472	13465	69993,223666,259302,216445,71435,110279,109934,212285	Chn2,Arhgap39,Srgap3,Arhgap9,Arhgap21,Bcr,Abr,Arap2
PS00888	CNMP_BINDING_1	0.00193916662027178	-6.24549697538111	16	4	0.00847457627118644	472	13465	12788,70873,19091,19084	Cnga1,Cnbd2,Prkg1,Prkar1a
PS50929	ABC_TM1F	0.00220772803003891	-6.11579133295514	27	5	0.0105932203389831	472	13465	56199,18670,27416,239273,19299	Abcb10,Abcb4,Abcc5,Abcc4,Abcd3
PS50010	DH_2	0.00250945006226389	-5.98769164854372	68	8	0.0169491525423729	472	13465	277360,100045792,20662,223435,16443,109934,110279,21844	Prex1,Ect2l,Sos1,Trio,Itsn1,Abr,Bcr,Tiam1
PS50016	ZF_PHD_2	0.0030159859947301	-5.80382847250434	70	8	0.0169491525423729	472	13465	225876,213109,228880,30841,209361,54169,407823,338523	Kdm2a,Phf3,Zmynd8,Kdm2b,Taf3,Kat6b,Baz2b,Kdm7a
PS51062	RUNT	0.00359316034392495	-5.6287231450931	3	2	0.00423728813559322	472	13465	12399,12393	Runx3,Runx2
PS00660	FERM_1	0.00461983554113707	-5.37739617167856	20	4	0.00847457627118644	472	13465	13822,209630,19250,269587	Epb41l2,Frmd4a,Ptpn14,Epb41
PS50031	EH	0.00572275283568284	-5.16330532438176	11	3	0.00635593220338983	472	13465	19707,13660,16443	Reps1,Ehd1,Itsn1
PS00349	CTF_NFI_1	0.00701955763551321	-4.9590550778141	4	2	0.00423728813559322	472	13465	18027,18032	Nfia,Nfix
PS51080	CTF_NFI_2	0.00701955763551321	-4.9590550778141	4	2	0.00423728813559322	472	13465	18032,18027	Nfix,Nfia
PS50892	V_SNARE	0.00743378383131925	-4.90172028591038	12	3	0.00635593220338983	472	13465	22320,217517,22319	Vamp8,Stxbp6,Vamp3
PS00107	PROTEIN_KINASE_ATP	0.0144529026805435	-4.23686000705063	379	22	0.0466101694915254	472	13465	21813,19713,50523,53608,18647,110157,70584,12545,16428,226751,14182,20817,16542,26398,320129,16452,20874,12323,19878,12572,12322,19091	Tgfbr2,Ret,Lats2,Map3k6,Cdk14,Raf1,Pak4,Cdc7,Itk,Cdc42bpa,Fgfr1,Srpk2,Kdr,Map2k4,Grk3,Jak2,Slk,Camk2b,Rock2,Cdk7,Camk2a,Prkg1
PS50105	SAM_DOMAIN	0.0158796663411061	-4.14271583464924	75	7	0.0148305084745763	472	13465	65964,75015,67742,380921,212285,67630,208449	Map3k20,Samd13,Samsn1,Dgkh,Arap2,Samd8,Sgms1
PS00108	PROTEIN_KINASE_ST	0.0163360824342612	-4.11437897140084	317	19	0.0402542372881356	472	13465	65964,26398,20817,226751,19878,12323,19091,12322,12572,20874,320129,53608,223435,50523,21813,71751,12545,18647,110157	Map3k20,Map2k4,Srpk2,Cdc42bpa,Rock2,Camk2b,Prkg1,Camk2a,Cdk7,Slk,Grk3,Map3k6,Trio,Lats2,Tgfbr2,Map3k13,Cdc7,Cdk14,Raf1
PS50158	ZF_CCHC	0.0198487643910355	-3.91961352108938	30	4	0.00847457627118644	472	13465	214290,319885,50518,22668	Tut7,Zcchc7,a,Sf1
PS00242	INTEGRIN_ALPHA	0.0201812177774648	-3.90300292011602	17	3	0.00635593220338983	472	13465	16403,16399,381924	Itga6,Itga2b,Itgad
PS51283	DUSP	0.0229071064912851	-3.77630808943309	7	2	0.00423728813559322	472	13465	14479,74270	Usp15,Usp20
PS50877	GOLOCO	0.0229071064912851	-3.77630808943309	7	2	0.00423728813559322	472	13465	71729,76123	Rgs12,Gpsm2
PS00417	SYNAPTOBREVIN	0.0229071064912851	-3.77630808943309	7	2	0.00423728813559322	472	13465	22320,22319	Vamp8,Vamp3
PS50011	PROTEIN_KINASE_DOM	0.0235415000857214	-3.74899045421343	490	26	0.0550847457627119	472	13465	18647,71751,70584,12545,16428,21813,19713,223435,53608,320129,12323,19878,217410,19091,226751,14182,26398,65964,110157,50523,16452,20874,12572,12322,20817,16542	Cdk14,Map3k13,Pak4,Cdc7,Itk,Tgfbr2,Ret,Trio,Map3k6,Grk3,Camk2b,Rock2,Trib2,Prkg1,Cdc42bpa,Fgfr1,Map2k4,Map3k20,Raf1,Lats2,Jak2,Slk,Cdk7,Camk2a,Srpk2,Kdr
PS50081	ZF_DAG_PE_2	0.0242849254557578	-3.71789947274822	64	6	0.0127118644067797	472	13465	67711,380921,110157,19878,226751,69993	Nsmce1,Dgkh,Raf1,Rock2,Cdc42bpa,Chn2
PS50042	CNMP_BINDING_3	0.0246622237741074	-3.70248260793505	32	4	0.00847457627118644	472	13465	12788,19084,19091,70873	Cnga1,Prkar1a,Prkg1,Cnbd2
PS51470	FG_GAP	0.0273133217897951	-3.60038071816542	19	3	0.00635593220338983	472	13465	381924,16399,16403	Itgad,Itga2b,Itga6
PS50076	DNAJ_2	0.0278636976948875	-3.58043059528509	49	5	0.0105932203389831	472	13465	66861,78244,66148,75015,67713	Dnajc10,Dnajc21,Dnajc15,Samd13,Dnajc19
PS00211	ABC_TRANSPORTER_1	0.0278636976948875	-3.58043059528509	49	5	0.0105932203389831	472	13465	56199,18670,27416,19299,239273	Abcb10,Abcb4,Abcc5,Abcd3,Abcc4
PS51125	NHL	0.0298424588806085	-3.51182310487628	8	2	0.00423728813559322	472	13465	18484,636931	Pam,Trim71
PS51089	HP	0.0298424588806085	-3.51182310487628	8	2	0.00423728813559322	472	13465	225115,226251	Svil,Ablim1
PS51321	TFIIS_CENTRAL	0.0298424588806085	-3.51182310487628	8	2	0.00423728813559322	472	13465	213109,21401	Phf3,Tcea3
PS51455	PIPK	0.0298424588806085	-3.51182310487628	8	2	0.00423728813559322	472	13465	117150,18719	Pip4k2c,Pip5k1b
PS01359	ZF_PHD_1	0.0336138865949915	-3.39281600587679	69	6	0.0127118644067797	472	13465	209361,54169,338523,228880,225876,213109	Taf3,Kat6b,Kdm7a,Zmynd8,Kdm2a,Phf3
PS50893	ABC_TRANSPORTER_2	0.0349044290011541	-3.35514155234838	52	5	0.0105932203389831	472	13465	27416,239273,19299,56199,18670	Abcc5,Abcc4,Abcd3,Abcb10,Abcb4
PS51959	ENDOU	0.0350538432971452	-3.35087001966849	1	1	0.00211864406779661	472	13465	19011	Endou
PS01074	TERPENE_SYNTHASES	0.0350538432971452	-3.35087001966849	1	1	0.00211864406779661	472	13465	16987	Lss
PS50151	UVR	0.0350538432971452	-3.35087001966849	1	1	0.00211864406779661	472	13465	20874	Slk
