TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	1.22897137260267e-05	-11.306747927902	252	25	0.0659630606860158	379	9882	16428,109934,320495,19878,71435,380921,71720,384783,100273,320129,226751,67016,19159,20662,71801,13448,212285,106877,216445,277360,223435,13196,21844,110279,16443	Itk,Abr,Ipcef1,Rock2,Arhgap21,Dgkh,Osbpl3,Irs2,Osbpl9,Grk3,Cdc42bpa,Tbc1d2b,Cyth3,Sos1,Plekhf2,Dok1,Arap2,Afap1l1,Arhgap9,Prex1,Trio,Asap1,Tiam1,Bcr,Itsn1
SM01196	FERM_C	0.000291342500798357	-8.14101100420068	25	6	0.0158311345646438	379	9882	13822,19249,545622,19250,209630,269587	Epb41l2,Ptpn13,Ptpn3,Ptpn14,Frmd4a,Epb41
SM00295	B41	0.000367844084280249	-7.90785139359584	47	8	0.0211081794195251	379	9882	269587,666060,545622,16452,209630,19250,13822,19249	Epb41,Frmpd1,Ptpn3,Jak2,Frmd4a,Ptpn14,Epb41l2,Ptpn13
SM00228	PDZ	0.00161743153822042	-6.42691585816014	148	14	0.0369393139841689	379	9882	93742,71435,21844,666060,13383,227157,360013,545622,68070,21872,71729,277360,19249,118449	Pard3,Arhgap21,Tiam1,Frmpd1,Dlg1,Mpp4,Myo18a,Ptpn3,Pdzd2,Tjp1,Rgs12,Prex1,Ptpn13,Synpo2
SM00455	RBD	0.00174571069972363	-6.35059352846424	7	3	0.0079155672823219	379	9882	110157,71729,21844	Raf1,Rgs12,Tiam1
SM00324	RhoGAP	0.00293910045171465	-5.82965171325409	64	8	0.0211081794195251	379	9882	259302,216445,109934,223666,69993,71435,212285,110279	Srgap3,Arhgap9,Abr,Arhgap39,Chn2,Arhgap21,Arap2,Bcr
SM00325	RhoGEF	0.0032423023980715	-5.73147158485765	65	8	0.0211081794195251	379	9882	223435,277360,100045792,109934,16443,110279,20662,21844	Trio,Prex1,Ect2l,Abr,Itsn1,Bcr,Sos1,Tiam1
SM00326	SH3	0.00355218568206901	-5.64019217986126	196	16	0.0422163588390501	379	9882	13196,223435,225608,216445,259302,77799,227157,16443,23970,18003,17969,16428,14784,13383,100213,67742	Asap1,Trio,Sh3tc2,Arhgap9,Srgap3,Sla2,Mpp4,Itsn1,Pacsin2,Nedd9,Ncf1,Itk,Grb2,Dlg1,Rusc2,Samsn1
SM01349	TOG	0.0039559155763288	-5.5325432061145	9	3	0.0079155672823219	379	9882	76707,76499,70572	Clasp1,Clasp2,Ipo5
SM00027	EH	0.00733862096489109	-4.9146043334499	11	3	0.0079155672823219	379	9882	13660,16443,19707	Ehd1,Itsn1,Reps1
