TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2292	Chemokine signaling pathway	0.000129605213916995	-8.95101754401433	183	21	0.0901287553648069	233	4906	19878,18033,12774,20308,140580,21844,17969,110157,57266,12767,20662,11513,12773,14702,109689,16428,93742,14784,16452,277360,20851	Rock2,Nfkb1,Ccr5,Ccl9,Elmo1,Tiam1,Ncf1,Raf1,Cxcl14,Cxcr4,Sos1,Adcy7,Ccr4,Gng2,Arrb1,Itk,Pard3,Grb2,Jak2,Prex1,Stat5b
WP1254	Apoptosis	0.000477265433286552	-7.64743775793146	83	12	0.0515021459227468	233	4906	94185,12125,14939,58801,26398,16363,12368,18033,22035,12578,12043,11797	Tnfrsf21,Bcl2l11,Gzmb,Pmaip1,Map2k4,Irf2,Casp6,Nfkb1,Tnfsf10,Cdkn2a,Bcl2,Birc2
WP1249	EPO Receptor Signaling	0.00111078430327895	-6.8026889336371	26	6	0.0257510729613734	233	4906	14784,20662,16452,384783,20851,110157	Grb2,Sos1,Jak2,Irs2,Stat5b,Raf1
WP373	IL-3 Signaling Pathway	0.00253147783165529	-5.97895202359234	100	12	0.0515021459227468	233	4906	20851,16452,14784,14460,12125,17532,20375,12043,20662,110157,11908,18033	Stat5b,Jak2,Grb2,Gata1,Bcl2l11,Mras,Spi1,Bcl2,Sos1,Raf1,Atf1,Nfkb1
WP297	IL-7 Signaling Pathway	0.00423490823571067	-5.46439361918592	44	7	0.0300429184549356	233	4906	12125,110157,14784,20662,19645,384783,20851	Bcl2l11,Raf1,Grb2,Sos1,Rb1,Irs2,Stat5b
WP163	Cytoplasmic Ribosomal Proteins	0.00541617737313166	-5.21836499406876	96	11	0.0472103004291846	233	4906	114641,16898,27176,110954,66475,19941,19899,19951,67097,78294,19933	Rpl31,Rps2,Rpl7a,Rpl10,Rps23,Rpl26,Rpl18,Rpl32,Rps10,Rps27a,Rpl21
WP571	FAS pathway and Stress induction of HSP regulation	0.00827206716543514	-4.79487084163646	38	6	0.0257510729613734	233	4906	19249,12043,11857,19645,12368,26398	Ptpn13,Bcl2,Arhgdib,Rb1,Casp6,Map2k4
WP450	IL-2 Signaling Pathway	0.0093073617770926	-4.67694960302952	76	9	0.0386266094420601	233	4906	20851,16452,384783,14784,12043,20662,110157,16185,18033	Stat5b,Jak2,Irs2,Grb2,Bcl2,Sos1,Raf1,Il2rb,Nfkb1
WP1560	MicroRNAs in Cardiomyocyte Hypertrophy	0.0161275594426823	-4.12722570376821	83	9	0.0386266094420601	233	4906	19878,19091,18033,12572,110157,56233,54720,16195,26398	Rock2,Prkg1,Nfkb1,Cdk7,Raf1,Hdac7,Rcan1,Il6st,Map2k4
WP2432	Spinal Cord Injury	0.017133561802123	-4.06671606052377	98	10	0.0429184549356223	233	4906	11853,19645,53357,17196,14609,14225,58250,19878,12227,16423	Rhoc,Rb1,Pla2g6,Mbp,Gja1,Fkbp1a,Chst11,Rock2,Btg2,Cd47
WP493	MAPK signaling pathway	0.0180896391120553	-4.01241592935628	159	14	0.0600858369098712	233	4906	65964,19057,110157,18033,21813,19043,12368,26398,17260,14784,17532,71751,53608,109689	Map3k20,Ppp3cc,Raf1,Nfkb1,Tgfbr2,Ppm1b,Casp6,Map2k4,Mef2c,Grb2,Mras,Map3k13,Map3k6,Arrb1
WP387	IL-6 signaling Pathway	0.0182909973800099	-4.00134628662766	99	10	0.0429184549356223	233	4906	18033,17977,110157,14784,20662,16452,19645,16195,26398,20851	Nfkb1,Ncoa1,Raf1,Grb2,Sos1,Jak2,Rb1,Il6st,Map2k4,Stat5b
WP6	Integrin-mediated Cell Adhesion	0.0182909973800099	-4.00134628662766	99	10	0.0429184549356223	233	4906	12335,381924,16419,110157,16403,19878,16399,70584,20662,14784	Capn3,Itgad,Itgb5,Raf1,Itga6,Rock2,Itga2b,Pak4,Sos1,Grb2
WP1270	Endochondral Ossification	0.0264509739898717	-3.63246229754213	62	7	0.0300429184549356	233	4906	58250,14182,12399,18605,20851,12393,17260	Chst11,Fgfr1,Runx3,Enpp1,Stat5b,Runx2,Mef2c
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	0.0308991812556843	-3.47702559200927	838	51	0.218884120171674	233	4906	16776,17131,21813,216724,110157,17463,16443,12739,238871,16691,18129,12017,69564,22337,12323,215280,21844,69993,16419,11607,19249,12578,12043,20662,16542,93742,12125,22084,14784,235442,18003,22288,16423,12477,11789,14609,21872,19341,17532,22770,15275,13448,17977,118449,16403,109689,22371,19713,16452,12322,384783	Lama5,Smad7,Tgfbr2,Rufy1,Raf1,Psmd7,Itsn1,Cldn3,Pde4d,Krt8,Notch2,Bag1,Nmrk2,Vdr,Camk2b,Wipf1,Tiam1,Chn2,Itgb5,Agtr1a,Ptpn13,Cdkn2a,Bcl2,Sos1,Kdr,Pard3,Bcl2l11,Tsc2,Grb2,Rab8b,Nedd9,Utrn,Cd47,Ctla4,Apc,Gja1,Tjp1,Rab4a,Mras,Zhx1,Hk1,Dok1,Ncoa1,Synpo2,Itga6,Arrb1,Vwf,Ret,Jak2,Camk2a,Irs2
