TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0050670	regulation of lymphocyte proliferation	8.32935023664407e-08	-16.3008952936198	261	26	0.0301274623406721	863	29090	18019,12043,238555,12477,16163,384783,13383,22042,16173,229473,16452,170823,21813,12578,17260,20851,171285,12144,22084,193385,16195,237877,19084,94185,21942,20662	Nfatc2,Bcl2,Btn2a2,Ctla4,Il13,Irs2,Dlg1,Tfrc,Il18,Tmem131l,Jak2,Glmn,Tgfbr2,Cdkn2a,Mef2c,Stat5b,Havcr2,Blm,Tsc2,Ripor2,Il6st,Atad5,Prkar1a,Tnfrsf21,Tnfrsf9,Sos1
GO:0032944	regulation of mononuclear cell proliferation	1.21603769437223e-07	-15.9224978692334	266	26	0.0301274623406721	863	29090	238555,12477,18019,12043,16163,22042,13383,16173,384783,12578,21813,17260,170823,229473,16452,12144,22084,171285,20851,94185,21942,16195,193385,19084,237877,20662	Btn2a2,Ctla4,Nfatc2,Bcl2,Il13,Tfrc,Dlg1,Il18,Irs2,Cdkn2a,Tgfbr2,Mef2c,Glmn,Tmem131l,Jak2,Blm,Tsc2,Havcr2,Stat5b,Tnfrsf21,Tnfrsf9,Il6st,Ripor2,Prkar1a,Atad5,Sos1
GO:1903706	regulation of hemopoiesis	1.62676421187459e-07	-15.6315027552429	461	36	0.0417149478563152	863	29090	20662,17131,21807,107527,19645,16190,215653,54169,18129,12399,12142,20851,21813,12578,56199,17260,20308,229473,56468,20375,235320,19411,18003,239114,16173,14190,11789,14460,74443,98366,15405,17387,21943,80859,238555,12477	Sos1,Smad7,Tsc22d1,Il1rl2,Rb1,Il4ra,Rassf2,Kat6b,Notch2,Runx3,Prdm1,Stat5b,Tgfbr2,Cdkn2a,Abcb10,Mef2c,Ccl9,Tmem131l,Socs5,Spi1,Zbtb16,Rarg,Nedd9,Il17d,Il18,Fgl2,Apc,Gata1,P4htm,Smap1,Hoxa9,Mmp14,Tnfsf11,Nfkbiz,Btn2a2,Ctla4
GO:0070663	regulation of leukocyte proliferation	1.63779021814257e-07	-15.6247477456814	288	27	0.0312862108922364	863	29090	238555,12477,18019,12043,16163,22042,13383,16173,384783,12578,21813,17260,170823,16452,229473,12144,22084,171285,15242,20851,94185,21942,16195,193385,19084,237877,20662	Btn2a2,Ctla4,Nfatc2,Bcl2,Il13,Tfrc,Dlg1,Il18,Irs2,Cdkn2a,Tgfbr2,Mef2c,Glmn,Jak2,Tmem131l,Blm,Tsc2,Havcr2,Hhex,Stat5b,Tnfrsf21,Tnfrsf9,Il6st,Ripor2,Prkar1a,Atad5,Sos1
GO:0050863	regulation of T cell activation	3.12461233395839e-07	-14.9787854285985	393	32	0.0370799536500579	863	29090	21943,238555,80859,12477,22042,13383,16173,14190,16423,12144,12142,22084,171285,20851,21813,12578,170823,235320,56468,229473,16452,20662,17131,13482,107527,94185,21942,16190,16195,193385,12399,19084	Tnfsf11,Btn2a2,Nfkbiz,Ctla4,Tfrc,Dlg1,Il18,Fgl2,Cd47,Blm,Prdm1,Tsc2,Havcr2,Stat5b,Tgfbr2,Cdkn2a,Glmn,Zbtb16,Socs5,Tmem131l,Jak2,Sos1,Smad7,Dpp4,Il1rl2,Tnfrsf21,Tnfrsf9,Il4ra,Il6st,Ripor2,Runx3,Prkar1a
GO:0022408	negative regulation of cell-cell adhesion	4.37339166290853e-07	-14.6425568186441	213	22	0.0254924681344148	863	29090	22084,14422,171285,19091,238555,12578,12477,17196,66214,170823,56468,20375,229473,16452,13383,17131,14190,94185,16190,193385,12399,19084	Tsc2,B4galnt2,Havcr2,Prkg1,Btn2a2,Cdkn2a,Ctla4,Mbp,Rgcc,Glmn,Socs5,Spi1,Tmem131l,Jak2,Dlg1,Smad7,Fgl2,Tnfrsf21,Il4ra,Ripor2,Runx3,Prkar1a
GO:0051345	positive regulation of hydrolase activity	1.44325765458604e-06	-13.4486077393049	463	34	0.0393974507531866	863	29090	83431,16403,76884,277360,19878,11607,67299,18003,69993,21844,12043,223453,13196,14062,110279,12739,12125,98910,67016,22035,58801,109934,212285,20308,19713,11853,16452,16428,12578,17196,17260,14182,22084,20354	Ndel1,Itga6,Cyfip2,Prex1,Rock2,Agtr1a,Dock7,Nedd9,Chn2,Tiam1,Bcl2,Dap,Asap1,F2r,Bcr,Cldn3,Bcl2l11,Usp6nl,Tbc1d2b,Tnfsf10,Pmaip1,Abr,Arap2,Ccl9,Ret,Rhoc,Jak2,Itk,Cdkn2a,Mbp,Mef2c,Fgfr1,Tsc2,Sema4d
GO:0050864	regulation of B cell activation	2.05035674482836e-06	-13.0974967580865	148	17	0.0196987253765933	863	29090	22042,72103,384783,94185,237877,16163,75698,22084,17387,20851,12578,12477,17260,18019,67742,20375,12043	Tfrc,Aplf,Irs2,Tnfrsf21,Atad5,Il13,Shld2,Tsc2,Mmp14,Stat5b,Cdkn2a,Ctla4,Mef2c,Nfatc2,Samsn1,Spi1,Bcl2
GO:1903037	regulation of leukocyte cell-cell adhesion	2.11012914788672e-06	-13.0687614048202	388	30	0.0347624565469293	863	29090	22042,13383,16173,14190,16423,238555,80859,12477,21943,94185,107527,16190,16195,193385,19084,12399,14347,17131,13482,12578,21813,235320,170823,56468,229473,16452,12144,22084,171285,20851	Tfrc,Dlg1,Il18,Fgl2,Cd47,Btn2a2,Nfkbiz,Ctla4,Tnfsf11,Tnfrsf21,Il1rl2,Il4ra,Il6st,Ripor2,Prkar1a,Runx3,Fut7,Smad7,Dpp4,Cdkn2a,Tgfbr2,Zbtb16,Glmn,Socs5,Tmem131l,Jak2,Blm,Tsc2,Havcr2,Stat5b
GO:0044770	cell cycle phase transition	2.70773196860883e-06	-12.8193991854315	151	17	0.0196987253765933	863	29090	76499,18032,19645,636931,11789,76707,240665,12323,12322,18027,66214,12043,116871,238555,50523,12545,18647	Clasp2,Nfix,Rb1,Trim71,Apc,Clasp1,Ccnj,Camk2b,Camk2a,Nfia,Rgcc,Bcl2,Mta3,Btn2a2,Lats2,Cdc7,Cdk14
