peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr5|3317863|3317864	chr5	3317863	3317864	Enhancer	26029	chr5:3343893-3531008|+|Cdk6-202
chr5|3387620|3387621	chr5	3387620	3387621	Enhancer	43308	chr5:3344312-3522225|+|Cdk6-201
chr5|3508665|3508666	chr5	3508665	3508666	Enhancer	8593	chr5:3498625-3500072|-|Gm42435-201
chr5|5368569|5368570	chr5	5368569	5368570	Enhancer	11627	chr5:4803391-5380197|-|Cdk14-201
chr5|5415610|5415611	chr5	5415610	5415611	Enhancer	35413	chr5:4803391-5380197|-|Cdk14-201
chr5|7422411|7422412	chr5	7422411	7422412	Enhancer	22049	chr5:7399362-7400362|-|Gm4960-201
chr5|8107012|8107013	chr5	8107012	8107013	Enhancer	50485	chr5:8056527-8069151|+|Sri-205
chr5|8222145|8222146	chr5	8222145	8222146	Enhancer	18170	chr5:8203866-8203975|-|Gm24196-201
chr5|9417585|9417586	chr5	9417585	9417586	Enhancer	41881	chr5:9375704-9375779|+|Mir879-201
chr5|10683054|10683055	chr5	10683054	10683055	Enhancer	14511	chr5:10668075-10668543|-|Gm42828-201
chr5|11521096|11521097	chr5	11521096	11521097	Enhancer	8849	chr5:11512247-11513378|+|Gm21040-201
chr5|13111048|13111049	chr5	13111048	13111049	Enhancer	10717	chr5:13121448-13121766|-|Gm10108-201
chr5|15608348|15608349	chr5	15608348	15608349	Enhancer	3282	chr5:15538002-15605066|-|Gm30613-201
chr5|15850307|15850308	chr5	15850307	15850308	Enhancer	19939	chr5:15870247-15870655|+|Gm42453-201
chr5|16370952|16370953	chr5	16370952	16370953	Enhancer	26771	chr5:16343398-16344181|-|Gm43491-201
chr5|16661590|16661591	chr5	16661590	16661591	Enhancer	55868	chr5:16605722-16607212|+|Gm42975-201
chr5|17842545|17842546	chr5	17842545	17842546	Enhancer	6828	chr5:17782486-17835717|-|Cd36-206
chr5|17869095|17869096	chr5	17869095	17869096	Enhancer	19303	chr5:17781690-17849792|-|Cd36-204
chr5|18014617|18014618	chr5	18014617	18014618	Enhancer	52068	chr5:17962549-18019834|+|Gnat3-201
chr5|18036314|18036315	chr5	18036314	18036315	Enhancer	73765	chr5:17962549-18019834|+|Gnat3-201
chr5|18036344|18036345	chr5	18036344	18036345	Enhancer	73795	chr5:17962549-18019834|+|Gnat3-201
chr5|19254293|19254294	chr5	19254293	19254294	Enhancer	27238	chr5:19227055-20704773|+|Magi2-206
chr5|19600545|19600546	chr5	19600545	19600546	Enhancer	85038	chr5:19515405-19515507|-|Gm25335-201
chr5|20933255|20933256	chr5	20933255	20933256	Enhancer	17733	chr5:20950989-20956398|+|A630072M18Rik-201
chr5|21038336|21038337	chr5	21038336	21038337	Enhancer	6584	chr5:21031752-21033084|+|Gm43216-201
chr5|21038394|21038395	chr5	21038394	21038395	Enhancer	6642	chr5:21031752-21033084|+|Gm43216-201
chr5|21143600|21143601	chr5	21143600	21143601	Enhancer	12524	chr5:21131076-21132022|+|Gm42660-201
chr5|21257209|21257210	chr5	21257209	21257210	Enhancer	22411	chr5:21279270-21279621|-|Gm43214-201
