gene	EM-seq_Preleukemia_Control_rep1	EM-seq_Preleukemia_Control_rep2	EM-seq_Preleukemia_Control_rep3	EM-seq_Preleukemia_Tet2_rep1	EM-seq_Preleukemia_Tet2_rep2	EM-seq_Preleukemia_Tet2_rep3	EM-seq_Preleukemia_Rx1_rep1	EM-seq_Preleukemia_Rx1_rep2	EM-seq_Preleukemia_Rx1_rep3	EM-seq_Preleukemia_Rx1Tet2_rep1	EM-seq_Preleukemia_Rx1Tet2_rep2	EM-seq_Preleukemia_Rx1Tet2_rep3	cluster
chr5.98285605	0.0	-1.0	10.0	-1.0	92.31	100.0	7.69	-1.0	0.0	0.0	0.0	0.0	0
chr5.92450929	0.0	0.0	0.0	87.5	96.97	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr3.79642278	42.86	47.62	48.0	63.64	68.0	70.83	47.37	40.0	36.0	61.9	22.22	50.0	0
chr5.89632207	0.0	0.0	0.0	78.57	74.19	78.38	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.87310786	0.0	0.0	0.0	90.48	86.67	90.91	0.0	0.0	0.0	4.55	0.0	0.0	0
chr16.95032455	0.0	0.0	0.0	79.17	77.42	82.35	0.0	0.0	0.0	6.25	0.0	2.94	0
chr5.82493062	0.0	6.25	0.0	84.21	86.36	94.12	0.0	0.0	0.0	0.0	0.0	0.0	0
chr11.14399413	26.32	25.0	38.46	57.14	66.67	56.25	53.33	52.17	18.75	46.67	50.0	30.77	0
chr5.93022897	0.0	0.0	0.0	90.48	96.0	90.48	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.87391410	0.0	0.0	0.0	66.67	50.0	62.5	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.80613843	0.0	0.0	3.57	85.71	88.46	86.21	0.0	0.0	0.0	0.0	6.9	0.0	0
chr19.46343725	29.63	18.75	22.22	72.73	33.33	38.46	35.0	0.0	23.53	5.0	0.0	0.0	0
chr2.11364055	66.67	66.67	64.71	90.32	85.42	83.78	73.91	62.16	40.0	68.97	76.67	54.55	0
chr2.31960402	72.22	71.43	80.0	94.12	100.0	100.0	76.92	90.91	94.12	87.5	92.31	82.35	0
chr16.97345502	0.0	0.0	0.0	95.24	100.0	95.24	0.0	0.0	0.0	0.0	3.45	0.0	0
chr14.52342787	41.67	28.0	34.29	90.91	81.82	85.19	54.17	46.15	44.44	70.37	65.12	54.55	0
chr5.111191385	100.0	-1.0	100.0	90.91	100.0	81.82	80.0	80.0	78.57	-1.0	94.12	-1.0	0
chr16.94337920	0.0	0.0	0.0	100.0	100.0	95.45	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.93428882	0.0	-1.0	5.56	83.33	92.86	82.76	0.0	4.35	0.0	0.0	0.0	0.0	0
chr16.87259891	0.0	0.0	0.0	70.59	95.24	79.17	0.0	0.0	0.0	0.0	4.55	0.0	0
chr5.80436317	0.0	0.0	0.0	96.67	85.71	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.96788547	0.0	0.0	0.0	100.0	100.0	93.75	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.98107535	0.0	17.65	6.67	-1.0	64.29	71.43	9.09	10.0	0.0	18.18	20.0	25.0	0
chr2.121641327	52.0	60.0	57.89	80.95	75.86	84.0	44.44	63.89	38.1	50.0	46.88	60.0	0
chr17.48234651	43.33	52.38	55.0	85.0	80.0	79.17	33.33	46.67	20.0	76.47	64.0	75.0	0
chr16.89579632	0.0	0.0	0.0	95.0	96.15	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
