peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr4|3094934|3094935	chr4	3094934	3094935	Enhancer	9657	chr4:3103759-3104592|-|Vmn1r-ps2-201
chr4|3118239|3118240	chr4	3118239	3118240	Enhancer	13647	chr4:3103759-3104592|-|Vmn1r-ps2-201
chr4|3120641|3120642	chr4	3120641	3120642	Enhancer	16049	chr4:3103759-3104592|-|Vmn1r-ps2-201
chr4|3143659|3143660	chr4	3143659	3143660	Enhancer	3602	chr4:3139141-3140057|-|Vmn1r-ps3-201
chr4|3150083|3150084	chr4	3150083	3150084	Enhancer	10026	chr4:3139141-3140057|-|Vmn1r-ps3-201
chr4|3150116|3150117	chr4	3150116	3150117	Enhancer	10059	chr4:3139141-3140057|-|Vmn1r-ps3-201
chr4|3184226|3184227	chr4	3184226	3184227	Enhancer	1131	chr4:3184348-3185358|-|Vmn1r3-201
chr4|3198158|3198159	chr4	3198158	3198159	Enhancer	12800	chr4:3184348-3185358|-|Vmn1r3-201
chr4|3198302|3198303	chr4	3198302	3198303	Enhancer	12944	chr4:3184348-3185358|-|Vmn1r3-201
chr4|3198408|3198409	chr4	3198408	3198409	Enhancer	13050	chr4:3184348-3185358|-|Vmn1r3-201
chr4|3206049|3206050	chr4	3206049	3206050	Enhancer	20691	chr4:3184348-3185358|-|Vmn1r3-201
chr4|3218281|3218282	chr4	3218281	3218282	Enhancer	27723	chr4:3246005-3258092|+|AI838599-201
chr4|3231614|3231615	chr4	3231614	3231615	Enhancer	14390	chr4:3246005-3258092|+|AI838599-201
chr4|3231648|3231649	chr4	3231648	3231649	Enhancer	14356	chr4:3246005-3258092|+|AI838599-201
chr4|3231809|3231810	chr4	3231809	3231810	Enhancer	14195	chr4:3246005-3258092|+|AI838599-201
chr4|3233035|3233036	chr4	3233035	3233036	Enhancer	12969	chr4:3246005-3258092|+|AI838599-201
chr4|3233782|3233783	chr4	3233782	3233783	Enhancer	12222	chr4:3246005-3258092|+|AI838599-201
chr4|3233860|3233861	chr4	3233860	3233861	Enhancer	12144	chr4:3246005-3258092|+|AI838599-201
chr4|3233887|3233888	chr4	3233887	3233888	Enhancer	12117	chr4:3246005-3258092|+|AI838599-201
chr4|3234418|3234419	chr4	3234418	3234419	Enhancer	11586	chr4:3246005-3258092|+|AI838599-201
chr4|3234480|3234481	chr4	3234480	3234481	Enhancer	11524	chr4:3246005-3258092|+|AI838599-201
chr4|3234523|3234524	chr4	3234523	3234524	Enhancer	11481	chr4:3246005-3258092|+|AI838599-201
chr4|3234602|3234603	chr4	3234602	3234603	Enhancer	11402	chr4:3246005-3258092|+|AI838599-201
chr4|3235410|3235411	chr4	3235410	3235411	Enhancer	10594	chr4:3246005-3258092|+|AI838599-201
chr4|3250288|3250289	chr4	3250288	3250289	Enhancer	4283	chr4:3246005-3258092|+|AI838599-201
chr4|3250351|3250352	chr4	3250351	3250352	Enhancer	4346	chr4:3246005-3258092|+|AI838599-201
chr4|3322550|3322551	chr4	3322550	3322551	Enhancer	4624	chr4:3327175-3327329|+|Gm11786-201
chr4|3323921|3323922	chr4	3323921	3323922	Enhancer	3253	chr4:3327175-3327329|+|Gm11786-201
chr4|3329415|3329416	chr4	3329415	3329416	Enhancer	2240	chr4:3327175-3327329|+|Gm11786-201
chr4|3335369|3335370	chr4	3335369	3335370	Enhancer	8194	chr4:3327175-3327329|+|Gm11786-201
chr4|3348144|3348145	chr4	3348144	3348145	Enhancer	20969	chr4:3327175-3327329|+|Gm11786-201
chr4|3357788|3357789	chr4	3357788	3357789	Enhancer	29057	chr4:3386846-3388691|+|Gm11784-201
chr4|3371842|3371843	chr4	3371842	3371843	Enhancer	15003	chr4:3386846-3388691|+|Gm11784-201
chr4|3391823|3391824	chr4	3391823	3391824	Enhancer	4977	chr4:3386846-3388691|+|Gm11784-201
chr4|3391914|3391915	chr4	3391914	3391915	Enhancer	5068	chr4:3386846-3388691|+|Gm11784-201
chr4|3397441|3397442	chr4	3397441	3397442	Enhancer	10595	chr4:3386846-3388691|+|Gm11784-201
chr4|3451420|3451421	chr4	3451420	3451421	Enhancer	4281	chr4:3455702-3456302|+|Gm11785-201
chr4|3451421|3451422	chr4	3451421	3451422	Enhancer	4280	chr4:3455702-3456302|+|Gm11785-201
chr4|3474987|3474988	chr4	3474987	3474988	Enhancer	19285	chr4:3455702-3456302|+|Gm11785-201
chr4|3475885|3475886	chr4	3475885	3475886	Enhancer	20183	chr4:3455702-3456302|+|Gm11785-201
chr4|3508354|3508355	chr4	3508354	3508355	Enhancer	8160	chr4:3496978-3516515|-|Gm11787-201
chr4|3510669|3510670	chr4	3510669	3510670	Enhancer	5845	chr4:3496978-3516515|-|Gm11787-201
chr4|3625688|3625689	chr4	3625688	3625689	Enhancer	6499	chr4:3619189-3619315|+|Gm22541-201
chr4|3626805|3626806	chr4	3626805	3626806	Enhancer	7616	chr4:3619189-3619315|+|Gm22541-201
chr4|3627103|3627104	chr4	3627103	3627104	Enhancer	7914	chr4:3619189-3619315|+|Gm22541-201
chr4|3649659|3649660	chr4	3649659	3649660	Enhancer	6848	chr4:3656508-3663108|+|2210414B05Rik-201
