TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr5:3498625-3500072|-|Gm42435-201	0	1		chr5|3508665
chr5:4803391-5380197|-|Cdk14-201	0	1		chr5|5368569
chr5:8203866-8203975|-|Gm24196-201	0	1		chr5|8222145
chr5:10668075-10668543|-|Gm42828-201	0	1		chr5|10683054
chr5:11512247-11513378|+|Gm21040-201	0	1		chr5|11521096
chr5:13121448-13121766|-|Gm10108-201	0	1		chr5|13111048
chr5:15538002-15605066|-|Gm30613-201	0	1		chr5|15608348
chr5:15870247-15870655|+|Gm42453-201	0	1		chr5|15850307
chr5:17782486-17835717|-|Cd36-206	0	1		chr5|17842545
chr5:17781690-17849792|-|Cd36-204	0	1		chr5|17869095
chr5:20950989-20956398|+|A630072M18Rik-201	0	1		chr5|20933255
chr5:21031752-21033084|+|Gm43216-201	0	2		chr5|21038336,chr5|21038394
chr5:21131076-21132022|+|Gm42660-201	0	1		chr5|21143600
chr5:21372642-21378374|+|Fgl2-201	0	1		chr5|21369025
chr5:21292961-21424677|-|Ccdc146-202	0	1		chr5|21410916
chr5:21424958-21482124|+|Fam185a-201	0	1		chr5|21436503
chr5:23279866-23279911|-|Gm28022-201	0	1		chr5|23286040
chr5:24209327-24209724|-|Gm5575-201	0	1		chr5|24208410
chr5:24862744-25100642|-|Prkag2-201	0	1		chr5|25083942
chr5:27195955-27198868|+|Gm43776-201	0	1		chr5|27191820
chr5:29198006-29225291|+|Rnf32-211	0	1		chr5|29199963
chr5:29378699-29390488|+|4632411P08Rik-201	0	1		chr5|29389779
chr5:29736033-29818134|+|Dnajb6-210	0	1		chr5|29737304
chr5:29832088-29833307|-|Gm1969-201	0	1		chr5|29852595
chr5:30366046-30366490|+|Gm43755-201	0	2		chr5|30348057,chr5|30378349
chr5:33995984-34005916|+|Nat8l-201	1	0	chr5|33995741	
chr5:34153880-34169527|-|Haus3-201	0	1		chr5|34171028
chr5:35697183-35739987|-|Sh3tc1-207	0	1		chr5|35743334
chr5:36490604-36574325|-|Tbc1d14-215	0	1		chr5|36554572
chr5:36600485-36695937|-|D5Ertd579e-201	0	1		chr5|36693418
chr5:37050857-37125299|+|Jakmip1-201	1	0	chr5|37051432	
chr5:37894696-37897276|+|Gm20052-204	0	1		chr5|37903671
chr5:38319367-38322518|+|Drd5-201	0	1		chr5|38302856
chr5:38706462-38876812|-|Clnk-201	0	2		chr5|38870086,chr5|38870150
chr5:40328438-40329427|+|Gm2810-201	0	1		chr5|40308701
chr5:43807705-43808743|-|Gm42555-201	0	1		chr5|43799877
chr5:44213801-44217259|-|E430021H15Rik-201	0	2		chr5|44206814,chr5|44211920
chr5:44224510-44225324|+|Gm42983-201	3	0	chr5|44223746,chr5|44223755,chr5|44224044	
chr5:51907122-51910931|-|Gm43175-201	1	0	chr5|51911026	
chr5:52135902-52136017|-|Mir6417-201	0	1		chr5|52132974
chr5:52607550-52619012|-|8030423F21Rik-201	0	1		chr5|52634588
chr5:53143160-53143238|+|n-R5s171-201	0	2		chr5|53153185,chr5|53154879
chr5:53519260-53522731|-|Gm10441-201	0	1		chr5|53504453
chr5:53555834-53657358|+|Rbpj-202	0	1		chr5|53566720
chr5:57721913-57913448|+|Pcdh7-207	1	0	chr5|57721966	
chr5:57778873-57781050|+|Gm42481-201	1	1	chr5|57778463	chr5|57780779
chr5:57984212-57985452|+|Gm37720-201	0	1		chr5|57978832
chr5:62602445-62766120|-|Arap2-201	0	2		chr5|62761195,chr5|62778970
chr5:64092950-64128351|+|Pgm2-201	0	1		chr5|64077556
chr5:64190033-64190987|-|Gm15824-201	0	1		chr5|64209919
chr5:64230399-64351486|+|Tbc1d1-203	0	1		chr5|64219189
chr5:64383454-64386205|+|Gm43837-201	0	1		chr5|64378760
chr5:64695461-64698521|-|Gm26761-201	0	1		chr5|64697461
chr5:64708207-64804117|-|Gm20033-203	0	1		chr5|64807168
chr5:64812339-64829482|+|Klf3-202	0	1		chr5|64828612
chr5:64924679-64933561|-|Tlr1-202	0	1		chr5|64935595
chr5:64952031-64960047|-|Tlr6-201	1	0	chr5|64959950	
chr5:65062536-65091584|-|Tmem156-201	1	0	chr5|65091333	
chr5:65605721-65698168|-|Pds5a-209	0	1		chr5|65714569
chr5:65863007-65893443|+|Rhoh-202	0	1		chr5|65868175
chr5:65951305-65952205|+|4930480C01Rik-201	0	1		chr5|65955559
