peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr1|22530570|22532011	chr1	22530570	22532011	Enhancer	209473	chr1:22740764-22741565|+|Gm26866-201
chr1|23916969|23917760	chr1	23916969	23917760	Enhancer	4952	chr1:23845625-23922317|-|Smap1-201
chr1|32971323|32973147	chr1	32971323	32973147	Promoter	0	chr1:32967484-32972490|-|Gm37151-201
chr1|34179851|34180102	chr1	34179851	34180102	Enhancer	1705	chr1:34165856-34178271|-|Gm26788-201
chr1|36160747|36161600	chr1	36160747	36161600	Enhancer	16860	chr1:36144252-36144313|-|Mir6897-201
chr1|37045988|37046075	chr1	37045988	37046075	Enhancer	16647	chr1:37029384-37076725|+|Vwa3b-205
chr1|39272948|39273256	chr1	39272948	39273256	Enhancer	3463	chr1:39276283-39276565|-|Gm20428-201
chr1|40429028|40429835	chr1	40429028	40429835	Promoter	0	chr1:40429570-40446723|+|Il1rl1-205
chr1|50386452|50387643	chr1	50386452	50387643	Enhancer	11031	chr1:50397552-50398079|-|Gm29665-201
chr1|53936734|53936837	chr1	53936734	53936837	Enhancer	49844	chr1:53886828-53886941|-|Gm24251-201
chr1|59739180|59740155	chr1	59739180	59740155	Enhancer	23732	chr1:59763400-59879014|+|Bmpr2-201
chr1|80015485|80015786	chr1	80015485	80015786	Enhancer	58055	chr1:79957580-79958057|+|Gm28071-201
chr1|80018271|80018972	chr1	80018271	80018972	Enhancer	61041	chr1:79957580-79958057|+|Gm28071-201
chr1|86258430|86258488	chr1	86258430	86258488	Enhancer	42916	chr1:86275509-86301375|-|Gm16341-201
chr1|95655727|95655835	chr1	95655727	95655835	Enhancer	7273	chr1:95646774-95648508|-|Gm37642-201
chr1|105243489|105243645	chr1	105243489	105243645	Promoter	858	chr1:105244425-105244661|+|Gm29013-201
chr1|105864342|105864481	chr1	105864342	105864481	Enhancer	26600	chr1:105887633-105891012|-|Gm37779-201
chr1|106658573|106658706	chr1	106658573	106658706	Enhancer	51769	chr1:106604784-106606870|-|Gm37053-201
chr1|130342722|130342909	chr1	130342722	130342909	Enhancer	61557	chr1:130269950-130281258|-|Gm16081-201
chr1|136268237|136268627	chr1	136268237	136268627	Enhancer	7559	chr1:136259797-136260873|-|Gpr25-201
chr1|149556530|149556616	chr1	149556530	149556616	Enhancer	106623	chr1:149420982-149449950|-|Gm29398-201
chr1|153002463|153002597	chr1	153002463	153002597	Enhancer	47532	chr1:152954998-153119261|+|Nmnat2-201
chr1|156462592|156462887	chr1	156462592	156462887	Enhancer	4064	chr1:156429793-156466804|-|Soat1-201
chr1|160325472|160325828	chr1	160325472	160325828	Enhancer	1428	chr1:160321686-160327078|-|Gm37529-201
chr1|160842708|160843349	chr1	160842708	160843349	Enhancer	3860	chr1:160839168-160839631|+|Gm38060-201
chr1|164441224|164441888	chr1	164441224	164441888	Enhancer	16799	chr1:164437109-164458355|-|Atp1b1-201
chr1|165322960|165323400	chr1	165322960	165323400	Enhancer	20557	chr1:165302623-165326745|+|Gpr161-201
chr1|168288359|168289575	chr1	168288359	168289575	Enhancer	48704	chr1:168335980-168337671|-|Gm37524-201
chr1|173191777|173192308	chr1	173191777	173192308	Enhancer	1402	chr1:173181853-173190640|-|Olfr1406-202
chr1|176835172|176837274	chr1	176835172	176837274	Promoter	0	chr1:176835724-176836062|+|Gm38158-201
chr1|177367912|177368327	chr1	177367912	177368327	Enhancer	60964	chr1:177428338-177429084|-|Gm26801-202
chr1|179169729|179169983	chr1	179169729	179169983	Enhancer	252242	chr1:178898582-178917614|-|Gm16564-201
chr1|179551077|179551686	chr1	179551077	179551686	Enhancer	5011	chr1:179546370-179627478|+|Cnst-201
chr1|179818826|179819007	chr1	179818826	179819007	Enhancer	15236	chr1:179744894-179803680|-|Ahctf1-201
chr1|182224033|182224867	chr1	182224033	182224867	Enhancer	58354	chr1:182275772-182282804|-|Degs1-201
chr1|184582998|184583265	chr1	184582998	184583265	Enhancer	2925	chr1:184580109-184580206|-|Gm23349-201
chr1|184645332|184645470	chr1	184645332	184645470	Enhancer	15928	chr1:184610280-184629473|-|Gm37800-202
chr1|189865402|189866412	chr1	189865402	189866412	Enhancer	14028	chr1:189879935-189884652|+|Gm37422-201
chr10|8130553|8130972	chr10	8130553	8130972	Enhancer	45368	chr10:8176131-8193340|+|Gm30906-201
chr10|12888464|12888541	chr10	12888464	12888541	Enhancer	19137	chr10:12383380-12869365|-|Utrn-205
chr10|16159537|16159802	chr10	16159537	16159802	Enhancer	205128	chr10:16364798-16366574|+|Gm18557-201
chr10|20111709|20112211	chr10	20111709	20112211	Enhancer	36511	chr10:20148471-20281522|+|Map7-201
chr10|21326664|21327828	chr10	21326664	21327828	Enhancer	14811	chr10:21319088-21342057|-|4930455C13Rik-201
chr10|21395532|21395665	chr10	21395532	21395665	Enhancer	14974	chr10:21410263-21410573|-|Fkbp1a-ps2-201
chr10|43646411|43647141	chr10	43646411	43647141	Enhancer	7553	chr10:43639223-43639648|+|Rpl26-ps1-201
chr10|44410064|44410294	chr10	44410064	44410294	Enhancer	14145	chr10:44418400-44424324|-|Gm35028-201
chr10|44609220|44609541	chr10	44609220	44609541	Enhancer	7206	chr10:44597889-44602174|-|Gm48065-201
chr10|61412949|61413166	chr10	61412949	61413166	Enhancer	4914	chr10:61417972-61425338|+|Nodal-201
chr10|63636378|63637527	chr10	63636378	63637527	Enhancer	132915	chr10:63504037-65002833|+|Ctnna3-201
chr10|63646637|63647115	chr10	63646637	63647115	Enhancer	142839	chr10:63504037-65002833|+|Ctnna3-201
chr10|66900683|66901084	chr10	66900683	66901084	Enhancer	9271	chr10:66889671-66891612|-|Gm47903-201
chr10|67621316|67621370	chr10	67621316	67621370	Enhancer	44016	chr10:67665359-67666745|+|Gm32515-201
chr10|69311994|69312136	chr10	69311994	69312136	Promoter	74	chr10:69312139-69315376|+|Gm40685-201
chr10|79797692|79798885	chr10	79797692	79798885	Enhancer	3632	chr10:79793781-79794656|-|Gm48495-201
chr10|84168185|84168484	chr10	84168185	84168484	Enhancer	53722	chr10:84191820-84222057|-|Gm47253-201
chr10|89791780|89792434	chr10	89791780	89792434	Enhancer	29339	chr10:89821340-89821446|-|Gm26180-201
chr10|93023615|93023843	chr10	93023615	93023843	Enhancer	57867	chr10:92776179-93081596|-|Cfap54-211
chr10|94565557|94566564	chr10	94565557	94566564	Enhancer	9196	chr10:94575257-94588117|+|Tmcc3-204
chr10|94981666|94981807	chr10	94981666	94981807	Enhancer	17705	chr10:94993952-94999442|-|Gm48867-201
chr10|95604910|95605145	chr10	95604910	95605145	Enhancer	1235	chr10:95603792-95604116|+|Gm23776-201
chr10|95682957|95683166	chr10	95682957	95683166	Enhancer	9610	chr10:95672991-95673451|-|Anapc15-ps-201
chr10|96586711|96587238	chr10	96586711	96587238	Enhancer	8756	chr10:96519157-96595731|-|Gm33843-201
chr10|98897638|98897737	chr10	98897638	98897737	Enhancer	17464	chr10:98915152-99026143|+|Atp2b1-201
chr10|99607535|99607578	chr10	99607535	99607578	Enhancer	1614	chr10:99609171-99658134|+|Gm20110-201
chr10|111583166|111583204	chr10	111583166	111583204	Enhancer	11088	chr10:111586719-111594273|-|4933440J02Rik-201
chr10|117119626|117119876	chr10	117119626	117119876	Enhancer	28759	chr10:117069427-117148510|-|Frs2-201
chr10|117804372|117804957	chr10	117804372	117804957	Enhancer	5899	chr10:117798459-117798765|-|Gm47899-201
chr10|117934403|117936123	chr10	117934403	117936123	Enhancer	9804	chr10:117925459-117948292|+|4933411E08Rik-201
chr10|119382166|119383551	chr10	119382166	119383551	Enhancer	28363	chr10:119409879-119411222|-|Gm40778-201
chr10|120362532|120364162	chr10	120362532	120364162	Promoter	0	chr10:120364158-120384336|+|1700006J14Rik-203
chr10|120796950|120797587	chr10	120796950	120797587	Enhancer	3408	chr10:120800677-120801794|+|Gm15961-201
chr10|122933515|122934100	chr10	122933515	122934100	Enhancer	38439	chr10:122895368-122941449|+|Ppm1h-208
chr11|19382998|19383117	chr11	19382998	19383117	Promoter	627	chr11:19383685-19384708|+|Gm12026-201
chr11|19601825|19601930	chr11	19601825	19601930	Enhancer	26183	chr11:19626761-19628061|-|Gm12027-201
chr11|24136335|24136458	chr11	24136335	24136458	Enhancer	20991	chr11:24099688-24115405|-|Gm12064-201
chr11|31974024|31974399	chr11	31974024	31974399	Enhancer	8619	chr11:31965592-31979651|+|4930524B15Rik-201
chr11|46453902|46453986	chr11	46453902	46453986	Promoter	991	chr11:46454935-46481255|+|Havcr2-201
chr11|52196612|52196803	chr11	52196612	52196803	Enhancer	7754	chr11:52188953-52189553|+|Gm12206-201
chr11|69855509|69855707	chr11	69855509	69855707	Enhancer	1517	chr11:69851219-69857125|-|Tnk1-203
chr11|70727433|70728157	chr11	70727433	70728157	Enhancer	21805	chr11:70705990-70706059|+|Mir6925-201
chr11|77145517|77145668	chr11	77145517	77145668	Enhancer	4035	chr11:77149628-77150525|+|Gm12345-201
chr11|85719763|85720093	chr11	85719763	85720093	Promoter	184	chr11:85702200-85719744|-|Bcas3os1-202
chr11|87259523|87260073	chr11	87259523	87260073	Enhancer	44875	chr11:87304673-87304944|+|Gm11490-201
chr11|88968021|88969321	chr11	88968021	88969321	Enhancer	1581	chr11:88970252-88991613|+|Coil-202
chr11|95907781|95908018	chr11	95907781	95908018	Enhancer	6991	chr11:95865943-95914891|-|B4galnt2-201
chr11|108320754|108321191	chr11	108320754	108321191	Enhancer	22955	chr11:107933387-108343928|-|Prkca-201
chr11|113362816|113362948	chr11	113362816	113362948	Enhancer	105095	chr11:113467977-113472014|+|Gm16487-201
chr11|113640926|113641277	chr11	113640926	113641277	Enhancer	8067	chr11:113649169-113662947|+|Cog1-201
chr11|114482273|114482367	chr11	114482273	114482367	Enhancer	33460	chr11:114413401-114448860|-|4932435O22Rik-202
chr12|3153605|3153882	chr12	3153605	3153882	Enhancer	18130	chr12:3171874-3201049|+|Gm9077-201
chr12|3968529|3968743	chr12	3968529	3968743	Enhancer	13685	chr12:3954951-3960573|+|Pomc-204
chr12|4873314|4873706	chr12	4873314	4873706	Promoter	848	chr12:4863072-4874358|-|Mfsd2b-204
chr12|5348573|5349299	chr12	5348573	5349299	Enhancer	26746	chr12:5077472-5375682|-|Klhl29-201
chr12|11202635|11202683	chr12	11202635	11202683	Enhancer	1722	chr12:11186348-11204381|-|9530020I12Rik-203
chr12|13461559|13462837	chr12	13461559	13462837	Enhancer	6228	chr12:13455023-13455970|-|Gm6736-201
chr12|27125781|27128273	chr12	27125781	27128273	Enhancer	12032	chr12:27090237-27114995|-|Gm9866-205
chr12|29556076|29558213	chr12	29556076	29558213	Enhancer	22529	chr12:29534615-29920842|+|Myt1l-201
chr12|29870872|29872473	chr12	29870872	29872473	Enhancer	31462	chr12:29840210-29857802|+|Myt1l-204
chr12|36019415|36019797	chr12	36019415	36019797	Enhancer	22883	chr12:36014557-36042489|-|Tspan13-201
chr12|40427571|40427899	chr12	40427571	40427899	Enhancer	18039	chr12:40315046-40445774|-|Zfp277-202
chr12|45075847|45075968	chr12	45075847	45075968	Enhancer	1198	chr12:44852484-45074709|-|Stxbp6-201
chr12|50733957|50735733	chr12	50733957	50735733	Enhancer	18252	chr12:50753097-50900985|+|Gm48779-201
chr12|50807706|50808040	chr12	50807706	50808040	Enhancer	54776	chr12:50753097-50900985|+|Gm48779-201
chr12|51856787|51856966	chr12	51856787	51856966	Enhancer	16255	chr12:51840417-51840621|-|Gm19309-201
