TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr10	mouse chr10	4.44113977394253e-12	-26.1401100665848	2601	69	0.0588235294117647	1173	112291	668347,117150,14479,58250,100504234,56307,18605,57764,18302,66701,19707,110279,15979,100504412,327744,102636197,115485737,102636738,66225,21917,14687,102634400,102634600,66201,100042958,100039225,108167801,14609,105245199,320626,100045792,102639587,12142,319880,118567816,22364,12512,320495,22288,321010,118567807,100042850,100316688,432442,216185,100504626,216131,17339,67972,74732,237320,16987,102637685,216445,102636895,216440,667338,115487539,17997,237436,115487490,382423,13822,15275,69564,432436,18821,215436,102638474	Gm9118,Pip4k2c,Usp15,Chst11,Ccdc170,Metap2,Enpp1,Ntn4,Oit3,Spryd4,Reps1,Bcr,Ifngr1,Kcnmb4os2,E130307A14Rik,Gm33332,Gm25526,Gm33728,Llph,Tmpo,Gnaz,Gm31992,Gm32141,Vta1,Gm4129,Gm10322,Gm47715,Gja1,Gm40685,9230105E05Rik,Ect2l,Gm35865,Prdm1,Tmcc3,Gm48089,Vpreb3,Cd63,Ipcef1,Utrn,1700006J14Rik,Gm47903,Gm4065,Mir1929,Akap7,Gm4799,Gm16364,Trappc10,Mip,Atp2b1,Stx11,Aldh8a1,Lss,Gm16239,Arhgap9,Gm33843,Os9,Gm8580,Gm23664,Nedd1,Gas2l3,Gm24374,Atxn7l3b,Epb41l2,Hk1,Nmrk2,Gm5420,Pln,Slc35e3,Gm35028
mouse chr5	mouse chr5	3.24976306575452e-09	-19.5446837461071	3108	70	0.0596760443307758	1173	112291	72151,115490276,666922,22022,100689,105246912,12545,15442,100579137,115490199,71473,245945,170823,30841,269718,102637968,67210,102636357,17355,100039964,66681,102633882,78443,12589,100316709,100039820,100503185,71778,231123,16542,19679,280668,66537,23912,78339,12739,102637521,320129,212285,18647,100604,77462,100134986,81702,231069,19079,105246930,19249,320411,19159,381667,97268,12959,18670,11518,72041,330192,12788,75665,14190,20817,71336,115486301,17969,69871,269630,666417,19933,71729,665563	Rfc5,Gm23202,Gm8365,Tpst2,Spon2,Gm42109,Cdc7,Hpse,Dmrt1i,Gm8145,8430423G03Rik,Rbm47,Glmn,Kdm2b,Gm5050,Gm34648,Gatad1,Gm20072,Aff1,Gm15411,Pgm2,Gm26761,A930041C12Rik,Ift81,Mir1960,Gm16020,Btbd8,Klhl5,Haus3,Kdr,Pitpnm2,Adam1a,Pomp,Rhof,Ttyh3,Cldn3,Gm15736,Grk3,Arap2,Cdk14,Lrrc8c,Tmem116,Gm15498,Ankrd17,Gm4865,Prkab1,Gm16227,Ptpn13,A730089K16Rik,Cyth3,Lrcol1,C230066G23Rik,Cryba4,Abcb4,Add1,Alkbh4,Vps37b,Cnga1,Bicdl1,Fgl2,Srpk2,Rbks,Gm25076,Ncf1,Ppp1r35,5031425E22Rik,Gm8091,Rpl21,Rgs12,Mthfd2l
mouse chr15	mouse chr15	6.25402744621026e-09	-18.8900401893354	2030	52	0.0443307757885763	1173	112291	223435,66270,239528,115488558,223666,207839,105246018,14555,207911,75459,20788,102639799,78757,19011,105827,20289,109901,102634389,13196,100038735,23970,68070,16185,246221,66629,105243761,223827,78895,115488592,223453,11908,102637304,67819,223693,16691,22770,268783,69291,17069,19411,56233,115488557,18642,494448,78244,12465,22337,69574,74716,53357,100418335,67429	Trio,Retreg1,Ago2,Gm22890,Arhgap39,Galnt6,Gm15609,Gpd1,Mchr1,Syce3,Srebf2,Gm36026,Rictor,Endou,Amigo2,Scx,Cela1,Gm17546,Asap1,Gm10384,Pacsin2,Pdzd2,Il2rb,Mpst,Golph3,Gm39556,Gxylt1,Pus7l,Gm24204,Dap,Atf1,Gm34150,Derl1,Tmem184b,Krt8,Zhx1,Mtmr12,1700001L05Rik,Ly6e,Rarg,Hdac7,Gm22299,Pfkm,Cbx6,Dnajc21,Cct5,Vdr,Cmbl,Wbp2nl,Pla2g6,Gm15937,Nudcd1
mouse chr19	mouse chr19	8.84267257427694e-09	-18.5436766785817	1525	43	0.0366581415174766	1173	112291	17330,108689,381232,226090,22668,225995,13660,66206,19773,107272,100503104,102638259,54445,16452,22786,54364,102637283,15242,67590,107358,27360,15925,208449,319740,76952,19091,102638028,100418483,115486074,115486081,115489040,20874,20168,226251,240665,100048534,19726,433256,225876,115489069,18719,14764,73899	Minpp1,Stn1,Mirt1,Ermp1,Sf1,D030056L22Rik,Ehd1,1110059E24Rik,Rln1,Psat1,Gm19557,Gm20616,Unc93b1,Jak2,Zp1,Rpp30,Pip5k1bos,Hhex,Tctn3,Tm9sf3,Add3,Ide,Sgms1,Zfyve27,Nt5c2,Prkg1,Gm20467,Gm19241,Gm25216,Gm24599,Gm8974,Slk,Rtn3,Ablim1,Ccnj,Cfap43,Rfx3,Acsl5,Kdm2a,Gm26207,Pip5k1b,Ptgdr2,4833407H14Rik
mouse chr18	mouse chr18	5.67137372366848e-08	-16.685249376251	1513	41	0.0349531116794544	1173	112291	69597,70361,77855,59025,106878,17131,100038439,59057,53871,15531,108052,17191,100502834,225608,619308,100503117,66758,106869,78449,240444,106894,17196,225280,110695,73516,240185,12322,72747,58523,102641163,106877,100217466,53382,71683,11789,66255,620155,225651,17200,58801,225115	Afg3l2,Lman1,D730045A05Rik,Usp14,Smim3,Smad7,Gm10556,Zfp24,Pkd2l2,Ndst1,Slc14a1,Mbd2,Gm15972,Sh3tc2,F830208F22Rik,2010010A06Rik,Zfp474,Tnfaip8,2700046A07Rik,Kcng2,Hmgxb3,Mbp,Ino80c,Aldh7a1,1700086O06Rik,Jcad,Camk2a,Ttc39c,Elp2,Gm38165,Afap1l1,Scarna17,Txnl1,Gypc,Apc,Hsbp1l1,Gm6133,Mppe1,Mc2r,Pmaip1,Svil
mouse chr4	mouse chr4	5.99210510825658e-08	-16.63023795646	3418	71	0.0605285592497869	1173	112291	12819,115490018,101055769,100273,100504309,102633376,102636131,20441,54366,102636602,12578,100316708,329977,329910,75819,78180,631400,634731,53608,100503583,100039672,666060,67460,100434,67490,115486266,383991,101739,102637941,414068,230514,66743,100213,67103,67299,15356,319885,102637788,102636258,102637578,27028,18027,666897,21942,22319,140577,100417804,115490048,230815,115490072,545622,15441,24111,230737,22234,115489894,72475,12399,21401,620559,102634405,269587,12017,115490027,68703,319865,115490085,74310,71801,102637678,108802	Col15a1,Gm24468,Gm12596,Osbpl9,Smim27,Gm12924,Gm13067,St3gal3,Ctnnal1,Gm12496,Cdkn2a,Mir1958,Fhad1,Acot11,4930509K18Rik,4930522O17Rik,Gm12950,Susd1,Map3k6,Fsbp,Msmp,Frmpd1,Decr1,Slc44a1,Ufl1,Gm24117,Gm12920,Psip1,Gm12602,Bach2os,Leprot,Rnf220,Rusc2,Ptgr1,Dock7,Hmgcl,Zcchc7,Gm12405,Gm11802,Gm12827,Ermap,Nfia,Gm11830,Tnfrsf9,Vamp3,Ankrd6,Gm12419,Gm22247,Man1c1,Gm22888,Ptpn3,Hp1bp3,Uts2,Gnl2,Ugcg,Gm12786,Ssbp3,Runx3,Tcea3,Gm12366,Gm13133,Epb41,Bag1,Gm22335,Rere,E130114P18Rik,Gm26254,Ube4bos3,Plekhf2,Gm12403,Calr4
mouse chr13	mouse chr13	1.13681778015176e-07	-15.9898627127523	2545	57	0.0485933503836317	1173	112291	238871,193385,102637135,13723,238803,20379,18003,669420,21810,102634869,12572,102637852,57266,105245466,101055980,218454,14062,102637478,606729,66128,102636359,66475,238555,16553,238505,115488214,102633383,17260,218214,66970,408066,380842,79401,11992,11607,12763,102636681,218543,107767,171211,102633343,115488261,218639,20354,115488189,115488186,16195,214290,238880,667676,66503,68480,100418349,102635439,11881,102636218,140580	Pde4d,Ripor2,Gm34022,Emb,Zfp366,Sfrp4,Nedd9,Gm10129,Tgfbi,Gm32351,Cdk7,Gm34558,Cxcl14,Gm40915,Gm15285,Lhfpl2,F2r,Gm34276,Gm6081,Mrps36,Gm33447,Rps23,Btn2a2,Kif13a,Mtr,Gm22806,Gm31218,Mef2c,Kdm1b,Ssbp2,Cspg4b,Stmnd1,Spz1,Auh,Agtr1a,Cmah,Gm11342,Srek1,Scamp1,Edaradd,Gm31191,Gm22013,Arl15,Sema4d,Gm17160,Gm48745,Il6st,Tut7,Actbl2,Gm8756,1810034E14Rik,Card19,Gm19154,Gm11278,Arsb,Gm15290,Elmo1
mouse chr1|1 B	mouse chr1|1 B	3.39534185873944e-07	-14.8956912002484	15	5	0.00426257459505541	1173	112291	102465540,108167617,73426,78321,68483	Mir6897,Gm26788,1700066B17Rik,Ankrd23,1110002O04Rik
mouse chr2	mouse chr2	4.78741063305086e-07	-14.5521059633514	4323	81	0.0690537084398977	1173	112291	13482,100036535,277360,27176,100504305,75423,118568484,75263,241303,73399,108115,16776,16403,72668,228019,74874,98910,20568,50518,99371,100504729,215653,110153,110074,68243,674469,102643083,74270,70873,22193,100462662,246313,209361,71897,66861,21817,115489644,100040270,12335,76218,320343,227800,241230,407823,100043788,68215,14225,241447,102634513,209630,414086,15112,100504593,12125,20375,102638221,65964,101113,14347,70354,75812,329375,100038999,73303,66860,102638051,215280,21788,329514,67337,73938,102632352,102632249,71435,115486148,102638255,73847,77799,18019,228880,101056075	Dpp4,Gm9913,Prex1,Rpl7a,Gm16534,Arl5a,Pmepa1os,4930551O13Rik,Fam78a,1700060C20Rik,Slco4a1,Lama5,Itga6,Skida1,Mettl8,4930444E06Rik,Usp6nl,Slpi,a,Arfgef2,Gm13660,Rassf2,Vis1,Dut,A930018P22Rik,Gm14472,Gm13919,Usp20,Cnbd2,Ube2e3,Gm14226,Prokr2,Taf3,Lypd6b,Dnajc10,Tgm2,Gm23101,Rapgef4os1,Capn3,6430710C18Rik,Lypd6,Rabgap1,St8sia6,Baz2b,Gm14211,Fam98b,Fkbp1a,Cers6,Gm13982,Frmd4a,9830144P21Rik,Hao1,Gm13431,Bcl2l11,Spi1,Gm14637,Map3k20,Snx21,Fut7,Secisbp2l,Tasp1,Cfap77,Gm13552,Bcas1os2,Tanc1,Gm13657,Wipf1,Tfpi,Il1bos,Cstf1,4930412B13Rik,Gm28643,Gm11466,Arhgap21,Gm25561,Gm14002,Fam110a,Sla2,Nfatc2,Zmynd8,Gm16510
mouse chr11	mouse chr11	5.64069114698431e-07	-14.3880890491647	3563	70	0.0596760443307758	1173	112291	78294,14422,71059,100861933,217071,19084,67510,78883,78762,102636986,635455,115487872,100038572,16163,237877,58222,68127,100504338,18618,20851,71489,100042846,16399,14784,216724,19941,77371,73988,216792,115487806,237847,109934,115487837,105243874,278507,23834,264895,207742,66840,26398,100038833,100043525,12874,665953,118567912,12323,73321,407821,74008,16518,100502635,11889,70834,83431,16428,76884,105244168,360013,100417426,74315,70218,320472,20308,666739,20500,171285,21763,72386,319454,66213	Rps27a,B4galnt2,Hexim2,Gm11443,Gm525,Prkar1a,Tvp23b,9630013K17Rik,4933424L21Rik,Gm15755,Gm12026,Gm25364,Gm12000,Il13,Atad5,Rab37,B230217C12Rik,Gm12163,Pemt,Stat5b,Bcas3os1,Gm12057,Itga2b,Grb2,Rufy1,Rpl26,Sec24a,4930438A08Rik,Iba57,Gm8738,Rtn4rl1,Abr,Gm25142,Gm28401,Wfikkn2,Cdc6,Acsf2,Rnf43,Wdr45b,Map2k4,Gm12568,Gm12571,Cpd,Gm12035,Gm12301,Camk2b,1700042O10Rik,Znrf3,Arsg,Kcnj2,Gm11525,Asgr1,Spag9,Ndel1,Itk,Cyfip2,Gm12227,Myo18a,Gm12345,Rnf145,Kif18b,Ppm1e,Ccl9,Gm11662,Slc13a2,Havcr2,Tex2,2610035D17Rik,Rptoros,Med7
