TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr13	mouse chr13	4.89809748841079e-10	-21.4370040678906	2545	47	0.0635135135135135	740	112291	13803,20729,67263,30938,218460,71816,17129,218203,20963,12890,26401,268656,212937,72114,238692,14538,218311,380855,218503,77041,14062,193452,66482,76041,56048,140580,51791,15357,18115,15466,142688,11881,18003,17951,17101,107767,17952,74145,105193,52552,218271,328320,27015,78771,544922,17948,27052	Enc1,Spin1,Zswim6,Fgd3,Wdr41,Rnf180,Smad5,Mylip,Syk,Cplx2,Map3k1,Sptlc1,Tifab,Zbed3,Zfp874a,Gcnt2,Zfp455,Rsl1,Fcho2,Arsk,F2r,Zfp184,Exoc2,Ccdc125,Lgals8,Elmo1,Rgs14,Hmgcr,Nnt,Hrh2,Asb13,Arsb,Nedd9,Naip5,Lyst,Scamp1,Naip6,F13a1,Nhlrc1,Parp8,B4galt7,Gm807,Polk,Mctp1,Zkscan4,Naip2,Aoah
mouse chr10	mouse chr10	9.75030693482019e-10	-20.7485521649318	2601	47	0.0635135135135135	740	112291	64451,71279,103213,73910,170799,237310,110962,13982,13496,216190,216439,70719,13867,16971,20397,16414,78334,52468,22288,67596,13139,19279,215789,23887,15979,216198,20847,16993,20393,237339,12822,216161,100038725,54712,71712,13822,74048,13713,69288,22110,17684,74747,216021,319468,110279,12226,68652	Dip2a,Slc29a3,Traf3ip2,Arhgap18,Rtkn2,Il22ra2,Mbd6,Esr1,Arid3a,Appl2,Agap2,Arhgap45,Erbb3,Lrp1,Sgpl1,Itgb2,Cdk19,Ctdsp2,Utrn,Tespa1,Dgka,Ptprr,Phactr2,Ggt5,Ifngr1,Tcp11l2,Stat2,Lta4h,Sgk1,L3mbtl3,Col18a1,Sbno2,Cep85l,Plxnc1,Dram1,Epb41l2,Vsir,Elk3,Rhobtb1,Tspyl1,Cited2,Ddit4,Stox1,Ppm1h,Bcr,Btg1,Tab2
mouse chr2	mouse chr2	6.27589867145102e-09	-18.8865491476089	4323	63	0.0851351351351351	740	112291	110078,277414,69601,17979,67092,241576,26943,20181,52837,20163,17064,71532,24136,16410,227960,227929,228061,269338,71409,14269,171543,58231,228788,76117,228966,19246,71586,16403,140483,383787,13821,76969,192285,107723,227612,241447,13830,19224,433464,18796,20740,215653,108115,170768,19271,241732,16803,228357,672763,17076,320554,56470,56461,104418,27387,11990,241633,14594,170441,110911,94249,215280,228355	Pygb,Trp53i11,Dab2ip,Ncoa3,Gatm,Ldlrad3,Serinc3,Rxra,Tmx4,Rsu1,Cd93,Fam217b,Zeb2,Itgav,Gca,Cytip,Agps,Vps39,Fmnl2,Fnbp1,Bmf,Stk4,Ccm2l,Arhgap15,Ppp1r3d,Ptpn1,Ifih1,Itga6,Hnmt,Ankrd63,Epb41l1,Chst1,Phf21a,Slc12a6,Tor4a,Cers6,Stom,Ptgs1,Gm13991,Plcb2,Sptan1,Rassf2,Slco4a1,Pfkfb3,Ptprj,Tspyl3,Lbp,Lrp4,Gm13710,Ly75,Tcp11l1,Rgs19,Kcnip3,Dgkz,Sh2d3c,Atrn,Atp8b4,Ggta1,Slc2a10,Cds2,Slc24a3,Wipf1,Madd
mouse chr11	mouse chr11	2.25570884985583e-08	-17.60721647456	3563	54	0.072972972972973	740	112291	30805,67826,217304,192231,20868,69309,19157,268379,26406,12874,19062,20848,76566,57778,216825,215113,16706,11302,20742,27419,286942,276950,100041400,380711,75870,16416,12702,73174,14457,216505,216829,215512,328035,16822,27029,77097,73988,16480,12569,20556,216858,21973,21452,16796,15184,268512,78943,320472,54394,264895,195046,94176,215335,53313	Slc22a4,Snap47,Cd300lb,Hexim1,Stk10,Slc16a13,Cyth1,Abca13,Map3k3,Cpd,Inpp5k,Stat3,Rflnb,Fmnl1,Usp22,Slc43a2,Ksr1,Aatk,Sptbn1,Naglu,Kif19a,Slfn8,Gm12226,Rap1gap2,Tcam1,Itgb3,Socs3,Tbkbp1,Gas7,Pik3ip1,Mmgt2,Fam117a,Fads6,Lcp2,Sgsh,Tanc2,4930438A08Rik,Jup,Cdk5r1,Slfn2,Kctd11,Top2a,Tcn2,Lasp1,Hdac5,Slc26a11,Ern1,Ppm1e,Crlf3,Acsf2,Nlrp1a,Dock2,Slc36a1,Atp2a3
mouse chr16	mouse chr16	5.04283791880963e-08	-16.8027117412098	1770	34	0.0459459459459459	740	112291	23872,224139,15975,239743,78618,57781,11773,13876,106143,17237,68146,65079,110197,209200,239853,208171,74478,17063,11658,224093,75785,385658,100502698,547253,78885,67581,21844,56722,67501,20863,12394,54483,224014,11820	Ets2,Golgb1,Ifnar1,Klhl6,Acap2,Cd200r1,Ap2m1,Erg,Cggbp1,Mgrn1,Arl13b,Rtn4r,Dgkg,Dtx3l,Adgrg7,Tmprss7,Snx29,Muc13,Alcam,Fam43a,Klhl24,Nxpe3,Rubcn,Parp14,Coro7,Tbc1d23,Tiam1,Litaf,Ccdc50,Stfa3,Runx1,Mefv,Fgd4,App
mouse chr15	mouse chr15	1.12366583457296e-06	-13.6989141508972	2030	34	0.0459459459459459	740	112291	223693,12983,14958,11842,12614,11479,223697,56448,105732,76510,20491,223753,353342,223701,266632,67731,72709,26874,72393,140570,239570,19009,110253,239393,12984,74039,105722,213068,105855,72318,66725,100504191,74127,67488	Tmem184b,Csf2rb,H1f0,Arf3,Celsr1,Acvr1b,Sun2,Cyp2d22,Fam83h,Trappc9,Sla,Cerk,Peg13,Mrtfa,Irak4,Fbxo32,C1qtnf6,Abcd2,Faim2,Plxnb2,Ttc38,Pou6f1,Triobp,Lrp12,Csf2rb2,Nfam1,Ano6,Tmem71,Nckap1l,Cyth4,Lrrk2,Gm16576,Krt80,Calcoco1
mouse chr12	mouse chr12	2.08744914375511e-06	-13.0795677427912	2475	38	0.0513513513513514	740	112291	668158,110095,110417,13371,81535,26897,217692,27277,629822,30955,77974,21340,14420,320808,629364,19164,11852,71375,14281,20969,24071,211986,73086,70435,17977,104799,80837,108800,73389,791089,18222,382620,56696,22095,382696,217835,58240,104718	Ccdc85c,Pygl,Pigh,Dio2,Sgpp1,Acot1,Sipa1l1,Golga5,Ighv7-3,Pik3cg,Rdh12,Taf1b,Galc,Dcaf5,Gm16372,Psen1,Rhob,Foxn3,Fos,Sdc1,Synj2bp,Tmem18,Rps6ka5,Inf2,Ncoa1,Vipas39,Rhoj,Ston2,Hbp1,Ighv2-9-1,Numb,Tmed8,Gpr132,Tshr,Ighv1-52,Rin3,Hs1bp3,Ttc7b
mouse chr1	mouse chr1	3.29453125022701e-05	-10.3206615680684	3447	44	0.0594594594594595	740	112291	14645,56489,78255,19731,17974,71740,329154,98682,105244012,14733,70729,19264,107527,320139,226652,227333,27218,107895,226856,245860,24014,665574,214855,20452,67426,329165,226971,17936,12523,12227,104086,14270,226421,16565,620899,14268,12334,213452,104009,71884,12633,320404,394432,108735	Glul,Ikbke,Ralgps2,Rgl1,Nck2,Nectin4,Ankrd44,Mfsd6,Gm37125,Gpc1,Nos1ap,Ptprc,Il1rl2,Ptpn7,Arhgap30,Dgkd,Slamf1,Mgat5,Lpgat1,Atg9a,Rnasel,Gm7694,Arid5a,St8sia4,Coq8a,Abi2,Plekhb2,Nab1,Cd84,Btg2,Cyp27a1,Srgap2,Rab7b,Kif21b,Gm6189,Fn1,Capn2,Dstyk,Qsox1,Chit1,Cflar,Itpkb,Ugt1a7c,Sft2d2
mouse chr19	mouse chr19	4.06178520179231e-05	-10.1113028831235	1525	25	0.0337837837837838	740	112291	245857,67795,56464,27060,226090,18797,76073,60533,74411,18034,12495,54447,207521,14544,12982,67457,107375,23972,18739,108101,277010,226255,83490,14718,226089	Ssh3,Rnls,Ctsf,Tcirg1,Ermp1,Plcb3,Pcgf5,Cd274,Plpp6,Nfkb2,Entpd1,Asah2,Dtx4,Gda,Csf2ra,Frmd8,Slc25a45,Papss2,Pitpnm1,Fermt3,Marveld1,Atrnl1,Pik3ap1,Got1,Ric1
mouse chr1 E4|1 56.93 cM	mouse chr1 E4|1 56.93 cM	4.33700703764311e-05	-10.0457409774199	2	2	0.0027027027027027	740	112291	14270,56489	Srgap2,Ikbke
