TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr2:3075107-3075213|+|Gm27306-201	0	1		chr2|3091722
chr2:3114224-3227250|+|Fam171a1-202	2	1	chr2|3113299,chr2|3114555	chr2|3097599
chr2:3118685-3227806|+|Fam171a1-201	0	3		chr2|3119913,chr2|3130899,chr2|3135959
chr2:3284212-3328877|+|Nmt2-201	0	2		chr2|3276486,chr2|3282619
chr2:3284268-3326198|+|Nmt2-202	0	3		chr2|3285667,chr2|3285861,chr2|3285897
chr2:3291378-3291518|-|Gm22005-201	1	1	chr2|3290594	chr2|3290167
chr2:3328949-3332643|-|Rpp38-201	0	4		chr2|3316223,chr2|3327550,chr2|3333922,chr2|3333993
chr2:3409110-3418581|-|Meig1-202	1	3	chr2|3418591	chr2|3414757,chr2|3416689,chr2|3416727
chr2:3424165-3461103|+|Dclre1c-204	0	2		chr2|3436042,chr2|3437709
chr2:3455815-3475031|-|Suv39h2-201	0	1		chr2|3481563
chr2:3504527-3512757|-|Gm45902-201	0	3		chr2|3500983,chr2|3500984,chr2|3511651
chr2:3513065-3526376|+|Cdnf-201	2	0	chr2|3513648,chr2|3513674	
chr2:3531285-3531600|+|Gm13186-201	0	5		chr2|3522690,chr2|3522840,chr2|3522841,chr2|3525914,chr2|3525962
chr2:3570488-3782142|+|Fam107b-209	1	4	chr2|3571404	chr2|3560877,chr2|3573729,chr2|3585729,chr2|3587599
chr2:3613758-3779787|+|Fam107b-202	0	15		chr2|3600729,chr2|3602066,chr2|3607000,chr2|3609307,chr2|3610906,chr2|3610967,chr2|3617784,chr2|3617897,chr2|3618040,chr2|3621701,chr2|3621789,chr2|3621799,chr2|3623894,chr2|3631143,chr2|3633104
chr2:3679802-3680590|-|Gm13183-201	2	3	chr2|3680032,chr2|3680089	chr2|3661920,chr2|3662736,chr2|3681663
chr2:3686362-3687430|+|Gm13181-201	0	3		chr2|3690538,chr2|3690591,chr2|3690682
chr2:3704013-3779617|+|Fam107b-205	0	1		chr2|3700067
chr2:3713458-3782142|+|Fam107b-201	0	1		chr2|3710114
chr2:3713478-3779617|+|Fam107b-203	0	22		chr2|3716878,chr2|3718518,chr2|3719114,chr2|3719994,chr2|3720636,chr2|3720710,chr2|3720711,chr2|3721224,chr2|3722083,chr2|3722090,chr2|3722115,chr2|3722145,chr2|3722212,chr2|3722817,chr2|3722818,chr2|3725504,chr2|3725915,chr2|3728449,chr2|3729445,chr2|3730039,chr2|3731333,chr2|3731953
chr2:3752986-3755177|-|Gm13185-201	0	18		chr2|3736201,chr2|3736573,chr2|3736661,chr2|3736662,chr2|3736703,chr2|3742672,chr2|3748065,chr2|3750424,chr2|3750425,chr2|3750502,chr2|3752673,chr2|3757889,chr2|3757913,chr2|3759442,chr2|3759445,chr2|3762046,chr2|3763081,chr2|3764412
chr2:3773946-3779625|+|Fam107b-206	0	5		chr2|3767573,chr2|3767699,chr2|3769791,chr2|3772414,chr2|3792957
chr2:3925808-3929139|-|Gm13191-201	0	4		chr2|3921214,chr2|3921247,chr2|3921248,chr2|3947864
chr2:4017744-4614041|+|Frmd4a-219	0	1		chr2|4029650
chr2:4051263-4052559|-|Gm2639-201	0	1		chr2|4042115
chr2:4178110-4180661|+|Gm37107-201	0	5		chr2|4169762,chr2|4169848,chr2|4190542,chr2|4190548,chr2|4190766
chr2:4217081-4219353|+|Gm38348-201	0	1		chr2|4232478
chr2:4291159-4301167|-|Gm13187-202	1	2	chr2|4301933	chr2|4285010,chr2|4299880
chr2:4316479-4318886|+|Gm36988-201	0	1		chr2|4314982
chr2:4400975-4614043|+|Frmd4a-201	2	2	chr2|4400288,chr2|4400357	chr2|4392038,chr2|4397041
chr2:4458434-4466670|-|Gm13175-201	2	10	chr2|4467235,chr2|4467581	chr2|4455456,chr2|4455682,chr2|4455842,chr2|4462804,chr2|4477049,chr2|4477241,chr2|4477242,chr2|4481091,chr2|4481182,chr2|4483740
chr2:4559756-4612584|+|Frmd4a-216	0	23		chr2|4542068,chr2|4544521,chr2|4545110,chr2|4545111,chr2|4545375,chr2|4545376,chr2|4545390,chr2|4545391,chr2|4549441,chr2|4552563,chr2|4554522,chr2|4554619,chr2|4554620,chr2|4555901,chr2|4557344,chr2|4558553,chr2|4558636,chr2|4562330,chr2|4564388,chr2|4564482,chr2|4564617,chr2|4569298,chr2|4573175
chr2:4586024-4587287|-|Gm13179-202	0	2		chr2|4583377,chr2|4583528
chr2:4622058-4652086|-|Prpf18-201	0	1		chr2|4636882
chr2:4624028-4652113|-|Prpf18-204	0	1		chr2|4669743
chr2:4718145-4800925|+|Bend7-201	1	1	chr2|4718837	chr2|4736903
chr2:4834136-4834612|-|Gm13176-201	0	3		chr2|4829457,chr2|4841877,chr2|4841900
chr2:4881564-4910557|+|Sephs1-201	1	1	chr2|4880740	chr2|4878541
chr2:4959545-4959752|-|Gm13192-201	0	1		chr2|4964351
chr2:4976122-4985748|+|Ucma-204	0	1		chr2|4972261
