peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr1|13203817|13204047	chr1	13203817	13204047	Enhancer	24218	chr1:13177462-13179714|-|Gm38376-201
chr1|14301348|14301426	chr1	14301348	14301426	Enhancer	3183	chr1:14170643-14304570|-|Eya1-209
chr1|14680904|14681109	chr1	14680904	14681109	Enhancer	71930	chr1:14752937-14776931|+|Gm9947-202
chr1|23335230|23336757	chr1	23335230	23336757	Enhancer	10605	chr1:23345956-23346599|-|Gm20954-201
chr1|23915575|23917729	chr1	23915575	23917729	Enhancer	5665	chr1:23845625-23922317|-|Smap1-201
chr1|30874761|30875139	chr1	30874761	30875139	Enhancer	1369	chr1:30802339-30873581|-|Phf3-205
chr1|33624568|33625171	chr1	33624568	33625171	Enhancer	8037	chr1:33613758-33616832|-|Gm37618-201
chr1|33627436|33628446	chr1	33627436	33628446	Enhancer	11109	chr1:33613758-33616832|-|Gm37618-201
chr1|34179851|34180102	chr1	34179851	34180102	Enhancer	1705	chr1:34165856-34178271|-|Gm26788-201
chr1|35332216|35332385	chr1	35332216	35332385	Enhancer	153216	chr1:35178956-35179084|-|Gm25096-201
chr1|35848271|35848618	chr1	35848271	35848618	Enhancer	31400	chr1:35879845-35881119|+|1110002O04Rik-201
chr1|35874862|35875674	chr1	35874862	35875674	Enhancer	4577	chr1:35879845-35881119|+|1110002O04Rik-201
chr1|36025032|36025113	chr1	36025032	36025113	Enhancer	5945	chr1:36029647-36031018|-|Gm38049-201
chr1|36160747|36161662	chr1	36160747	36161662	Enhancer	16891	chr1:36144252-36144313|-|Mir6897-201
chr1|36537550|36537895	chr1	36537550	36537895	Enhancer	1201	chr1:36530188-36536521|-|Ankrd23-202
chr1|36644320|36645501	chr1	36644320	36645501	Enhancer	19054	chr1:36663965-36664039|+|Gm24133-201
chr1|36813510|36813967	chr1	36813510	36813967	Enhancer	47864	chr1:36765018-36765874|-|Gm18828-201
chr1|36815009|36815539	chr1	36815009	36815539	Enhancer	49400	chr1:36765018-36765874|-|Gm18828-201
chr1|36835411|36836301	chr1	36835411	36836301	Enhancer	36189	chr1:36871903-36872045|-|Gm37506-201
chr1|36934394|36936834	chr1	36934394	36936834	Enhancer	3913	chr1:36792191-36939527|-|Tmem131-201
chr1|37123308|37123569	chr1	37123308	37123569	Enhancer	9825	chr1:37132273-37133264|-|Gm37020-201
chr1|37693327|37693556	chr1	37693327	37693556	Enhancer	3222	chr1:37694447-37696664|-|Gm19863-201
chr1|38383948|38385018	chr1	38383948	38385018	Promoter	0	chr1:38384949-38393974|+|Gm16152-202
chr1|38550628|38551056	chr1	38550628	38551056	Enhancer	63323	chr1:38487519-38488047|+|Gm34727-201
chr1|38582764|38583081	chr1	38582764	38583081	Enhancer	44262	chr1:38177326-38627185|-|Aff3-203
chr1|38632582|38632765	chr1	38632582	38632765	Enhancer	5488	chr1:38177326-38627185|-|Aff3-203
