TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr12	mouse chr12	1.80437104258223e-61	-139.867478594439	2475	171	0.101483679525223	1685	112291	14281,380753,404711,19088,16019,380824,108800,238328,109711,13386,238386,66689,20773,17420,18755,217866,619916,628614,69195,19141,780825,17775,11852,630486,668421,638605,399566,629842,68737,69554,633568,18035,668589,668478,780938,380808,56220,380823,69548,217692,11855,629915,104776,777686,629871,171210,74190,217882,432702,636260,13435,319545,238447,217378,11622,668395,24071,68149,77675,640046,20334,780799,668474,15902,628900,217410,66174,780931,780792,15251,52668,435321,94090,104718,22355,780960,102638150,21981,16016,73389,271005,12709,30955,58185,12925,14245,238418,619833,641178,213570,238330,791089,53618,432628,780794,780939,70435,16570,780831,777780,102634693,380795,94186,780802,217718,70373,14226,780891,24067,77219,668591,20715,633457,80837,100775174,629826,20471,52635,194655,780932,382639,668158,211986,217684,217887,380797,67708,58240,12192,14744,19300,629860,546546,72183,18109,70127,622728,66109,212073,320808,71375,217648,629884,105014,780818,19325,77480,72113,67452,20259,629822,238412,217473,108089,629364,207304,66375,217734,217695,56696,382696,71693,434609,52708,100775175,217893,73086,104732,780884,780829,53314	Fos,Atxn7l1,Ighg2c,Prkar2b,Ighm,Ighv1-66,Ston2,Vash1,Actn1,Dlk1,Btbd7,Klhl28,Sptlc2,Mnat1,Prkch,Cdc42bpb,Ighv1-72,Ighv1-34,Tmem121,Lgmn,Ighv9-3,Laptm4a,Rhob,Ighv2-6,Ighv14-2,Ighv2-5,Btbd6,Ighv13-2,Angel1,Klhdc2,Ighv5-16,Nfkbia,Ighv1-80,Ighv1-9,Ighv8-8,Ighv10-1,Zfp386,Ighv1-64,2310015A10Rik,Sipa1l1,Arhgap5,Ighv1-47,Aldh6a1,Ighv2-2,Ighv1-18,Acot2,Exoc3l4,Cep170b,Ighv1-4,Ighv9-4,Dnmt3a,D430020J02Rik,Igha,Dnajc27,Ahr,Ighv5-12,Synj2bp,Otub2,5033406O09Rik,Ighv2-9,Sec23a,Ighv7-1,Ighv1-7,Id2,Serpina3i,Trib2,Nudt14,Ighv1-53,Ighv5-15,Hif1a,Ifi27,Ighv12-3,Trim9,Ttc7b,Vipr2,Ighv8-12,Gm7862,Ppp1r13b,Ighg2b,Hbp1,Klhdc1,Ckb,Pik3cg,Rsad2,Crip1,Lpin1,Ighv14-3,Ighv1-69,Ighv5-9-1,Ighv1-78,Irf2bpl,Ighv2-9-1,Fut8,Mfsd2b,Ighv5-17,Ighv1-58,Inf2,Kif3c,Ighv3-8,Ighv5-6,Gm32220,Ighg3,Strn3,Ighv4-1,Nek9,Gpatch2l,Fkbp1b,Ighv1-39,Srp54a,Ptgr2,Ighv1-81,Serpina3g,Ighv3-5,Rhoj,Ighv1-76,Ighv14-4,Six1,Esyt2,Klf11,Ighv1-55,Zbtb42,Ccdc85c,Tmem18,Susd6,Clba1,Ighd,Pcnx4,Hs1bp3,Zfp36l1,Gpr65,Abcd4,Ighv1-12,Serpina3h,Snx6,Mycn,Dpf3,Ighv1-75,Tspan13,Syne3,Dcaf5,Foxn3,Gm527,Ighv1-26,Rdh14,Ighv11-2,Rab10,Kidins220,Adck1,Pnpla8,Scin,Ighv7-3,Ighv2-3,Ankmy2,Rnf144a,Gm16372,Hectd1,Dhrs7,Pomt2,Zfyve1,Gpr132,Ighv1-52,Colec11,Ighv1-84,Zfp410,Ighv1-82,Pacs2,Rps6ka5,Tedc1,Ighv1-23,Ighv3-6,Batf
mouse chr6	mouse chr6	1.28775453253026e-35	-80.3375782256058	3208	153	0.0908011869436202	1685	112291	546917,69202,640340,66813,243374,69834,546213,56619,269823,320204,72079,319849,76419,667550,16439,232065,545848,22214,330256,78412,692161,692165,70945,27205,243371,80283,107526,109978,17474,434041,231931,243431,381776,100039495,232430,243433,58229,381784,628027,381831,21753,21391,94346,66058,545847,384514,54486,74043,243655,620088,626347,28019,52163,17294,16071,269799,11689,236047,667865,620017,20166,29807,232288,108022,667924,385120,19016,667683,667859,434031,628571,384411,434033,20678,12527,109246,434040,384515,232533,243461,24110,108024,320678,68465,20893,13848,545851,107747,214642,385109,66066,434039,22158,677858,243451,384419,232201,71699,232232,73149,12183,434586,16192,317757,22793,16634,11746,235952,243423,100124675,628072,56760,232334,71900,317758,545850,434024,53857,619846,54368,67170,692169,68487,637227,385253,209086,259302,243439,67533,12504,75320,16205,16768,667940,68910,621968,16098,667914,20527,628127,65963,57436,692245,381778,231999,243420,14461,213684,16543,434025,667899,692154,17059	Gm15707,Ptms,Igkv8-16,Bcl2l14,Gimap8,Rab43,Igkv4-53,Clec4e,Pon3,Etfbkmt,2010013B24Rik,Plxna4os1,Smkr-ps,Igkv10-94,Itpr2,Igkv8-19,Igkv4-80,Ube2h,Gm20559,Cyren,Igkv19-93,Igkv10-96,Mmrn1,Podxl,Lrrc61,Abtb1,Gimap4,Art4,Clec4d,Igkv8-27,Gimap6,Igkv9-124,Igkv2-112,Gm15706,Crebl2,Igkv17-127,Efcc1,Igkv6-25,Igkv1-133,Igkv4-58,Tes,Tbxas1,Tmem40,Tmem176a,Igkv14-111,Igkv4-57-1,Hpgds,Pex26,Klre1,Igkv18-36,Igkv3-4,Ing4,Camk1,Mest,Igkc,Clec4a1,Alox5,Igkv4-74,Igkv6-17,Igkv5-39,Rtkn,Tpk1,Frmd4b,Igkv6-15,Igkv3-10,Igkv4-70,Pparg,Igkv4-59,Igkv8-18,Igkv10-95,Igkv4-63,Igkv12-89,Igkv4-91,Sox5,Cd9,Tspan9,Igkv8-28,Igkv4-68,Stk38l,Igkv7-33,Usp18,Igkv6-20,Iffo1,Adipor2,Bhlhe40,Ephb6,Igkv12-44,Aldh1l1,Cped1,Igkv4-72,Gng11,Igkv6-32,Tulp3,Igkv8-24,Igkv4-86,Igkv8-30,Arhgap25,Slc41a3,Hdac11,Clec4a3,Bpgm,Igkv4-71,Il5ra,Gimap5,Zyx,Klra3,Anxa4,Igkv4-57,Igkv1-132,Trbv13-2,Igkv14-130,Clec1b,Vgll4,Tmem106b,Gimap9,Igkv5-45,Igkv1-122,Tuba8,Igkv5-48,Gp9,2610306M01Rik,Igkv15-103,Tmem140,Igkv6-23,Igkv4-55,Samd9l,Srgap3,Igkv14-100,Ppfibp1,Cd4,Etnk1,Gimap1,Lag3,Igkv3-5,Zfp467,Trbv1,Igkv1-117,Igkv3-12,Slc2a3,Igkv14-126,Tmem176b,Gabarapl1,Igkv12-46,Igkv16-104,Plekha8,Igkv1-135,Gata2,Igkv4-79,Mdfic,Igkv9-120,Igkv6-13,Igkv1-88,Klrb1c
mouse chr16	mouse chr16	2.25697775449411e-20	-45.2376752183218	1770	85	0.0504451038575668	1685	112291	114604,100502698,74603,11877,13682,15312,83396,385658,245195,239759,19125,57738,12408,20440,207740,52864,224022,239743,14724,75785,13876,56176,17250,224109,319765,58180,20863,20862,12394,77446,72084,239719,67581,27883,404736,56490,52793,67775,52502,27416,14525,72190,65079,212998,12929,110612,207781,17063,224023,67742,268857,72615,224440,107589,56722,54720,13358,404743,100038854,239849,23872,93871,93961,12013,13383,11515,15163,13544,19128,106393,14729,208171,207798,12703,57781,17237,268903,69823,84544,224139,110948,27801,67474,224093,15205	Prdm15,Rubcn,Cd200r3,Arvcf,Eif4a2,Hmgn1,Glis2,Nxpe3,Retnlg,Liph,Prodh,Slc15a2,Cbr1,St6gal1,Ubald1,Slx4,Slc7a4,Klhl6,Gp1bb,Klhl24,Erg,Pigp,Abcc1,Nrros,Igf2bp2,Hic2,Stfa3,Stfa2,Runx1,Heg1,Pigx,Mrtfb,Tbc1d23,Tango2,Iglc4,Zbtb20,Fam3b,Rtp4,Carhsp1,Abcc5,Gcsam,2510009E07Rik,Rtn4r,BC016579,Crkl,Iglv2,C2cd2,Muc13,Klhl22,Samsn1,Nlrc3,Anks3,Setd4,Mylk,Litaf,Rcan1,Slc25a1,Iglv3,Cstdc6,Cd200r4,Ets2,Brwd1,B3galt5,Bach1,Dlg1,Adcy9,Hcls1,Dvl3,Pros1,Srl,Gp5,Tmprss7,Gramd1c,Socs1,Cd200r1,Mgrn1,Nrip1,Fyttd1,Cd96,Golgb1,Hlcs,Zdhhc8,Snap29,Fam43a,Hes1
mouse chr11	mouse chr11	1.25913348726496e-19	-43.5186929910233	3563	129	0.0765578635014837	1685	112291	54394,11676,328035,171285,93670,217125,20868,100216530,192231,72349,12416,18750,16706,276950,19416,21858,72194,268512,77097,67477,216892,217325,78926,18195,117160,18099,216850,216858,11430,29869,246104,17312,71673,71776,193043,16399,71795,207592,70450,140497,216964,276829,16416,22271,216825,66838,140703,237926,192976,19285,57778,74136,17913,217303,102640779,20556,319819,11443,76281,327978,286942,100503292,69309,20606,217356,59045,12702,17268,18413,216810,216781,11858,22057,103841,320655,14723,217219,71520,14230,80981,327942,75580,18806,18858,110257,20564,22658,66610,20303,217333,19401,58222,14710,72386,13385,216829,264895,22248,20848,11841,68690,27419,75219,20296,16189,216505,16480,15122,22344,53313,18436,55984,67826,80860,20304,320472,56358,67579,18604,84035,16822,58996,380711,56193,380694,18626,217310,380713,66612	Crlf3,Aldoc,Fads6,Havcr2,Tac4,Samd14,Stk10,Snord118,Hexim1,Dusp3,Cbx2,Prkca,Ksr1,Slfn8,Rasd1,Timp2,Fbxl20,Slc26a11,Tanc2,Abhd15,Spns2,Llgl2,Gas2l1,Nsf,Ttyh2,Nlk,Kdm6b,Kctd11,Acox1,Ulk2,Rhbdl3,Clec10a,Rnf215,Tha1,Zfp3,Itga2b,Pitpnc1,Tbc1d16,Unc13d,Cd300c2,Trp53i13,Smtnl2,Itgb3,Upp1,Usp22,0610009L18Rik,Emid1,Rsad1,Lrrc75a,Cavin1,Fmnl1,Sec14l1,Myo1c,Cd300a,2900052L18Rik,Slfn2,4932435O22Rik,Chrnb1,Tax1bp3,Slfn5,Kif19a,Gm12279,Slc16a13,Sstr2,Tmc8,Stard3,Socs3,Meis1,Osm,Tom1l2,Trim58,Rnd2,Tob1,Cuedc1,Pgap3,Gp1ba,Fam171a2,Grap,Fkbp10,Arl4d,Pigl,Zbtb4,Pld2,Pmp22,Hba-a2,Slit3,Pcgf2,Abi3,Ccl4,Trim47,Rara,Rab37,Gngt2,2610035D17Rik,Dlg4,Mmgt2,Acsf2,Unc119,Stat3,Arf2,1110028F11Rik,Naglu,Dusp18,Ccl2,Il4,Pik3ip1,Jup,Hba-a1,Vezf1,Atp2a3,P2rx1,Camkk1,Snap47,Ghdc,Ccl5,Ppm1e,Copz2,Cpeb4,Pdk2,Kremen1,Lcp2,Arhgap23,Rap1gap2,Plek,Ccnjl,Per1,Hid1,Scarf1,Ormdl3
mouse chr13	mouse chr13	1.81125047616404e-13	-29.3395887313774	2545	90	0.0534124629080119	1685	112291	74257,66355,13024,193452,56320,208715,115488147,23849,142688,68128,140580,17129,66503,105193,105239,380855,78521,16468,238692,71816,408067,15466,78771,14062,212281,664862,30938,74559,74325,623365,27015,16398,328320,20499,218581,56048,102632831,56795,70484,218518,23882,51791,218441,67252,17079,16563,212276,13803,12890,18081,22151,73710,76895,77041,14064,20354,66329,20677,68480,20708,20963,59079,72739,544963,26898,100040322,193385,26919,14538,218271,218333,107767,218311,73296,17951,544922,108652,218397,94245,76582,68558,218203,218232,20723,69635,218503,105171,67399,622402,328329	Tspan17,Gmpr,Ctla2a,Zfp184,Dbn1,Hmgcs1,Gm47754,Klf6,Asb13,Fam120aos,Elmo1,Smad5,1810034E14Rik,Nhlrc1,Rnf44,Rsl1,B230219D22Rik,Jarid2,Zfp874a,Rnf180,Zfp874b,Hrh2,Mctp1,F2r,Zfp729a,Gpr137b-ps,Fgd3,Elovl7,Cltb,Gm6421,Polk,Itga2,Gm807,Slc12a7,Depdc1b,Lgals8,Gm29590,Arl10,Slc35d2,Marveld2,Gadd45g,Rgs14,Zfyve16,Cap2,Cd180,Kif2a,Zfp748,Enc1,Cplx2,Ninj1,Tubb2a,Tubb2b,Bicd2,Arsk,F2rl2,Sema4d,Susd3,Sox4,Card19,Serpinb6b,Syk,Erbin,Zkscan3,Iqgap2,Ctsj,3830408C21Rik,Ripor2,Zfp346,Gcnt2,B4galt7,Ice1,Scamp1,Zfp455,Rhobtb3,Naip5,Zkscan4,Slc35b3,Rasa1,Dtnbp1,Ipo11,Ankra2,Mylip,Ptpdc1,Serpinb9,Dapk1,Fcho2,Arrdc3,Pdlim7,Akr1c12,Mast4
mouse chr12 F2|12 62.59 cM	mouse chr12 F2|12 62.59 cM	2.36915375114837e-13	-29.0710733845652	38	12	0.00712166172106825	1685	112291	622728,780960,100775174,380824,213570,668589,668591,619833,100775175,619916,56220,434609	Ighv1-75,Ighv8-12,Ighv1-76,Ighv1-66,Ighv1-78,Ighv1-80,Ighv1-81,Ighv1-69,Ighv1-82,Ighv1-72,Zfp386,Ighv1-84
mouse chr2	mouse chr2	5.37072267066189e-13	-28.252643733914	4323	128	0.0759643916913947	1685	112291	80708,228775,27223,269356,53619,60525,228839,214230,241694,12509,227612,14588,26427,329540,277414,18796,74270,59038,17395,18798,70599,170441,12048,110078,16819,20648,54598,80976,13436,18803,13821,227753,208967,100504361,12125,58220,76650,66860,20732,108115,263803,241289,69601,71648,18019,228608,54338,227545,320415,16403,227929,228836,18516,194642,229003,269338,69553,77799,18761,228359,11350,56190,20619,20378,140476,19730,18227,245867,320974,241230,626848,171543,20163,229011,100502923,56876,13482,21400,71389,20181,94249,241308,545486,76969,192166,18769,16420,110911,12162,227693,12335,383787,269233,228966,70882,241732,84682,241846,227717,100502874,72326,381356,115489638,100504593,19224,17151,67839,19400,72630,209378,11305,99311,13805,17979,81018,228788,69596,13537,241556,107723,320554,22029,67448,26943,14049,71409,66734,21817	Pacsin3,Trib3,Trp53bp1,Slc4a11,Blcap,Acss2,Tgif2,Pak6,Ralgapa2,Cd59a,Tor4a,Gfra4,Creb3l1,Nol4l,Trp53i11,Plcb2,Usp20,Pxmp4,Mmp9,Plcb4,Itprid2,Slc2a10,Bcl2l1,Pygb,Lcn2,Snta1,Calcrl,Syt13,Dnmt3b,Plcg1,Epb41l1,Gsn,Thnsl1,Gm14230,Bcl2l11,Pard6b,Srxn1,Tanc1,Spint1,Slco4a1,Pkn3,Ppp1r26,Dab2ip,Optn,Nfatc2,Smox,Slc23a2,Proser2,Gchfr,Itga6,Cytip,Dlgap4,Pbx3,Slc39a1-ps,Helz2,Vps39,Ripor3,Sla2,Prkcq,Arhgap1,Abl1,Rbm38,Snap23,Frzb,Strc,Ralgds,Nr4a2,Pcmtd2,Lrrn4,St8sia6,Zfp971,Bmf,Rsu1,Samd10,Gm17619,Nsmf,Dpp4,Tcea2,Chd6,Rxra,Slc24a3,Ralgps1,Tubb1,Chst1,Sardh,Pkig,Itgb6,Cds2,Bmp7,Zer1,Capn3,Ankrd63,Fam171a1,Ppp1r3d,Armc3,Tspyl3,Cox4i2,Lsm14b,Qrfp,Gm19426,2500004C02Rik,Cacfd1,Gm25541,Gm13431,Ptgs1,Ccndbp1,Gpsm1,Rapsn,Hspa12b,Itih5,Abca2,Commd7,Eng,Ncoa3,Rnf114,Ccm2l,Ap5s1,Dusp2,Tspan18,Slc12a6,Tcp11l1,Traf1,Plxdc2,Serinc3,Eya2,Fmnl2,Map1lc3a,Tgm2
mouse chr7	mouse chr7	1.7817827138977e-09	-20.145651449172	4506	120	0.0712166172106825	1685	112291	101488143,22695,259300,12715,14174,20733,243910,21803,58206,13549,14389,12520,17258,13631,20475,101540,17304,72433,101502,68891,68992,21955,54135,233079,101488,108116,64540,19153,101497,58804,11816,233186,19698,100126357,20266,233490,20352,16858,100038347,12518,108167329,20679,79196,12476,269952,68490,12337,232944,16411,269878,73833,18807,244183,19267,66300,109042,69903,18733,54123,211548,14085,101700,73658,55942,20130,76681,75985,26466,434130,12051,22691,18476,22775,232970,66090,14282,259277,319236,108797,386655,74463,57780,77582,22177,244238,243897,13033,18301,27027,170770,68713,19222,209387,434156,26362,243923,233071,16797,94094,243864,320100,100503605,53417,16408,22323,18550,72205,69710,18400,233405,19024,12577,14809,67893,212974,70314,26557,12493,16790,104175	Hbb-bt,Zfp36,Ehd2,Ckm,Fgf3,Spint2,Nfkbid,Tgfb1,Zbtb32,Dyrk1b,Gab2,Cd81,Mef2a,Eef2k,Six5,Prkd2,Mfge8,Rab38,Hsd3b7,Cd177,Zfp580,Tnnt1,Lsr,Ffar2,Slco2b1,Slco3a1,Tspan4,Prx,Plekhg2,Cdc42ep5,Apoe,Siglecf,Relb,Gm10676,Scn1b,Crebzf,Sema4b,Lgals7,Fam174b,Cd79a,Gm45620,Sox6,Osbpl5,Cd151,Gdpgp1,Zfp579,Capn5,Mark4,Itgax,Megf8,Fam98c,Pld3,Trim30b,Ptpre,Inafm1,Cavin3,Rasip1,Pirb,Irf7,Nomo1,Fah,Trim68,Spns1,Sertad1,Rras,Trim12a,Rab30,Zfp260,Ccdc8,Bcl3,Zscan2,Pafah1b3,Zik1,Phldb3,Ypel3,Fosb,Klk8,Trim12c,Mex3b,Eid2,Exoc3l2,Fxyd7,Mboat7,Tyrobp,Mrgpre,Ggn,Ctsd,Fxyd5,Tspan32,Bbc3,Ifitm1,Ptgir,Trim30d,Eid2b,Axl,Rgs9bp,Arhgap33,Lat,Trim34a,Mill2,Relt,Hbb-bs,Hif3a,Itgal,Vasp,Furin,Eml2,Arap1,Slc22a18,Vps33b,Ppfibp2,Cdkn1c,Grik5,Tmem86a,Pgghg,Rabep2,Homer2,Cd37,Anpep,Sbk1
mouse chr19	mouse chr19	1.19026089614731e-08	-18.2465082203987	1525	54	0.0320474777448071	1685	112291	76267,108689,17060,68229,71738,93679,15957,12894,60533,668310,27356,67457,107250,56473,240665,67706,68774,277010,225922,75735,245857,20469,60361,226016,17254,226026,74411,19708,19265,21416,70605,27360,22359,22682,16594,12495,14126,107173,170834,66704,94280,56464,66961,13041,21873,108995,14675,208449,108101,14537,240672,214084,104383,18034	Fads1,Stn1,Blnk,Spindoc,Mamdc2,Trim8,Ifit1,Cpt1a,Cd274,Cc2d2b,Insl6,Frmd8,Kazald1,Fads2,Ccnj,Tmem179b,Ms4a6d,Marveld1,Oosp2,Pank1,Ssh3,Sipa1,Ms4a4b,Abhd17b,Slc3a2,Smc5,Plpp6,Dpf2,Ptprcap,Tcf7l2,Zdhhc24,Add3,Vldlr,Zfand5,Klc2,Entpd1,Ms4a2,Gpr137,Oosp1,Rbm4b,Sfxn3,Ctsf,Neat1,Ctsw,Tjp2,Tbc1d10c,Gna14,Sgms1,Fermt3,Gcnt1,Dusp5,Slc18a2,Rcor2,Nfkb2
mouse chr4	mouse chr4	1.72359060020591e-07	-15.5736859777957	3418	91	0.0540059347181009	1685	112291	110326,50780,14191,12331,17769,24060,195522,18578,230796,65973,16818,14579,20481,74772,54366,77739,14590,230757,17357,56226,320456,74735,329910,213989,17480,12795,20148,50762,15903,20525,69780,100465,72181,74552,14201,66775,12802,17096,230991,13844,23833,338349,108168714,26372,67182,14073,100382,108767,74648,19268,21936,230903,102637131,230793,17346,100163,16476,93966,69594,13836,69638,12262,14664,21349,16330,626000,18822,18600,230752,53608,60599,381549,20970,230936,242620,269587,12259,21687,21894,100039968,71904,17301,230784,12578,381582,269608,236511,12399,230761,12260,21846	Tas1r1,Rgs3,Fgr,Cap1,Mthfr,Slc35a1,Zfp691,Pde4b,Wdtc1,Asph,Lck,Gem,Ski,Atp13a2,Ctnnal1,Adamtsl1,Ggh,5730409E04Rik,Marcksl1,Espn,B330016D10Rik,Trim14,Acot11,Tmem82,Mpl,Plk3,Dhrs3,Fbxo6,Id3,Slc2a1,Smap2,Mob3c,Nsun4,Nipal3,Fhl3,Hacd4,Cnr2,Lyn,Fndc10,Ephb2,Cd52,Cntln,Gm16225,Clcn6,Pdzk1ip1,Faah,AW011738,Pnrc1,S100pbp,Ptprf,Tnfrsf18,Fbxo44,Gm12976,Ahdc1,Mknk1,Pafah2,Jun,Hemgn,2310026L22Rik,Epha2,Enho,C1qc,Slc6a9,Tal1,Inpp5b,Ccnd3-ps,Plod1,Padi2,Eva1b,Map3k6,Trp53inp1,Zfp69,Sdc3,Phf13,Dmrta2,Epb41,C1qa,Tek,Tln1,Tmem35b,Paqr7,Foxd2,Sesn2,Cdkn2a,Tmem240,Plekhg5,Ago1,Runx3,Zfp362,C1qb,Tie1
